from,from_network,to,to_network,relationship,type,crosses_network
Brandon Park,Eckerd,Outback Therapeutic Expeditions,Aspen,? / therapist,people,True
Brian Murdock,HOPE Group,Academy at Canyon Creek,UHS,therapist,people,True
Brianna Roselles,WWASPS,Elevations RTC,FHW,therapist,people,True
Bromley Brook School,Aspen,David Hans,FHW,executive director,people,True
Bromley Brook School,Aspen,Rae Ann Knopf,FHW,founder/executive director,people,True
Brush Ranch School,Aspiro,Bryan Delaney,Asst. (north),residential staff,people,True
Bryan Tomes,Aspen,Asheville Academy for Girls,FHW,academic director/ operations director,people,True
CALO Programs,Embark,Ken Huey,HOPE Group,founder,people,True
CEDU Family of Services,Brown Schools/CEDU,Rae Ann Knopf,FHW,executive director,people,True
CEDU Family of Services,Brown Schools/CEDU,Bruce Wilson,Eckerd,?,other,True
CEDU Family of Services,Brown Schools/CEDU,Ascent Wilderness Therapy,UHS,,unlabelled,True
CEDU High School,Brown Schools/CEDU,Rudy Bentz,FHW,headmaster,people,True
CEDU High School,Brown Schools/CEDU,Dean Bonnano,UHS,?,other,True
CEDU High School,Brown Schools/CEDU,Bill Hoffman,Asst. (south),?,other,True
CEDU High School,Brown Schools/CEDU,David LePere,Asst. (south),director,people,True
CEDU High School,Brown Schools/CEDU,Tim Brace,Aspen,headmaster,people,True
CEDU High School,Brown Schools/CEDU,Sharon Bitz,Asst. (south),?,other,True
CEDU High School,Brown Schools/CEDU,Linda Houghton,Asst. (north),,unlabelled,True
CEDU High School,Brown Schools/CEDU,Steve Houghton,Asst. (north),,unlabelled,True
CEDU High School,Brown Schools/CEDU,Doug Kim Brown,Eckerd,headmaster,people,True
CEDU Middle School,Brown Schools/CEDU,David LePere,Asst. (south),director,people,True
Carlbrook School,UHS,Andrew Coe,Altior,dean of students,other,True
Carlbrook School,UHS,Tim Brace,Aspen,headmaster,people,True
Cascade School,Eckerd,Matthew Lovell,FHW,program director,people,True
Cedar Crest Hospital & RTC,Aspen,Acadia Healthcare,Embark,,unlabelled,True
Cedar Ridge Academy,HOPE Group,Sean Haggerty,Aspiro,admissions director,people,True
Cedars Academy,Asst. (north),Michael Charnley,Wilderness,program director,people,True
Cherokee Creek Boys School,Aspiro,Janine Riehl LePere,Asst. (south),?,other,True
Cherokee Creek Boys School,Aspiro,Jeremy Nunelley,Asst. (north),primary counselor,people,True
Cheryl Kehl,Asst. (south),Second Nature Wilderness Family Therapy,Aspiro,cofounder,people,True
Clarinda Academy,Rite of Passage,Adam Shapiro,Vivant,executive director,people,True
Copper Canyon Academy,Altior,Sonja Fullwood,Asst. (south),therapist,people,True
Copper Canyon Academy,Altior,Linda Cathcart,Asst. (south),counseling director,people,True
Copper Canyon Academy,Altior,Sequoia Smith,Asst. (south),?,other,True
Copper Canyon Academy,Altior,Tammy Prince Behrman,Wilderness,cofounder,people,True
Copper Canyon Academy,Altior,Darren Prince,Wilderness,cofounder,people,True
Copper Hills Youth Center,Eckerd,Barry Woodward,WWASPS,CEO,people,True
Coyote Karrick,Asst. (north),Boulder Creek Academy,Brown Schools/CEDU,?,other,True
Coyote Karrick,Asst. (north),Rocky Mountain Academy,Brown Schools/CEDU,,unlabelled,True
Craig LaMont,Aspen,New Haven RTC,Embark,cofounder,people,True
Craig Rodabough,CERTS,Logan River Academy,FHW,clinical services director,people,True
Craig Rogers,Eckerd,Positive Impact RTC,FHW,cofounder/program director,people,True
Craig Rogers,Eckerd,ROP Nevada,Asst. (north),social work supervisor,people,True
Craig Rogers,Eckerd,"Rite of Passage, Inc",Rite of Passage,,unlabelled,True
Cramer Creek School,Asst. (north),Social Learning Environments,FHW,,unlabelled,True
Dace Goulding,WWASPS,Northwest Association International School Visitation Team,Eckerd,member,people,True
Daniels Academy,Aspiro,Brian Murdock,HOPE Group,therapist,people,True
Daniels Academy,Aspiro,Jodi Escalante,Asst. (north),business administration director,people,True
David Freedman,FHW,Shortridge Academy,Altior,admissions director,people,True
David Hans,FHW,King George School,Brown Schools/CEDU,head of school,other,True
David LePere,Asst. (south),Cherokee Creek Boys School,Aspiro,executive director,people,True
David LePere,Asst. (south),Wilderness Quest,Brown Schools/CEDU,executive director,people,True
Deanna Atkinson Valente,Asst. (north),Ironwood Maine,Altior,program director,people,True
Denise Westman,FHW,Silverado Boys Ranch,Eckerd,cofounder,people,True
Dennis Crowell,Asst. (south),Mount Bachelor Academy,Aspen,cofounder/executive director,people,True
Devin Glissmeyer,Altior,Second Nature Wilderness Family Therapy,Aspiro,cofounder,people,True
Diamond Ranch Academy,Eckerd,Jake Roberts,WWASPS,nurse,people,True
Diamond Ranch Academy,Eckerd,Malynda Scott,Wilderness,therapist,people,True
Diamond Ranch Academy,Eckerd,Brianna Roselles,WWASPS,therapist,people,True
Discover Seven Stars,Eckerd,Gordon L Day,Asst. (south),executive director,people,True
Discovery Academy,Embark,Matthew Hendry,Aspen,clinical director,people,True
Discovery Academy,Embark,Eugene Thorn,YSI,founder,people,True
Don Vardell,Wilderness,Shortridge Academy,Altior,executive director,people,True
Don Vardell,Wilderness,Excel Academy,Aspen,executive director,people,True
Eckerd Youth Alternatives,Eckerd,Michael Charnley,Wilderness,clinician,people,True
Eilean Mackenzie,Eckerd,Fulshear Ranch Academy,Altior,,unlabelled,True
Elevations RTC,FHW,Leigh Uhlenkott,Aspen,therapist,people,True
Elevations RTC,FHW,Malynda Scott,Wilderness,?,other,True
Embark Behavioral Health,Embark,Fulshear Ranch Academy,Altior,,unlabelled,True
Emily Lamb,FHW,Eckerd Youth Alternatives,Eckerd,field staff,people,True
Erica Thiessen- House,Wilderness,Second Nature Blue Ridge,Aspiro,therapist,people,True
Evoke Therapy Programs,Aspiro,Brad M. Reedy,Asst. (south),cofounder/clinical director,people,True
Excel Academy,Aspen,Scott Spaw,Asst. (south),program director,people,True
Falcon Ridge Ranch,Rite of Passage,David Allred,FHW,executive director,people,True
Family Help & Wellness,FHW,Uinta Academy,Eckerd,,unlabelled,True
Family Help & Wellness,FHW,Discover Seven Stars,Eckerd,,unlabelled,True
Family Help & Wellness,FHW,Viewpoint Center,Wilderness,,unlabelled,True
First Light Wilderness Therapy,Embark,Devereux Foundation,HOPE Group,therapist,people,True
Fred Peipman,UHS,Second Nature Wilderness Family Therapy,Aspiro,therapist,people,True
Fulshear Ranch Academy,Altior,Dale Erdmann,FHW,clinician,people,True
Fulshear Ranch Academy,Altior,Tracy Schrunk,UHS,executive director,people,True
Gay Jackson,FHW,Rick Jackson,Wilderness,married,people,True
George Ullrich,Asst. (north),Innercept,YSI,cofounder,people,True
George Ullrich,Asst. (north),Boulder Creek Academy,Brown Schools/CEDU,consultant,people,True
Georgia Department of Human Resources,WWASPS,Appalachian Wilderness Camp,Eckerd,owner,corporate,True
Gordon L Day,Asst. (south),Summit Preparatory School,Aspiro,therapist,people,True
Gordon L Day,Asst. (south),Daniels Academy,Aspiro,clinical oversight director,people,True
Gordon L Day,Asst. (south),Vantage Point,Aspiro,director,people,True
Gordon L Day,Asst. (south),Aspiro Wilderness Adventure Therapy,Asst. (north),clinical director,people,True
Graham Shannonhouse,Asst. (south),Trails Carolina,FHW,founder/executive director,people,True
Guy LeGuyonne,UHS,Academy at Sisters,Altior,admissions director,people,True
Herman Fountain,WWASPS,New Beginnings Girls' Academy,Roloff,founder/director,people,True
Hidden Lake Academy,Eckerd,Rudy Bentz,FHW,headmaster,people,True
Hidden Lake Academy,Eckerd,Greg Lindsay,FHW,headmaster,people,True
Hidden Lake Academy,Eckerd,Thomas Ring,Embark,?,other,True
Hyde School,Aspiro,Peter Rowe,Asst. (north),first-year coach,other,True
InnerChange,Embark,Eagle Cove Academy,Aspen,,unlabelled,True
Innercept,YSI,Monarch School,Rite of Passage,,unlabelled,True
Intermountain Hospital,UHS,Bernie Zimmerman,Aspiro,clinical director,people,True
Ironwood Maine,Altior,Teresa Shinedling,FHW,cofounder/executive direcctor,people,True
Ironwood Maine,Altior,Matthew Hendry,Aspen,clinical director,people,True
Island View RTC,Wilderness,Lorin Broadbent,Eckerd,cofounder,people,True
Island View RTC,Wilderness,Stacey Rosenberg,Eckerd,?,other,True
Island View RTC,Wilderness,Elevations RTC,FHW,rebrand,corporate,True
Island View RTC,Wilderness,Steven Pope,FHW,team director,people,True
Island View RTC,Wilderness,Kirk Simon,FHW,medical director,people,True
Island View RTC,Wilderness,Eliza Hitz,FHW,therapist,people,True
Island View RTC,Wilderness,Guy Andersen,FHW,science teacher,people,True
Island View RTC,Wilderness,Dale Erdmann,FHW,primary therapist,people,True
Island View RTC,Wilderness,Gay Jackson,FHW,associate executive director,people,True
Island View RTC,Wilderness,Brianna Roselles,WWASPS,therapist,people,True
Island View RTC,Wilderness,W. Dean Belnap,Aspen,cofounder,people,True
Island View RTC,Wilderness,Aspen Education Group,Aspen,,unlabelled,True
J. Huffine,UHS,Second Nature Cascades,Aspiro,?,other,True
J. Huffine,UHS,On Track Wilderness Program,Brown Schools/CEDU,clinical supervisor,people,True
James Meyer,Altior,NATSAP,FHW,ethics chair,other,True
Jami Sturges Ullrich,Asst. (north),Innercept,YSI,cofounder,people,True
Jamie Caldwell,Asst. (north),Stillwater Academy,Aspiro,admissions director,people,True
Jamie Palmer,FHW,Cottonwood Treatment Center,Asst. (north),?,other,True
Jamie Palmer,FHW,Lifeline for Youth,Teen Challenge,clinician,people,True
Jane Stewart,Asst. (south),NorthStar Center,Aspen,program director,people,True
Janine Riehl LePere,Asst. (south),Mount Bachelor Academy,Aspen,,unlabelled,True
Jared Balmer,Wilderness,Rivendell Psychiatric Hospital,Eckerd,,unlabelled,True
Jason Dalton,Asst. (north),Second Nature,Aspiro,therapist,people,True
Jason Scott Calder,Evolve,Summit Preparatory School,Aspiro,assistant clinical director,people,True
Jay Ripley,Vivant,Youth Services International,YSI,?,other,True
Jeannie Courtney,HOPE Group,David Gilcrease,WWASPS,divorced,people,True
Jeff Scott,Asst. (south),Second Nature Blue Ridge,Aspiro,therapist,people,True
Jeniveve Rollins,FHW,Santiam Crossing,UHS,clinical director,people,True
Jeremy Nunelley,Asst. (north),Whetstone Academy,Aspen,executive director,people,True
Jeremy Nunelley,Asst. (north),Blue Ridge Therapeutic Wilderness,Aspiro,therapist,people,True
Jerry Spanos,Brown Schools/CEDU,Heritage Schools (Heritage RTC),WWASPS,founder,people,True
Jessa Hobson,Eckerd,Outdoor Behavioral Healthcare Research Center,Wilderness,research assistant,other,True
Jim Graves,UHS,St Paul's Preparatory Academy,HOPE Group,dean of students and counseling,other,True
Jim Graves,UHS,Oak Creek Ranch School,Aspiro,dean of residential life,other,True
Jodi Escalante,Asst. (north),Telos Academy,Aspen,mentor,people,True
Joe F Akins,WWASPS,Grace Christian Home for Girls,Vivant,founder/executive director,people,True
Joe Procopia,Aspen,CRC Health Group,Embark,divisional president,people,True
Joe Ricci,Brown Schools/CEDU,Elan School,Asst. (north),founder/owner,corporate,True
John Cohen,Asst. (north),Wilderness Quest,Brown Schools/CEDU,therapist,people,True
John Cohen,Asst. (north),Open Sky Wilderness Program,Altior,therapist,people,True
John L. Santa,Asst. (north),Montana Academy,Eckerd,co-owner,corporate,True
John Sarchio,Asst. (north),Northwest Academy,Brown Schools/CEDU,academic director,people,True
Jonathan Daniel Birnkrant,Aspiro,Discovery Ranch,Embark,,unlabelled,True
Josh White,Altior,WinGate Wilderness Therapy,FHW,clinical director,people,True
Justin Hoover,Aspen,Acadia Healthcare,Embark,CEO,people,True
Kami Black,WWASPS,Solstice RTC,FHW,executive director,people,True
Kami Black,WWASPS,Lifeline for Youth,Teen Challenge,?,other,True
Kathy McGregor,Aspen,Mark McGregor,Embark,married,people,True
Kathy McGregor,Aspen,New Haven RTC,Embark,cofounder/executive director,people,True
Kathy Rex,Asst. (south),blueFire Wilderness Therapy,FHW,founder,people,True
Katie Rienstra,Aspiro,Cherry Gulch,HOPE Group,executive director,people,True
Katie Rienstra,Aspiro,Intermountain Hospital,UHS,therapist,people,True
Katie Soli,Brown Schools/CEDU,Diamond Ranch Academy,Eckerd,,unlabelled,True
