Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
07/01/2025,748.303(a)(2)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/17/2025,07/18/2025,Individual Standards Evaluated,Medium High,Yes,"Based on a review of the information, it was determined that an adolescent in care sustained an injury that warranted treatment by a medical professional; however, the incident was not reported to Licensing within required timeframe.

",07/18/2025-The operation's Case Manager submitted via email the Corrective Action Plan to Licensing indicating that staff has been advised that any injury/illness that warrants treatment from a medical professional will need to be reported to the appropriate individuals (Licensing) within the required timeframe.
07/01/2025,748.303(a)(2)(B) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/17/2025,07/18/2025,Individual Standards Evaluated,Medium High,Yes,"Based on a review of the information, it was determined that an adolescent in care sustained an injury that warranted treatment by a medical professional; however, the incident was not reported to parent(s) within required timeframe.

","07/18/2025-The operation's Case Manager submitted via email the Corrective Action Plan to Licensing indicating that staff has been advised that any injury/illness that warrants treatment from a medical professional will need to be reported to the appropriate individuals (CPS, Case Workers, Supervisors) within the required timeframe."
10/02/2023,748.125(d)(4)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/16/2023,10/06/2023,Individual Standards Evaluated,Medium,Yes,During the inspection it was found that two of four child's records reviewed did not have a suicide screening administered at admission,"An email was received from the operation with the new screening tool that will be added to the admission packet, ASQ Suicide Screening Tool from the NIMH toolkit"
10/02/2023,748.3101(2) - Safety and Emergency Practices,Safety and Emergency Practices,No,10/09/2023,10/06/2023,O:Safety and Emergency Practices,Medium High,Yes,During the inspection it was found that the operation has not yet had a fire inspection this year. The last inspection was on 8/17/2023.,An email from the operation was received with the fire inspection report from the Brazoria County Fire Marshal's Office. The inspection was completed on 10/6/2023
10/02/2023,748.2203(c)(2) - Medication,Medication,No,10/09/2023,10/06/2023,L:Medication,Medium High,Yes,During the inspection it was found that a child's medication log contained medication administration errors on five days,An email was received from the operation with an updated medication form to be used when a medication is missed or refused.
10/02/2023,748.3239(b) - Safety and Emergency Practices,Safety and Emergency Practices,No,10/09/2023,10/06/2023,O:Safety and Emergency Practices,Medium,Yes,During the inspection it was found that the operation has not conducted a severe weather drill,An email was received from the operation showing their updated emergency practices log. A severe weather drill was held on 10/3/2023
03/16/2022,748.3301(i) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/23/2022,03/23/2022,Individual Standards Evaluated,Medium High,No,"Two sinks in one of the girls restrooms had low water pressure, two dresser drawers in one bedroom were off the tracks, and wood paneling on one of the boys bedroom door was in need of repair.","Email received from the facility stating the following: The faucets on the two sinks in the girls bathroom have been replaced due to erosion in the old faucets that caused low water pressure.
The 2 dresser drawers in the girls bedroom were corrected at the time of inspection by pulling them out and sliding them back on track.
The door in one of the boys bedrooms where the wood was peeling has been replaced with another door.
"
09/28/2021,748.311(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/21/2021,10/20/2021,Individual Standards Evaluated,Medium,Yes,"There was missing information from 2 incident reports reviewed; the physical address, telephone number, and date of admission of the children",RCCL received an email from the operation with an updated serious incident form that included missing information.  The administrator explained they will be combining two separate forms so that all information is found on one form for serious incidents. This form was revised and will be used to document future incidents.  
09/28/2021,748.303(a)(9)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/21/2021,10/20/2021,Individual Standards Evaluated,Medium,Yes,An incident was not reported to licensing within 6 hours of an unauthorized absence. ,RCCL inspector received an email that the administrator staffed with her workers regarding reporting unauthorized absence within 6 hours if the child is missing and their whereabouts is unknown.   
08/10/2021,748.3351(1) - Physical Site,Physical Site,No,08/24/2021,08/16/2021,P:Physical Site,Medium High,Yes,During a walk through the inspectors could not open the bottom dressers in one of the girls bedrooms. There was a bottom drawer missing from a dresser in another girls bedroom. ,RCCL Inspector received the following: The citation for bottom dresser that inspectors could not open were off the track and the drawer was pull out and placed back on track correctly so drawer could open properly. The dresser that had the missing drawer was removed. Photos were provided. 
08/10/2021,748.3271(3) - Safety and Emergency Practices,Safety and Emergency Practices,Yes,08/10/2021,,O:Safety and Emergency Practices,Medium High,Yes,There was expired medication found in the first aid box. ,
09/08/2020,748.685(a)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/13/2020,10/26/2020,Individual Standards Evaluated,High,Yes,It was found that children in care were inappropriately supervised due to the facility being out of ratio.,"The operation submitted the following corrective action plan:

The facility was not out of ratio, but a staff had more children in her group than the 1:8 ratio for about 10 minutes in which led to the reported incident. The staff that left her group with that staff was reprimanded and it was reiterated about the importance of ratio and supervision for the safety of all the children. A staff meeting is scheduled for 10/28 2020 and the importance of ratio and supervision will be discussed with all staff in that meeting.

Additionally, during a follow up inspection, child was found to be supervised and within ratio of the caregivers."
