Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
11/06/2023,748.1337(b)(1)(F) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/18/2024,01/19/2024,Individual Standards Evaluated,Medium,Yes,This section is omitted in the child's initial service plan. ,"On 1/19/24 an email was sent by administrator stating that ""moving forward will be corrected to attached modifications regarding 748.1337(b)(1)(F)."" ""When a child is 14 years old and older, include plans for experiential life skills raining."" ""We erroneously had ours marked at 16 years and older."""
11/06/2023,748.1337(b)(1)(D)(i) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/18/2024,02/20/2024,Individual Standards Evaluated,Medium,Yes,"Initial service plans are missing the child's personal trauma history, child's trauma triggers, and methods to respond that will improve a child's ability to trust.",The operation has corrected this and has included it into the initial plan of service. This information was previously included the intake paperwork but will now be included in the initial plan of service. All Plans of Service moving forward with reflect this correction. 
04/19/2021,748.685(a)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/31/2021,06/02/2021,Individual Standards Evaluated,High,Yes,Due to a lack of supervision by caregivers a child was injured while bike riding. ,"Due to normalcy, and considering the standard that we were sited on, 748.685 (a)(4) we previously operated where our residents were able to, when appropriate, have unsupervised time riding bikes.  But due to this citation, we will no longer allow any child to be outside riding bicycles unsupervised.  All caregivers have been informed of this change.  "
02/10/2021,748.303(e)(3)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/09/2021,02/26/2021,Individual Standards Evaluated,Medium,Yes,Operation did not report within the required 24 hour time frame when staff tested positive for the covid-19 virus.,"To insure that we comply in the future, we have educated our campus staff regarding the need to report any positive Covid-19 tests to Human Resources and myself (Director of Social Services).  I will, personally, ensure that every positive test gets reported.  

"
