Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
03/14/2025,748.3301(a)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/21/2025,,Individual Standards Evaluated,Medium,No,The physical interior of the operation was observed with bugs/insects in the window seals of the children's bedrooms & the ceiling and the exist sign had spider webs and a clusters of insect debris. ,
01/30/2025,748.685(c)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,02/26/2025,02/27/2025,Individual Standards Evaluated,Medium High,Yes,During the investigation it was found that a child was not supervised according to the special needs addressed in the service plan,"Inspector interviewed four children in care and two staff members, and no concerns were noted.  Inspector observed the interactions between the staff and children and observed ratio and all children were observed to be appropriately supervised, and interactions were respectful and encouraging.  Inspector conducted a walkthrough of the operation and no risks to children were identified. Inspector reviewed one child's service plan regarding supervision requirements. Operation  is also changing window alarms to ensure the safety of children of care. "
09/02/2024,748.3301(a)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/08/2024,10/09/2024,Individual Standards Evaluated,Medium,No,"During the walkthrough, it was observed in the living area wires exposed beneath the TV console, a broken switch cover in upstairs bathroom, damaged door upstairs, and no blinds or privacy screen on living room window. Also, during the inv walkthrough it was observed and cited for physical site concerns for living area wires exposed beneath the TV console, a broken switch cover in upstairs bathroom, damaged door upstairs, and no blinds or privacy screen on living room window the same monitoring concerns back in 8/20/24.",All physical site concerns has been brought into compliance observed by inspector during inspection.
08/09/2024,748.2103(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/15/2024,10/09/2024,Individual Standards Evaluated,Medium,No,During the investigation it was found that discontinued medication was not destroyed,"An email was received from the operation's Administrator Da'Neisha Graham with the following corrections:  

Staff will maintain the upkeep of the medications by checking medications and destructing medications when there is a new medications we will remove the medications and destruct medications."
07/05/2024,748.683(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/06/2024,10/09/2024,Individual Standards Evaluated,Medium,No,Staff failed to properly de escalated an incident due not being properly trained. ,Staff failed to properly de escalated an incident due not being properly trained. 
01/19/2024,748.3351(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/01/2024,02/25/2024,Individual Standards Evaluated,Medium High,Yes,"During the walk through of the property, one of the children's window had broken blinds. ","Trels consistently conducts ongoing monitoring of the facility to identify any potential damage and promptly reports all concerns to the maintenance department. Although the reported item has been repaired, the investigator failed to request the corresponding maintenance record. An administrative review will be initiated to address this oversight."
01/17/2024,748.2101(6) - Medication,Medication,Yes,01/17/2024,,L:Medication,Medium High,Yes,"A medication prescribed to a child in care was discontinued on January 12, 2024 and as of January 17, 2024 the operation had not discarded of it. ",
12/01/2023,748.125(f)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/15/2024,05/31/2024,Individual Standards Evaluated,High,Yes,"A child in care was upstairs alone and was to be in the line of sight. The child was then able to self-harm. 
","
Trels will make sure everyone is well aware of the safety plan and everyone is following supervision protocols. 
"
11/27/2023,748.151(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/12/2024,01/10/2024,Individual Standards Evaluated,Medium,Yes,During the review of a child in care service plan another child was referenced. ,"Operation reported the error was system generated, the administrator and case manager will double checking CPOS to make sure there are accurate information/Name provided on CPOS. "
08/07/2023,748.3233(b)(3) - Safety and Emergency Practices,Safety and Emergency Practices,No,08/14/2023,08/07/2023,O:Safety and Emergency Practices,Medium High,Yes,Meet-up locations inside the operation were not identified on the emergency evacuation map. ,Trels Home For Children has added emergency evacuation on the map(s). TRELS Home For Children will always make sure there is an inside meet up location on the evacuation map.  
08/07/2023,748.3301(f) - Physical Site,Physical Site,No,08/14/2023,08/07/2023,P:Physical Site,Medium High,Yes,"Water-Well observed outside without a lock device to prevent child access.  In addition, the attic in the home was observed without a lock to prevent child access. ","There is a lock on the water well. The well also has an internal safety feature, an internal net, that prevents anyone from falling inside. TRELS Home For Children will ensure there is a lock on the well to prevent child access. "
