Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
04/11/2025,748.2151(c)(5) - Medication,Medication,No,04/23/2025,04/24/2025,L:Medication,Medium High,Yes,Medication record reviewed reflected multiple times not documented for one child record.,"Administrator sent out an email stating they have a non-negotiable medication policy. An impromptu medication refresher training was conducted, and a review of facility policies as well as minimum standards was conducted."
11/12/2024,748.4083(b) - Transportation,Transportation,No,11/26/2024,11/20/2024,R:Transportation,Medium Low,No,It was observed during the visit that the annual inspection of  both the van the and the car used to transport children have expired in 04/23 and 03/24 respectively.,During the follow up inspection it was noted that the facilities 2 vehicles used to transport children had an updated vehicle registration stickers with the following dates 10/25 and 10/25. The photograph of the updated stickers can be found in the document library. 
08/02/2024,748.2953(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/09/2024,08/06/2024,Individual Standards Evaluated,Medium,Yes,"The 2nd. Quarter EBI Report has not been submitted to Child Care Regulation.

",The operation's 2nd. Quarterly EBI Report was submitted into the system.  The report was reviewed in CLASS.
02/08/2024,748.2455(a)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/04/2024,03/05/2024,Individual Standards Evaluated,Medium High,Yes,Child in care and the caregiver both disclosed that the restraint was a result of the child attempting to trip the caregiver. ,"03/05/2024-The operation's LCCA submitted a Corrective Action Plan via email to licensing.  The LCCA explained the operation only performs one restraint which consist of the basket hold.  Additionally, the LCCA acknowledged residents are only restrained if they are a harm to self and/or others.  

The LCCA communicated with the specific staff member to identify the concerns with the restraint and Crisis Prevention Intervention best practices. According to the LCCA, this incident was utilized as a teachable moment for all staff and challenged the team to devise plans to de-escalate real-life behaviors through role-play and whole group collaboration."
10/27/2023,748.393(b)(3) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,10/27/2023,,Individual Standards Evaluated,Medium,No,One of two child records was observed without the required signatures of acknowledgment of notification of rights. staff provided a signed copy of acknowledgement notification. ,
10/27/2023,748.930(b)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,11/03/2023,02/07/2024,Individual Standards Evaluated,Medium High,Yes," Two out of two staff records reviewed, were observed without the required number of hours for annual transportation training. ","02/07/2024- The operation's LCAA submitted to licensing staff a Corrective Action Plan via email.  According to the operation's Corrective Action Plan, the operation takes full accountability for the oversight in reference to non-compliance as related to Standard 748.930(b)(4).  A two-hour transportation training was conducted on October 29, 2023, from 3:00PM to 5:00PM with all employees.

Additionally, the LCAA provided licensing staff copies of each employees' transportation training certificate indicating a 2-hour training course as well as displaying instructor as the operation's Chief Executive Officer conducted on October 29, 2023."
09/23/2023,748.2307(8) - Individual Standards Evaluated,Individual Standards Evaluated,No,11/27/2023,12/21/2023,Individual Standards Evaluated,Medium High,No,"During the course of the investigation, it was determined children in care are yelled at by staff. ","A corrective action response was submitted via email stating we are firm, fair, and consistent. While we are not in agreement with this deficiency, the LCCA met with each employee one-on-one and reviewed Paraverbal Skills (Volume, Tone, Pitch and Pace) as well as expectations."
07/26/2023,745.641 - Individual Standards Evaluated,Individual Standards Evaluated,Yes,07/26/2023,,Individual Standards Evaluated,High,Yes,"When reviewing a child's record, there was 1 staff that documented a serious incident report, which shows that she was present at the operation, and administered medication to a child before receiving notification from the Centralized Background Check Unit that the staff was eligible. ",
07/26/2023,748.2551(a) - Emergency Behavior Intervention,Emergency Behavior Intervention,No,08/02/2023,08/28/2023,N:Emergency Behavior Intervention,Medium High,Yes,1 EBI document reviewed showed that a child in care was restrained for an inappropriate reason which was for jumping over the couch. No de-escalation technique was used. Another EBI document reviewed also showed that no de-escalation technique was used.,"Unannounced Follow-Up Inspection conducted at the operation.  Staff interviews conducted regarding EBI implementation, protocols, documentation, and training.  Recent EBI report reviewed and in compliance.  Licensing staff held conversation with LCCA.  LCCA provided a Final Legacy Youth Corrective Action Plan indicating  Legacy Youth only restrains children that are a harm self or others. LCCA indicated the de-escalation techniques used and identified on the incident report; but not specified on the EBI. LCCA did not agree that this was a fair deficiency given, it could have been better documented. A training on documenting all facts and details was performed utilizing the EBI in question. Overall operation EBI evaluation was requested for review."
01/08/2022,748.2151(c)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/31/2022,01/31/2022,Individual Standards Evaluated,Medium,Yes,"In reviewing medication logs, two medication records were missing the reason for the medication being prescribed on two of eight children's records reviewed.",Legacy Youth created an internal audit form for med team members to utilize daily to ensure that all required data is provided. 
01/08/2022,748.1101(b)(4)(A)(iv) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/31/2022,01/31/2022,Individual Standards Evaluated,High,Yes,"During interviews with the children in care, 5 out of the 6 interviewed advised that part of discipline is receiving a sandwich in their bedroom while the other children eat something different. ","Legacy Youth does not deny residents of food. We do offer options and it is determined that residents over generalized and inaccurately communicated information. Peanut butter and jelly sandwiches are typically preferred
sandwiches by children; when offered as an option most girls choose it. Legacy Youth utilized our Girl Chat
processing group as an open forum to explain normalcy, food optionsspecifically PB&J sandwiches, consequences,
and explained how they will never be punished utilizing food. All residents were able to display a complete understanding of the topics discussed."
01/08/2022,748.2003(b)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/31/2022,01/31/2022,Individual Standards Evaluated,Medium High,Yes,Three medication records showed that medication was not administered as prescribed.,"Legacy Youth has operated nearly excellent in the area of medication administration for nearly three years. Weve
recently switched pharmacies and there were a few errors that delayed medication refills, inaccurate labels were
provided, and inconsistent documentation, etc. Legacy Youth has met with the pharmacy, doctors office, and Legacy
Youths Med Team to discuss AGAIN the importance of accuracy and efficiency in addition documentation."
06/14/2021,748.685(a)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/18/2021,06/14/2021,Individual Standards Evaluated,High,No,"During my investigation and interview with children in care and staff, it was determined that direct care staff were not aware of an injury sustained by a child in care.  The preponderance of evidence supports this standard as being deficient. ","no concerns noted, interviewed 2 children in care to discuss how they were being treated. no concerns found"
05/26/2021,748.2463(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/20/2021,07/13/2021,Individual Standards Evaluated,Medium High,No,"Two operation staff initiated a controlled escort with victim; however, during the investigation it was stated that the child was at the top of the stairs in the operation nudging their knees forward.  The escort was utilized as a way to force the child to come down the stairs.","The operation completed staff training on 7/11 (signatures provided), implementation of the corrective plan is 7/13/2021"
05/26/2021,748.2551(b)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/15/2021,07/13/2021,Individual Standards Evaluated,High,Yes,"The operation staff initiated a two-person team controlled escort with victim that resulted in three persons (two staff & victim) falling down the stairs. During the fall, one staff member initiated a basket hold on the median level of the stairs; however, safety was not considered, as the staff member had the opportunity to step back first to distance herself away from being kicked by victim.","The operation completed staff training on 7/11 (signatures provided), implementation of the corrective plan is 7/13/2021"
05/04/2021,748.3301(f) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,05/04/2021,,Individual Standards Evaluated,Medium High,Yes,During a team inspection walk through it was observed that one room contained two metal hanging wires over one child in care bed.  ,
04/29/2021,748.3301(i) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/03/2021,04/30/2021,Individual Standards Evaluated,Medium High,No,It was observed during the walk through that the fence in the backyard is broken and missing 1 picket.  ,photos provided 
04/29/2021,748.3301(f) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/30/2021,04/30/2021,Individual Standards Evaluated,Medium High,Yes,"It was observed during the walk through that the the operation had a pile of  loose bricks on the outside of the home, in the rear of the home near the side yard and in the backyard of the home near the corner.  ",photos provided 
10/05/2020,748.3301(a) - Physical Site,Physical Site,No,10/19/2020,11/19/2020,P:Physical Site,High,Yes,It was found at inspecton there was a hole in the bathroom wall . ,The facility sent in a corrective action plan that stated that they are conducting repairs to the home.They will request that all contractors remove debris the day of installation regardless of whether the job has been completed.  that The email was sent 10/19 however on day 2 of the inspection CCR Inspector Kameron Hollins observed them making repairs.
10/05/2020,748.3301(f) - Physical Site,Physical Site,No,10/19/2020,10/19/2020,P:Physical Site,Medium High,Yes,It was found during the inspection a pile of discarded wooden boards in the backyard . ,The facility sent in a corrective action plan that stated that they will continue to requestmaintenance repairs within 24 to 48 hours.There was a maintenance request submitted the day before licensing Unannounced visit.The email was sent 10/19 however on day 2 of the inspection CCR Inspector Kameron Hollins observed them making repairs.
08/26/2020,748.303(a)(11)(B) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/23/2020,10/30/2020,Individual Standards Evaluated,Medium,Yes,I child attempted suicide and the CPS worker was not notified. ,The facility sent in a corrective action plan that the incident report is reflective of a grammatical error.Instead of the words attempting and the staff should have documentated the word attempting by.
08/26/2020,748.303(a)(11)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/23/2020,10/30/2020,Individual Standards Evaluated,Medium High,No,A child attempted suicide and it was not reported to licensing. ,"The facility sent over an corrective action plan that stated that the residents case worker had a change or was in transition.The facility reports all incidentsto the case worker that supervisies our out of region residents ,Dana Charles."
