Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
08/04/2025,748.3443(b)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/08/2025,08/04/2025,Individual Standards Evaluated,Medium,No,"During the inspection, the thermometer in the fridge was not working and there was no thermometer in the freezer of the deep freezer. ","The operation followed up on the deficiency by providing threw pictures of thermometers with the correct degrees according to minimum standards for the fridge, freezer, and the deep freezer. "
08/04/2025,748.3445(a) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,08/04/2025,,Individual Standards Evaluated,Medium High,Yes,"During the inspection, there were multiple food items not stored properly as there was no expiration date on foods that were cooked. ",
08/01/2025,HRC42.063(a)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/02/2025,09/18/2025,Individual Standards Evaluated,High,Yes,A child's suicide attempt was not reported to the statewide intake within the required timeframe by the operation. ,"The case manager and the adminstrator stated that the only thing that is changing is the advice provided by licensing,  so the operation will report all hospitalizations and report all incidents of self-harm. The csae manager stated that if there is another staff at the operation when an incident occurs, staff will report it to the case manager and the administrator. Then the incident will be reported to the hotline within the required timeframes according to minimum standards. 

 I also reviewed incident reports provided from 8/18/2025-9/08/2025 and there were no concerns as the inicidents did not need to be reported as serious incident reports. 
 "
08/29/2023,748.981(a)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/05/2023,09/02/2023,Individual Standards Evaluated,Medium High,Yes,The CPR/First Aid certificate for a PRN staff's file reviewed expired March 2023. ,I will update my PRNs staff file stating that he is PRN. I will create a training schedule for him based on when he is in town and available to ensure that all of his trainings are able to be completed timely. 
06/18/2023,748.507(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/21/2023,07/20/2023,Individual Standards Evaluated,Medium High,Yes,"The operation did not exercise prudent judgement when the door of the main office, where the van keys were kept, was left unlocked during the nightshift hours. This allowed a resident access to the van keys, allowing her to drive the van off the property.",Staff has attended additional training regarding supervision and prudent judgment in various situations. The facility van keys are now under double lock. They are now locked in the medication cabinet which is locked in the admin office. 
08/08/2022,748.3115(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/15/2022,08/10/2022,Individual Standards Evaluated,Medium High,Yes,Fire extinguisher expired July 2022.  ,Photo received of compliant fire extinguisher. 
05/24/2022,745.651(2)(A) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,05/24/2022,,Individual Standards Evaluated,Medium,Yes,Background checks have not been validated in the past 90 days.,
03/01/2022,748.2151(d) - Medication,Medication,No,03/08/2022,03/02/2022,L:Medication,Medium High,Yes,Two of nine reviewed medication logs had an inaccurate count documented. ,3/2/22- Ms. Phyllis sent in a copy of the corrected med logs. 
03/01/2022,748.2205(1) - Medication,Medication,Yes,03/01/2022,,L:Medication,Medium,Yes,A child's medication label was printed to be administered PM when it should have been AM. ,
02/02/2022,"748.1205(a)(10) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,02/08/2022,02/09/2022,"I:Admission, Service Planning, Discharge",Medium High,Yes,There were four children's records reviewed and four out of four children's records didn't have contraindications to the use of restraints.,The administrator sent the information required for follow up via email on 2/8/22. I have reviewed the documentation and compliance is met.
09/17/2021,748.311(1) - Reports and Record Keeping,Reports and Record Keeping,No,10/01/2021,09/21/2021,D:Reports and Record Keeping,Medium,No,Serious Incidents to not include the operations contact information. ,The corrected document was submitted and found to be in compliance. 
09/17/2021,748.3239(d) - Safety and Emergency Practices,Safety and Emergency Practices,No,10/01/2021,09/21/2021,O:Safety and Emergency Practices,Medium Low,No,Severe weather drill form was not available at the time of inspection. ,The corrected document was submitted and found to be in compliance. 
09/17/2021,"748.1437(2) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,10/01/2021,09/21/2021,"I:Admission, Service Planning, Discharge",Low,No,The Discharge Summary did not include when the child was informed of their discharge. ,The corrected document was submitted and found to be in compliance. 
