Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
04/02/2025,748.1703(b) - Child Care,Child Care,No,04/11/2025,05/08/2025,J:Child Care,Low,No,During the monitoring inspection it was discovered that menus did not contain food substitutions.,"Administrator emailed the daily menu includes the meal that will be prepared and the substitution.  The children also know, the operation will allow the child to pick something else if they don't like the substitution. The operation is very flexible with the children as they even allow them to offer menu suggestions and look up the recipe to incorporate it into our menu rotation."
04/02/2025,748.363(14) - Reports and Record Keeping,Reports and Record Keeping,No,04/11/2025,05/08/2025,D:Reports and Record Keeping,Medium Low,No,"During the monitoring team inspection, it was discovered that 2 of the 2 employee records viewed did not contain the person's performance with the operation.  ",The Administrator stated yearly letters are given to staff advising them of a job well done and list any pay raise or bonus.  Moving forward the administrator will create a formal employee Annual Performance review document.  The review for each employee will be completed on their anniversary hire date.  The document will be filed in the employee's file.
04/02/2025,748.311(1) - Reports and Record Keeping,Reports and Record Keeping,No,04/11/2025,05/08/2025,D:Reports and Record Keeping,Medium,No,The operations serious incident documentation does not have all of the required components per the minimum standards. ,"Administrator emailed the operation using the Texas Dept of Family and Protective Services Serious Incident Report Form 3005. This process is to ensure no details are forgotten and allows the staff to jot brief notes.  This information is then transferred to Form 3005.  The auditor cited stating the internal form did not include the facility address and telephone number.  When we do the final documentation of Form 3005, the address and phone number are included."
04/02/2025,748.453(a)(1) - Reports and Record Keeping,Reports and Record Keeping,No,04/11/2025,05/08/2025,D:Reports and Record Keeping,Medium,No,"The unauthorized absence log was observed to not have the required components per the minimum standards such as the child's age, gender, date of admission, name of caregiver responsible or how long the child was gone for.","Administrator emailed stating they had developed an Unauthorized Absence Log in the event we had a child to run. The log was updated in February 2025.  Please see the log the operation had developed.  When the administrator printed the log for the auditor, they inadvertently given the auditor one of the draft copies and not the finalized document."
05/17/2022,748.565(3) - Personnel,Personnel,No,05/24/2022,05/24/2022,E:Personnel,Medium Low,Yes,One discharged child's file reviewed had a discharge summary that was not signed by the PLSP.,The owner and administrator e-mailed a statement stating they will ensure their PLSP signs all necessary documentation in the future.
02/24/2021,748.363(4) - Reports and Record Keeping,Reports and Record Keeping,No,03/10/2021,02/25/2021,D:Reports and Record Keeping,Medium,No,Two staff files reviewed did not contain high school diplomas. ,"The administrator e-mailed me a copy of both staff members high school diplomas and stated she would be sure to put a copy of the staff members high school diplomas, college diploma, or school transcript in all staff files in the future."
