Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
06/04/2025,745.635(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/24/2025,07/18/2025,Individual Standards Evaluated,High,Yes,"An administrative penalty will be recommended as a result of this citation, per HRC §42.078","RCCR received an email from Mr. Scruggs for compliance on 7/18/25.
Standard 745.635 (2) AP Background check determination  if ineligible then you must immediately remove subject from the operation and confirm to CBCU receipt of notice letter.

The standard was reviewed with Human Resources department staff members and coaching/clarification was provided by Glenn Scruggs  the Licensed Child Care Administrator on 7/17/25 that when a staff member is deemed ineligible that they must be removed from the schedule that day, notify the CBCU that the employee has been removed from the schedule, and ensure that the staff member has been timely deactivated with the CBCU and is no longer associated with Meridell Achievement Center within the specified timeline per minimum standards.  I have advised that the HR department review the background checks and if there are any questions related to a background check that they consult with me as the Campus Administrator for guidance and clarification.  The HR department will review the provider login page at least twice a week to ensure that they are monitoring the background checks and other items that need to be addressed on the site.   
"
03/30/2025,748.1003(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/05/2025,05/19/2025,Individual Standards Evaluated,Medium High,Yes,"Through interviews staff as well as documentation provided, it is determined one of the units on campus was out of ratio during the time of the altercation on 03/30/2025.","On 5/5/25 the operation indicated that they are having administrative staff review staffing schedules, continue to hire MHT's and nursing staff to ensure ratio. On 5/19/25 an inspection was conducted, and children were interviewed regarding ratio and language. No concerns noted."
03/30/2025,748.507(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/05/2025,05/19/2025,Individual Standards Evaluated,Medium High,Yes,Residents interviewed consistently mentioned a staff member used profane language. One staff member was told by several residents that a staff member has use profane language.  Another staff member stated he had heard a staff member used profane language.,Residents were interviewed regarding cursing. Administrator also provided training to the staff involved. 
02/11/2025,748.2551(b)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/10/2025,03/14/2025,Individual Standards Evaluated,Medium High,Yes,"An inappropriate restraint was completed by a staff on a child. Staff lunged at the child tackling the child to the ground. A proper hold could not be completed, but staff continued to wrestle with the child for 30-45 seconds until another staff responded. ","Although this is not pulling over into the INV follow-up, the inspection for this follow-up was completed on INSP# 4047160. CCR received an email on 3.10.25 explaining the staff that was involved in the investigation had been terminated. 

RCCR VLopez conducted a follow up at Meridell on 3/14/25. Interviews with children and staff regarding Emergency behavior interventions, de-escalation, training, and caregiver responsibility.  No concerns were noted during these interviews. "
01/22/2025,748.685(a)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/14/2025,03/14/2025,Individual Standards Evaluated,High,Yes,"During the course of the investigation, a staff member admitted they did not intervene when an altercation took place between two children in care.  ",
01/11/2025,748.3301(a)(2) - Physical Site,Physical Site,No,01/27/2025,01/27/2025,P:Physical Site,Medium,Yes,Grates in 4 of the doors at the gym were found to be bent. The pool was found to be dirty and the bottom could not be seen. Trash was foun through out all of the buildings. ,"The grates in the gym were inspected by Director of Plant Ops and replacement metal grates have been ordered (1/14/25) and will be replaced when they arrive at the facility.  The pool was shocked with chemicals (1/14/25) and the pool water is now blue and clear in color.  Staff were reminded (1/15/25) to pick up empty water bottles and as we discussed, the patients were involved in indoor arts and crafts activities which is why there was paper and art supplies on the floor int the dayroom areas.  Staff were instructed to be more proactive and to pick up things as they go through the activities to ensure there is not clutter present."
11/29/2024,748.2551(b)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/28/2025,02/10/2025,Individual Standards Evaluated,Medium High,Yes,It was determined staff were unable to restrain the child using techniques that were approved by the facility. The staff and 3 collateral witnesses verified this information.,"The operation provided documentation of 1 week of suspension without pay for Marian Fields dated 12/3/24 for violating Policy HR 403  Aggressive behavior including but not limited to verbal or physical abuse/threats, swearing, or intimidating behavior directed towards a patient, visitor, or facility employee.
Training record for Mareion Fields dated 12/13/24. 4 hours of verbal de-escalation. Signed by trainer Jim Pennymore. Review of Key points in a crisis, working styles in crisis and stages, preventing power struggles, active listening, and tagging in or out.

On 2/10/25 RCCCR held interviews with children and staff indicating that only permitted types of EBI are being used. The operation will continue to use refresher EBI training to ensure compliance. Inspection #4037759
"
11/29/2024,748.2463(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/28/2025,02/10/2025,Individual Standards Evaluated,Medium High,Yes,The staff in question stated they did an escort when the victim refused to leave the Dayroom. 3 Collateral Staff stated an escort was done because the victim refused to leave the Dayroom.,"The operation provided documentation of 1 week of suspension without pay for Marian Fields dated 12/3/24 for violating Policy HR 403  Aggressive behavior including but not limited to verbal or physical abuse/threats, swearing, or intimidating behavior directed towards a patient, visitor, or facility employee.
Training record for Mareion Fields dated 12/13/24. 4 hours of verbal de-escalation. Signed by trainer Jim Pennymore. Review of Key points in a crisis, working styles in crisis and stages, preventing power struggles, active listening, and tagging in or out.

On 2/10/25 RCCR held interviews with children and staff indicating that EBI is being used according to standards and not for compliance. The operation will continue to use refresher EBI training to ensure compliance. Inspection #4037759
"
11/27/2024,748.151(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,02/14/2025,02/10/2025,Individual Standards Evaluated,Medium,Yes,"During the investigation, it was discovered that a child's records was not documented accurately.",The operation has discussed the importance of true and accurate documentation and records with staff in staff meetings and training.
10/18/2024,748.1553 - Individual Standards Evaluated,Individual Standards Evaluated,No,12/16/2024,01/07/2025,Individual Standards Evaluated,High,Yes,Documentation reviewed determined a child was assessed and concerns of a  serious injury were suspected on 7/29/30 but the child was not given treatement until 7/30/24.  Upon Follow up it has been determined the facility will continue with their current protocols. ,"New protocol is that the nurse will assess a child's injury. During business hours Mobile X-Ray will be notified to come on the same day. During Holidays or after hours, nurse will assess. If X-Ray is need the Mobile X-Ray will be notified as STAT. If they do not arrive by the end of the shift the child will automatically be sent to the hospital. X-Ray mobile is contracted for 24/7 Service. "
