Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
01/13/2025,748.1103(d) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/20/2025,01/22/2025,Individual Standards Evaluated,Medium,Yes,One out of ten child right's was not signed at the time of admission.  An additional child refused to sign the rights of children and additional attempts to have the document signed have not been completed.  ,Operation administrator stated that all records were reviewed and they ensured that residents had signed rights of children in care.   
10/29/2024,"748.1385(1) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,11/12/2024,12/11/2024,"I:Admission, Service Planning, Discharge",Medium Low,Yes,One out of three service plans reviewed did not contain updated information related to psychotropic medication appointments.  ,this standard is complaint.  
10/22/2024,748.1531(a)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,01/10/2025,01/13/2025,Individual Standards Evaluated,High,Yes,The operation failed to obtain timely medical care for a child after they ingested over the counter medication during an unauthorized departure. ,This standard is now compliant.  
10/03/2024,748.151(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,11/26/2024,12/11/2024,Individual Standards Evaluated,Medium,Yes,The operation provided two incident reports documenting separate incidents occurring on separate dates but included identical information regarding the circumstances.,This is compliant
09/26/2024,748.2307(8) - Individual Standards Evaluated,Individual Standards Evaluated,No,11/22/2024,12/26/2024,Individual Standards Evaluated,Medium High,Yes,"A caregiver yelled profanities at a child in care.  A caregiver also ridiculed a child in care's appearance.  


","The caregiver directly involved in this incident was required to complete the Mandatory Reporting training and coaching session according to HR policies for personnel disciplinary procedures.  

Additionally, it was reported that all caregivers had completed mandatory training on program regulations and minimum standards on November 13, 2024. Caregivers who were not available for the face-to-face training concluded the training virtually. The facility inspection did not reveal any areas of concern.
"
08/29/2024,748.2151(a) - Medication,Medication,No,09/12/2024,09/16/2024,L:Medication,Medium High,Yes,The operation failed to ensure appropriate medication count for a prescription medication.  , Standard is now compliant 
08/27/2024,748.303(a)(3)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/18/2024,10/24/2024,Individual Standards Evaluated,Medium High,Yes,Two caregivers were present and aware that a staff was utilizing an unapproved form of EBI and did not report or intervene for the safety and well-being of a child in care.  ,Two caregivers were present and aware that a staff was utilizing an unapproved form of EBI and did not report or intervene for the safety and well-being of a child in care.  
08/27/2024,748.1101(b)(1)(B) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/18/2024,10/24/2024,Individual Standards Evaluated,High,Yes,This standard was found deficient as part of a DFPS Investigation.,This standard was found deficient as part of a DFPS Investigation.
08/27/2024,748.507(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/18/2024,10/24/2024,Individual Standards Evaluated,Medium High,Yes,"A caregiver failed to demonstrate employee responsibilities when he participated in aggressive horseplay with a child in care, pushing the child down two times.  ","A caregiver failed to demonstrate employee responsibilities when he participated in aggressive horseplay with a child in care, pushing the child down two times.  "
08/27/2024,748.2461(a)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/18/2024,10/24/2024,Individual Standards Evaluated,High,Yes,A caregiver used an inappropriate form of EBI when a child in care was drug by her feet in a supine position.  ,"During a follow-up inspection at the facility, four caregivers stated on October 16, 2024, that a mandatory training session was held to educate them on various techniques to use when de-escalating behaviors in individuals. It was also noted that supervision and additional education minimum standards and restraint methods were discussed during the meeting.

Caregiver directly responsible in this incident has been terminated from employment as of 8/27/2024.  "
08/27/2024,748.2463(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/18/2024,10/24/2024,Individual Standards Evaluated,Medium High,Yes,A caregiver used an unapproved form of EBI as a means for a child to comply with an instruction.  ,A caregiver used an unapproved form of EBI as a means for a child to comply with an instruction.  
07/25/2024,748.126(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/13/2024,09/16/2024,Individual Standards Evaluated,Medium,Yes,A caregiver at the operation failed to follow operation policies when overnight bed checks were not conducted as required every 10 minutes.  , Standard is now compliant 
07/25/2024,748.1661(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/13/2024,09/16/2024,Individual Standards Evaluated,Medium High,Yes,A caregiver utilized tobacco products during shift when job responsibilities included providing supervision for children in care.  , Standard is now compliant 
07/16/2024,748.685(b)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/11/2024,09/16/2024,Individual Standards Evaluated,Medium High,Yes,Caregivers failed to ensure the safety and supervision of a child in care when she left the operation without permission 4 separate times during a 12 hour period of time.  , Standard is now compliant 
07/13/2024,748.685(b)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/18/2024,09/25/2024,Individual Standards Evaluated,Medium High,Yes,Caregivers aware of a child's frequent elopements left the child unsupervised for at least 8-10 minutes allowing the child ample time to leave without permission.,"on 09/18/2024 an email received from Administrator with a Program Improvement Plan for compliance. The whiteboard with information about youth stabilization and safety plans will be moved to the staff office from the breakroom making it more visible and the information more readily available for direct care staff to review daily when they come on shift.
Therapist received e-mail communication with reminders about the importance of completing stabilization/safety plans in a timely manner, sending out the appropriate notifications when they are implemented and/or changed, and ensuring a copy is placed next to the whiteboard for easy access to direct care staff.
On September 16, 2024, the administrative team began participating in Daily Stand-Up Meetings where information is shared regarding children from incidents from the day before, off campus, sick bed, truant, one-on-one, shadowing, stabilization, off campus appointments and admissions and discharges. In relation to youths with high instances of runs, during the meeting supervisors communicate about incidents from the day before and therapist discussed current stabilization/safety plans. After the meeting, supervised ensure direct care staff are made aware of the current and updated stabilization plans to ensure they are aware of which youth are under sight and sounds supervision plans or more stringent supervision plans.
Follow up inspection completed on 09/24/2024. Per interviews with staff, meetings are held in the mornings with administrative team then supervisors ensure BHT are aware of any special supervision need and another meeting is held at shift change with BHT's."
07/09/2024,748.303(a)(10)(B) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/12/2024,09/18/2024,Individual Standards Evaluated,Medium,Yes,"A child in care was absent from the operation for more than 6 hours before it the incident was reported to the parent.
","Inspection Number 4019850 on 09/18/2024
Reviewed training attendance sheet regarding reporting serious incidents. Training was provided on September 12, 2024. Discussed with administrator reporting criteria. Administrator indicates new systems in place to guide and track reporting for staff on duty at the time of incident. "
