Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
03/19/2025,748.363(6) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/24/2025,03/31/2025,Individual Standards Evaluated,Medium,Yes,Four employee files were reviewed and found to be missing proof of TB tests. ,"On 3-31-25, the CEO Ashly Johnson submitted the operations CAP along with proof of TB tests for four employees. Ms. Johnson stated all employees will be informed that TB testing is a requirement for employment. Ms. Johson stated as CEO she will review all new placement files to ensure admission assessments are completed. "
03/19/2025,748.1215(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/25/2025,03/31/2025,Individual Standards Evaluated,Low,Yes,Two of Two records reviewed for the children in care with the operation are missing their Admissions Assessments. ,"On 3-31-25, the CEO Ashly Johnson submitted the operations CAP along with proof of TB tests for four employees. Ms. Johnson stated all employees will be informed that TB testing is a requirement for employment. Ms. Johson stated as CEO she will review all new placement files to ensure admission assessments are completed. "
11/15/2024,748.303(a)(12)(A) - Reports and Record Keeping,Reports and Record Keeping,No,12/20/2024,12/16/2024,D:Reports and Record Keeping,Medium High,Yes,Suicide polices does not include the procedure as to how the operation will report to licensing.,Operation updated polices to reflect changes that include the procedure the operation will take when reporting a suicide attempt by a child. 
11/15/2024,748.3391(c) - Physical Site,Physical Site,No,12/06/2024,12/16/2024,P:Physical Site,Low,Yes,"Common restroom does not provide privacy for children as children would need to pass through kitchen and living
room area to access restroom.",Physical changes have been made so that children have direct access to restroom without having to pass through the kitchen or living room area. 
11/15/2024,748.103(a) - Organization and Administration,Organization and Administration,No,12/20/2024,12/16/2024,C:Organization and Administration,Medium,Yes,There are no policies and procedures in place regarding emergency services.,Policies and procedures have been created and added regarding emergency services. 
11/15/2024,748.125(d)(4)(E) - Organization and Administration,Organization and Administration,No,12/18/2024,12/16/2024,C:Organization and Administration,Medium High,Yes,"Suicide policies did not include how the operation will immediately implement a suicide screen if child exhibit
warning signs.",Operation updated polices to induce how the operation will screen children if they exhibit any warning signs of suicide.
11/15/2024,748.3351(3) - Physical Site,Physical Site,No,12/06/2024,12/16/2024,P:Physical Site,Medium Low,Yes,Operation does not have required living space for minimum capacity for a General Residential Operation.,Operation made physical site changes to expand living area which consists of a study room that allows the operation to have enough living space for a total of 7 children. 
