Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
06/21/2024,748.3391(a) - Physical Site,Physical Site,Yes,06/21/2024,,P:Physical Site,Medium High,Yes,"During walk through, it was observed in the downstairs bathroom shower, mold in adjacent corners of the door frame, each ranging in about 3 in wide in diameter.",
05/28/2024,748.1337(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/09/2024,08/04/2024,Individual Standards Evaluated,Medium Low,Yes,"The service plan report reviewed for this investigation had several areas left blank to include summary of goals, needs and strengths sections, summary progress for goals, medication list, triggers, target dates, emotional disorders, and missing signatures.","An email was sent with the following correctives:
Per your request, corrections for Investigation 

On Friday, August 02, 2024, A Promising Journey received a letter pertaining to per said investigation stating standard: 

748.1337 (b) Initial Service Plan-Document in the childs record to include preliminary service plan requirements

It was determined that the Service Plan was missing several blank areas including the summary of goals, needs and strengths sections, summary of progress goals, medication list, triggers, target dates, emotional disorders, as well as missing signatures. 

A Promising Journey (APJ) sets policies and procedures for residents/staff to increase accountability, professionalism, progress, and avoid unnecessary crisis and/or violations.

Service Plan documentation is also a part of policies and procedures as a method of ensuring that APJ monitors and records all of residents progress and performances.

Moving Forward

The Professional Level Service Provider/Case Manager/Licensed Child Care Administrator will ensure that each childs service plan is completely individualized and detailed to ensure that the childs needs are evaluated and met in all areas of service and need, including but not limited to signatures.

Failing to do so may result in staff being removed from their work schedule pending results from investigation and/or allowed to work in another area. 



"
02/16/2024,748.2151(c)(3) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,02/16/2024,,Individual Standards Evaluated,Medium,No,Several medication records were observed missing the reason the medication was prescribed. The case manager went through the medication log and entered the reason medication was prescribed for each child prior to the inspection concluding. ,
02/03/2024,748.2003(b)(11) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/04/2024,04/12/2024,Individual Standards Evaluated,Medium High,Yes,A child in care received another child's prescribed medication. ,"Three children's interviews were conducted, and they each described the medication administration procedure requiring preparation apart from the household members, no talking during medication administration, and two step verification process. "
01/03/2024,748.303(a)(6)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,02/23/2024,02/16/2024,Individual Standards Evaluated,Medium,Yes,A serious incident was not reported to Licensing when an officer responded to an incident at the operation. ,"On 02/16/24 an email was sent with the following correctives: During orientation to the facility, as well as annually, staff will be taught the importance of notifying the LCCA immediately, calling the Hotline (within 24 hours), as well as strategies and techniques to provide the best care, welfare, safety, and security for all.
Staff will document all altercations (physical and/or verbal), teaching residents to report to an adult (be a direct care staff, Case-manager, LCCA, etc.), while maintaining a safe and secure environment.

Failing to do so may result in staff being removed from the work schedule pending results from investigation and/or allowed to work in another area under a safety plan.



"
09/25/2023,748.685(a)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/24/2023,11/09/2023,Individual Standards Evaluated,High,Yes,It was determined that one caregiver was not able to intervene during a fight due to an injury to the ankle. ,"An email was sent that stated the following corrections. Staff who have any personal circumstances that may limit their performance while scheduled (physical or otherwise) must consult their manager prior to their attendance. 
When/Where necessary, staff who may be limited in their ability to perform all duties as assigned, must seek advice from their health care provider before reporting to work. Staff (injured or experienced an accident) must/will use prudent judgement when stationed in an area that requires physical involvement by tagging out with a peer and reporting the change to their immediate supervisor.
During orientation to the facility, as well as annually, staff will be taught strategies and techniques they can use to provide the best care, welfare, safety, and security for all.
Staff will document all altercations (physical and/or verbal), as well as teach residents to report  to an adult (be a direct care staff, Case-manager, LCCA, etc.), while maintaining a safe and secure environment. Failing to do so may result in staff being removed from work schedule pending results from investigation and/or allowed to work in another arean under a safety plan.


Follow-up interviews were also conducted with children in care.


"
09/25/2023,748.311(10) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/31/2023,10/31/2023,Individual Standards Evaluated,Medium,No,It was determined that the incident report is missing the resolution of the incident. It also does not include any child or adult witnesses. ,"An Email was sent with the following correctives which stated: It was determined that the incident report is missing the resolution of the incident and did not include any child or adult witnesses. 

A Promising Journey (APJ) sets policies and procedures for residents/staff to prevent injury, increase accountability, and avoid unnecessary crisis.

Documentation is also a part of policies and procedures as a method of ensuring that APJ monitors and records all incidents of residents, staff, and that we are using best practices.  
After an incident is managed (staff being in arms reach as well as in close sight), a critical report will be completed for the resident and stored in her file. Documentation of the event will be kept in the residents file. Information within the report will include: 
1.	Type of incident
2.	Date and time of the incident
3.	Supervisor contacted, including method of contact, and time of contact.
4.	Local authorities contacted and the time of contact (if applicable).
5.	Case worker contacted, time and method of contact.
6.	Hotline called, time of call and incident number given (if applicable).
7.	Documentation of the incident location, when completed.
8.	End result/resolution; and
9.	Witnesses (child and/or adult)

"
09/09/2023,748.2203(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,11/10/2023,10/31/2023,Individual Standards Evaluated,Medium High,Yes,No contact with a health care professional was made when the child was given the wrong medication.,"An email was sent with the following correctives: When a medication administration error occurs, staff will follow these guidelines:
1.	keep the resident in the room where medication was dispensed.
2.	If the resident has already returned to her room, have someone accompany the resident back to the area where dispensed.      
3.	observe the residents status and document what you see.      
4.	identify the incorrect dose or type of medication taken by the resident.     
5.	notify the case manager and supervising staff immediately if medication was given by non-licensed personnel (The supervising staff will contact the LCCA, Executive Director, and/or health care provider of the resident.)      
6.	if contacting the Poison Control Center for instructions: 
a.	give the name and dose of the medication taken in error.         
b.	give the residents age and approximate weight, if possible        
c.	give the name and dose of any other medication the resident receives, if possible 
7.	follow instructions from the Poison Control Center, if possible.  If unable to follow their instructions, explain the problem to the Poison Control Center to determine if the resident should be transported for emergency care. 
8.	Notify the residents health-care provider via telephone, document, follow up with an email, and adhere to the given instructions/recommendations.
9.	complete the Critical Incident Report form. Carefully record all circumstances and actions taken, including instructions from the Poison Control Center and/or the residents health care provider, and the residents status.  All reports are to be filed and kept according to A Promising Journey Inc.s policy.   
 
Lastly, errors made in recording medications on the Medication Administration Record should be marked void/error initialed and dated. Whiteout may not be used.  Medical errors may lead to fines, corrective action and/or a finding of abuse.






"
11/30/2022,748.2101(4) - Medication,Medication,No,12/09/2022,12/05/2022,L:Medication,Medium High,Yes,There is no place for cold medication.,
11/30/2022,748.2753(a)(1) - Emergency Behavior Intervention,Emergency Behavior Intervention,No,12/09/2022,12/05/2022,N:Emergency Behavior Intervention,Medium High,No,missing from policy,
