Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
07/30/2025,748.1337(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/08/2025,08/08/2025,Individual Standards Evaluated,Medium Low,No,"During the inspection, I observed two of two children's records reviewed during the inspection lacked acceptible and timely Initial Service Plans.","The operation failed to provide corrections for this standard by the compliance date.  However, the operation was denied full licensure and has ceased operating as of 8/1/25.  Due to the closure of the operation, risk has been mitigated on this standard."
07/30/2025,748.2151(c)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/08/2025,08/08/2025,Individual Standards Evaluated,Medium,No,"During the inspection, I observed one of two resident's medical records showed a medication log lacking the prescribing doctor's name.  ","The operation failed to provide corrections for this standard by the compliance date.  However, the operation was denied full licensure and has ceased operating as of 8/1/25.  Due to the closure of the operation, risk has been mitigated on this standard."
07/30/2025,748.125(d)(4)(C) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/08/2025,08/08/2025,Individual Standards Evaluated,Medium,No,"During the inspection, I observed one of two children's records reflected the last adminstration of the suicide screening tool was completed over two months ago.","The operation failed to provide corrections for this standard by the compliance date.  However, the operation was denied full licensure and has ceased operating as of 8/1/25.  Due to the closure of the operation, risk has been mitigated on this standard."
07/24/2025,748.2151(c)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/01/2025,07/30/2025,Individual Standards Evaluated,Medium,No,"Duriung the inspection, I observed one of three children's medication records to include a log lacking the reason for the prescription.  ","On 7/30/25, The operation provided a written correction plan indicating the assigned medication supervisor or trained designee will be reviewing all medical administration records on a weekly basis."
07/24/2025,748.3301(a)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/01/2025,07/30/2025,Individual Standards Evaluated,Medium,No,"During the inspection, I observed a broken handle on a door leading out of a kitchen hallway.  ","On 7/30/25, The operation provided a written correction plan indicating the Director of Operations would conduct monthly facility inspections to affect repairs in a timely manner.  On 7/31/25, The operation provided me with the maintenance request for repair and photographic evidence the repair had been completed.  This brings this standard back into compliance."
07/24/2025,748.2151(c)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/01/2025,07/30/2025,Individual Standards Evaluated,Medium,Yes,"During the inspection, I observed one of three children's records included a medication log with no prescribing doctor listed.","On 7/30/25, The operation provided a written correction plan indicating the assigned medication supervisor and shift supervisor will be responsible for double-checking the medication log for completion, and monthly audits will be concluded to ensure this information is recorded accurately.  This brings this standard into compliance."
07/24/2025,748.2151(c)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/01/2025,07/30/2025,Individual Standards Evaluated,Medium High,Yes,"During the inspection, I observed one of three children's med logs contained check marks in place of the time entry, and another child among the three had a med log with blank entries during the child's incarceration.","On 7/30/25, The operation provided a written correction plan indicating designated staff will conduct weekly audits to ensure medication logs are fully completed, and ongoing training will be provided on an as needed or quarterly basis.  The administrator will review and document weekly audits.  This brings this standard back into compliance.  "
07/24/2025,748.1337(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/01/2025,07/30/2025,Individual Standards Evaluated,Medium Low,No,"During the inspection, I observed three of three children's records did not contain acceptible service plans compliant with the minimum standards requirements.","On 7/30/25, The operation provided a written correction plan indicating the case management team would receive training on proper documentation and use of the DFPS service plan template.  The supervisors will review and approve the plans prior to finalization.  This brings this standard back into compliance."
07/24/2025,748.3365(b)(2) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,07/24/2025,,Individual Standards Evaluated,Medium,No,"During the inspection, I observed a resident's bed lacked a mattress cover.",
07/24/2025,748.125(d)(4)(C) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/01/2025,07/30/2025,Individual Standards Evaluated,Medium,No,"During the inspection, I observed three of three suicide screening tools did not inlcude dates, preventing verification of the 30 day intervals for RTC children.","On 7/30/25, The operation provided a written correction plan indicating the operation has begun utilizing updated forms which include a mandatory data field requiring the assessor to enter the date administered.  All staff will receive refresher training o documentation practices, and administrative reviews of the records will be conducted on a weekly basis.  This brings this standard into compliance.  "
07/24/2025,748.601 - Individual Standards Evaluated,Individual Standards Evaluated,No,08/01/2025,09/08/2025,Individual Standards Evaluated,Medium High,Yes,"During the inspection, I observed the operation to be operating without a Treatment Director.",Risk has been mitigated because Youth in Excellence is no longer operating; there are no children in care. 
07/15/2025,748.399(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/28/2025,08/28/2025,Individual Standards Evaluated,Medium,Yes,"Several records were requested for the victim child and the reported incident in person, over the phone, and via email, with no response.","Risk has been mitigated because Youth In Excellence is no longer operating, and there is no way to retrain staff who are no longer employed by the operation."
07/10/2025,748.685(a)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/06/2025,08/06/2025,Individual Standards Evaluated,High,Yes,"During the investigation, it was discovered that the victim child along with several other children were alone in the lobby without any adult supervision for an undisclosed amount of time. ","CCE delivered YIE permit denial letter on 8/1/2025. There are no longer any children or staff at the operation; therefore, risk has been mitigated. "
07/10/2025,748.1335 - Individual Standards Evaluated,Individual Standards Evaluated,No,08/06/2025,08/06/2025,Individual Standards Evaluated,Medium Low,No,"During the investigation after reviewing the victim child's service plan it was discovered the only service plan provided for the victim had been completed by the 4 kids permanency specialist in December 2024. The victim was admitted to Youth in Excellence in on 5/16/2025 and should have had an initial service plan completed by Youth in Excellence within 45 days which would have been June 30th, 2025","CCE delivered YIE permit denial letter on 8/1/2025. There are no longer any children or staff at the operation; therefore, risk has been mitigated. "
07/10/2025,748.685(a)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/06/2025,08/06/2025,Individual Standards Evaluated,High,Yes,"During the investigation, it was learned that only one staff member was present when the incident occurred and was not able to stop the victim child from entering the office or from throwing himself through the window that resulted in the victim becoming injured. ","CCE delivered YIE permit denial letter on 8/1/2025. There are no longer any children or staff at the operation; therefore, risk has been mitigated. "
07/07/2025,748.3701(e)(2)(B) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/14/2025,07/08/2025,Individual Standards Evaluated,Medium Low,No,The operation's recreational activity chart was not individualized for each child. During the follow up inspection on 7/7/2025 they still did not have the individualized calendar. ,Administrator sent activities calendar that was individualized for each child. 
07/03/2025,748.685(a)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/05/2025,08/04/2025,Individual Standards Evaluated,High,Yes,"It was determined through staff interview and documentation the staff was suspicious of the residents' behavior. The staff indicated on an incident report the boys were planning to spray the child. The staff failed to follow up with the residents' behavior, which resulted in two residents obtaining a fire extinguisher and spraying a child and the child's room. "," CCE delivered YIE permit denial letter on 8/1/2025. There are no longer any children or staff at the operation; therefore, risk has been mitigated. "
07/03/2025,748.399(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/05/2025,08/04/2025,Individual Standards Evaluated,Medium,No,"A child's Initial Child Service Plan was requested on July 5th, 9th, and 15th. The operation failed to provide the child's plan after being notified the operation would be cited if this plan was not provided by close of business on July 15th. ","CCE delivered YIE permit denial letter on 8/1/2025. There are no longer any children or staff at the operation; therefore, risk has been mitigated. "
07/01/2025,748.1335 - Individual Standards Evaluated,Individual Standards Evaluated,No,08/26/2025,08/21/2025,Individual Standards Evaluated,Medium Low,No,During the investigation all three victim children's service plans were requested and only one child's service plan was received and that was completed by the 4 kids' worker and not by the operation. ,"CEO Mr. Flowers sent email stating that the operation is closed, and the business is dissolved. Risk is mitigated as the operation is no longer operating. "
07/01/2025,748.1101(b)(3)(L) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/26/2025,08/21/2025,Individual Standards Evaluated,Medium Low,No,"During the investigation, it was found that the operation hired 3 children do work around the operation with the understanding that they would be paid every two weeks. The operation failed to pay the children as agreed upon and it took over two months before the operation finally paid the children for their services. ","CEO Mr. Flowers sent email stating that the operation is closed, and the business is dissolved. Risk is mitigated as the operation is no longer operating. "
07/01/2025,748.399(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/26/2025,08/21/2025,Individual Standards Evaluated,Medium,No,"During the investigation, I requested the following records on 7/7/2025 from Nola Lormand:  the victim childrens service plans and their work policy. On 7/10/2025, I again requested the records for Nola Lormand and were not provided the records. On 7/17/2025, while at the operation for another investigation, I asked Ms. Lormand about the records that I had requested and she claimed she had already sent me those records. When I asked her to provide me proof, she was unable to do so.","CEO Mr. Flowers sent email stating that the operation is closed, and the business is dissolved. Risk is mitigated as the operation is no longer operating. "
06/16/2025,748.3701(e)(2)(B) - Recreation Activities,Recreation Activities,No,06/26/2025,07/07/2025,Q:Recreation Activities,Medium Low,Yes,The operation's recreational activity chart was not individualized for each child. ,
06/16/2025,748.2203(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/26/2025,07/07/2025,Individual Standards Evaluated,Medium High,Yes,"One of the boys' medication sheets showed he had been refusing a prescribed medication.  Staff marked ""R"" for the dates refused, but there was no other explanation or error log.","Medication records were reviewed, and no issues were found. "
06/16/2025,748.3391(a) - Physical Site,Physical Site,No,06/26/2025,07/07/2025,P:Physical Site,Medium High,Yes,"The showering bathroom in the boys' south hall had dirty underwear, crumbled paper towels on the floor, and a clogged toilet full of human wasted and paper.",All bathrooms were in working order
06/16/2025,748.3301(h) - Physical Site,Physical Site,No,06/26/2025,07/07/2025,P:Physical Site,Medium High,Yes,"During the walk-through, live water bugs, roaches, and a spider was observed along with dead water bugs throughout the operation.",No live bugs were seen during the walk thru.
06/16/2025,748.2101(1) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,06/16/2025,,Individual Standards Evaluated,High,Yes,"Upon RCCR's arrival to the operation, there was a child sitting at the conference room table with staff. Licensing staff observed a bottle of Zyrtec stored in a basket on the conference room table. ",
06/16/2025,745.641 - Individual Standards Evaluated,Individual Standards Evaluated,Yes,06/16/2025,,Individual Standards Evaluated,High,Yes,The operation's new hire - treatment director was on the property and around children without a pending background check. ,
06/16/2025,748.3443(a)(1) - Physical Site,Physical Site,No,06/26/2025,07/07/2025,P:Physical Site,Medium,Yes,"All food items must be covered and stored off the floor
During the walk-through, a partially eaten chili cheese potato was uncovered in the refrigerator.
 ","Both refrigerators were checked, and no food was found uncovered."
06/16/2025,748.3701(e)(2)(A) - Recreation Activities,Recreation Activities,No,06/26/2025,07/07/2025,Q:Recreation Activities,Medium Low,Yes,The recreational activities calendar does not include community activities as required by Minimum Standards. ,The recreation calendar was provided and meets minimum standards. 
06/16/2025,748.3443(b)(2) - Physical Site,Physical Site,No,06/26/2025,07/07/2025,P:Physical Site,Medium,Yes,The big freezer on the left in the kitchen is reading at 5 degrees.  ,The freezer was showing at zero degrees
06/16/2025,748.4083(a) - Transportation,Transportation,No,06/26/2025,07/07/2025,R:Transportation,Medium High,Yes,"It was reported by children and the administrator, the operation's vehicle door doesn't latch and will slide open during transportation. ",The van was checked and the door is in working order.
06/16/2025,748.3301(a)(1) - Physical Site,Physical Site,No,06/26/2025,07/07/2025,P:Physical Site,High,Yes,"During the inspection, it was discovered ceiling tiles missing and a large hole was in one of the ceiling tiles. There was water damage that caused drooping of several ceiling tiles. There was also a cracked glass pane in a hallway door. Another room had a missing floor tile. The wood around one of the windows appeared to be rotten. There was an outlet in a child's bedroom that was not connected properly to the wall. ",All tiles had been replaced
05/22/2025,748.4601 - Individual Standards Evaluated,Individual Standards Evaluated,No,05/30/2025,06/06/2025,Individual Standards Evaluated,Medium,No,"During the inspection, it was confirmed the treatment director is not a full-time employee of the operation.","On 6/6/25, the operation stated the current administrator will hold both the administrator and treatment director positions.  She has the necessary qualifications for both positions.  The operation has indicated they will produce time sheets illustrating her dedication of 30 hours on site per week in each respective position.  This will be a temporary arrangement until a new treatment director can be hired.  This brings this standard into compliance."
05/17/2025,748.1271(8) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/10/2025,07/08/2025,Individual Standards Evaluated,Medium,No,"During the investigation, I observed the Emergency Admission Assessment for the victim child did not include the results of his suicide risk screening tool administered at intake.","On 7/8/25, the operation provided a corrective action plan indicating the operation will require suicide screening results to be documented for all admissions.  Staff will receive additional training on screening administration.  Supervisors will verify completion of the screening before intake is finalized.  This is to be implemented by 7/10/25.  This brings this standard into compliance.  "
