Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
05/09/2025,748.125(c)(1)(C) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/23/2025,06/03/2025,Individual Standards Evaluated,Medium,No,Two staff file records reviewed were missing documentation of  the required  annual suicide prevention training.,"The operation provided med log covering the dates 2/25 through 4/25. The operation also submitted valid CPR certificates of staffs, and suicide training and polices."
05/09/2025,748.985(a) - Training and Professional Development,Training and Professional Development,No,05/23/2025,06/03/2025,F:Training and Professional Development,Medium High,Yes,"The  EBI training was conducted by an instructor who was not certified.

","The operation provided med log covering the dates 2/25 through 4/25. The operation also submitted valid CPR certificates of staffs, and suicide training and polices."
05/09/2025,748.2151(g) - Medication,Medication,No,05/23/2025,06/03/2025,L:Medication,Medium Low,Yes,One child s record was missing medication logs for the period of 2/25 to 4/25. ,"The operation provided med log covering the dates 2/25 through 4/25. The operation also submitted valid CPR certificates of staffs, and suicide training and polices."
05/22/2023,"748.1437(7) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,06/05/2023,06/09/2023,"I:Admission, Service Planning, Discharge",Medium Low,No,1 child file reviewed did not have the required discharge documentation. ,The Clinical Director will ensure that all Discharge Summaries are completed for each Discharge and that they are place in the child's file upon completion.  The Program Director/Executive Director will sign off on the discharge file ensuring that the Discharge Summary is completed and in the file before the file is broken down and stored away.
11/02/2021,748.983(b) - Training and Professional Development,Training and Professional Development,No,11/09/2021,11/05/2021,F:Training and Professional Development,Medium High,Yes,During the inspection I observed that two of the staff members had expired CPR training.  Both staff members are direct care staff and are alone with the children in care. ,Appropriate updated documentation was provided.
03/04/2021,748.1101(b)(1)(B) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/20/2021,12/13/2021,Individual Standards Evaluated,High,Yes,"A caregiver failed to adhere to the child's rights to be free of abuse, neglect, and exploitation","An inspection was conducted on November 2, 2021. I interviewed two children in care and both children stated that there had been no EBI used since the last incident. They both stated that they did not have any concerns regarding EBI. 

Additionally, The Operation provided the following follow up in writing.

""An inspection was conducted on November 2, 2021. I interviewed two children in care and both children stated that there had been no EBI used since the last incident. They both stated that they did not have any concerns regarding EBI. 

Additionally, The Operation provided the following follow up in writing."""
03/04/2021,748.2553(2)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/20/2021,12/13/2021,Individual Standards Evaluated,High,Yes,Staff did not stop a restraint once a child was heard on video and by witnesses say they could not breathe,"An inspection was conducted on November 2, 2021. I interviewed two children in care and both children stated that there had been no EBI used since the last incident. They both stated that they did not have any concerns regarding EBI. 

Additionally, The Operation provided the following follow up in writing.

""The employee involved background became ineligible and subsequently employment with Kirbys Place was Terminated."""
03/04/2021,748.2463(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/30/2021,12/13/2021,Individual Standards Evaluated,Medium High,No,A caregiver used a restraint as a form of punishment ,"An inspection was conducted on November 2, 2021. I interviewed two children in care and both children stated that there had been no EBI used since the last incident. They both stated that they did not have any concerns regarding EBI. 

Additionally, The operation provided the following follow up in writing.

""Clarification was given during the Administrative Review and A child MUST actively be a danger to themselves, others, and/or actively destroying property for a restraint to be initiated will be added to the PAPH Training which is the EBI used."""
03/04/2021,748.507(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/30/2021,12/13/2021,Individual Standards Evaluated,Medium High,Yes,Staff failed to use prudent judgment when a child was injured during a restraint and reported that they could not breath. ,"An inspection was conducted on November 2, 2021. I interviewed two children in care and both children stated that there had been no EBI used since the last incident. They both stated that they did not have any concerns regarding EBI. 

Additionally, The Operation provided the following follow up in writing.

""An inspection was conducted on November 2, 2021. I interviewed two children in care and both children stated that there had been no EBI used since the last incident. They both stated that they did not have any concerns regarding EBI. 

Additionally, The Operation provided the following follow up in writing."""
03/04/2021,748.2551(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/30/2021,12/13/2021,Individual Standards Evaluated,Medium High,Yes,A child in care did not meet the justification to be placed in a restraint and no de-escalation techniques were used to avoid the restraint. ,"An inspection was conducted on November 2, 2021. I interviewed two children in care and both children stated that there had been no EBI used since the last incident. They both stated that they did not have any concerns regarding EBI. 

Additionally, The Operation provided the following follow up in writing.

""An inspection was conducted on November 2, 2021. I interviewed two children in care and both children stated that there had been no EBI used since the last incident. They both stated that they did not have any concerns regarding EBI. 

Additionally, The Operation provided the following follow up in writing."""
11/03/2020,748.3273(6) - Individual Standards Evaluated,Individual Standards Evaluated,No,11/10/2020,11/09/2020,Individual Standards Evaluated,Medium Low,Yes,"One first aid kit was missing scissors and a thermometer.
One first aid kit was missing scissors, thermometer and adhesive tape. ",Both first aid kits were stocked with the missing items during the inspection. 
11/03/2020,748.125(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,11/03/2020,11/09/2020,Individual Standards Evaluated,Medium,Yes,The operation did not follow their policies and procedures when the children went on overnight visits with an employee and written approval was not from the children's parents was not obtained.,The operation provided letters signed by each child's caseworker approving the overnight visits. 
11/03/2020,748.2101(7) - Medication,Medication,Yes,11/03/2020,,L:Medication,Medium High,Yes,Over the counter medication was observed to be expired and accessible to children. ,
