Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
06/20/2025,748.3301(a)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/17/2025,08/07/2025,Individual Standards Evaluated,Medium,Yes,"Repairs are needed for the window bllinds, cracked doors, stained walls, chipped paint on walls, chipped surface on picnic tables, stained bathroom tub, chipped paint on bahtroom sink.",During and in-person follow up inspection a walkthrough of the operation was conducted observing physical site. The concerns noted in this investigation have been corrected. There were no additional conerns noted during the walkthrough. 
06/05/2025,748.3421(3) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,06/05/2025,,Individual Standards Evaluated,Medium High,Yes,During the walkthrough the chemical closet was unlocked. ,
06/05/2025,748.125(d)(4)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/06/2025,06/09/2025,Individual Standards Evaluated,Medium,Yes,The opertoion has not been administrating any suicide screening when children are being admitted into their placement. ,"On 6/5/2025, the operation conducted suicide screening on all children admitted into their operation. The operation understands that they must complete suicide assessment at least every 30 days as they are and RTC. "
02/22/2025,748.63(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/25/2025,04/28/2025,Individual Standards Evaluated,Medium,Yes,The operations permit does not have IDD or Autism as services the operation can treat. ,The operation sent a CAP stating they were going to update their policies and procedures and have their permit reflect their new services. Document uploaded. Admin staff also confirmed that the process has begun.
02/18/2025,748.311(8) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/21/2025,04/01/2025,Individual Standards Evaluated,Medium,Yes,The 4 SIRs reviewed had limited details regarding the incidents. ,"The operation submitted the following correction: the operation will revise handover documentation i.e (Progress Notes) to ensure adequate handover of information about residents from Caregiver to Caregiver.
The operation will ensure in-house training of Incident reporting documentation, in providing, the trigger contributing factor that led to the Incident, every intervention made during the incident and restoring residents to normal activities."
12/21/2024,748.125(f)(2)(B) - Individual Standards Evaluated,Individual Standards Evaluated,No,02/21/2025,02/26/2025,Individual Standards Evaluated,Medium High,Yes,"During this investigation, it was found that the safety plan was not updated as needed after returning from the psych hospital.","The operation will update the service plan, and it will be tailored to the child's triggers and what coping skills for the child to learn."
12/21/2024,748.125(f)(2)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,02/21/2025,02/26/2025,Individual Standards Evaluated,Medium High,Yes,"During the course of the investigation, the operation was unable to provide the weekly screenings after the child returned to the operation.","Operation will ensure a weekly screening is done weekly with the child for the first 30 days, and it will be separately from their weekly Therapy."
12/21/2024,748.125(f)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,02/21/2025,02/26/2025,Individual Standards Evaluated,Medium High,Yes,"During this investigation, the operation was unable to provide documentation showing that the child met with the PLSP within 24 hours of returning to the operation.",The PLSP will conduct a Post hospitalization interaction with every child who has been hospitalized for certain behaviors to know the level of triggers to help mitigate further risk.
12/21/2024,748.125(d)(4)(E) - Individual Standards Evaluated,Individual Standards Evaluated,No,02/21/2025,02/26/2025,Individual Standards Evaluated,Medium High,Yes,"During the course of this investigation, the operation was unable to provide a suicide screening conducted for a child that was exhibiting warning signs.",The operation will ensure that a suicide screening is done with a child shows or exhibits suicidal ideations.
09/04/2024,"748.1437(1) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,09/09/2024,09/11/2024,"I:Admission, Service Planning, Discharge",Medium Low,No,The child's file was missing the required discharge documentation. ,An email was sent with the following corrective action item: Moving forward all kids discharged from the Facility would have a discharge summary signed by all responsible parties and Treatment Team
