Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
04/01/2025,748.2461(b)(6) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/06/2025,05/06/2025,Individual Standards Evaluated,High,Yes,A caregiver restrained a child by placing both arms behind the back. ,RCCR conducted a team inspection at the operation both the administrator and director were present; the operation agreed to no longer use the handle with care manual and will have a refresher CPI training for all staff. 
04/01/2025,748.2651(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/06/2025,05/06/2025,Individual Standards Evaluated,Medium High,Yes,The entry/exit doors to a room have child locking devices on the doorknobs. This room was used to isolate a child while escalated. The child was left alone in the room without a method to supervise. The operation is not permitted to provide seclusion services as a behavior intervention.  ,"RCCR conducted a team inspection at the operation, the administrator and director reported to not using the sensory room as a seclusion room but a sensory-time out room, they both were unaware of the doorknob cover being place on the door, however during the inspection the doorknob cover was not on the door, the operation plans to remove the door. The photo of the door removed is uploaded into the documentation library. "
03/16/2025,748.2151(c)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/21/2025,05/06/2025,Individual Standards Evaluated,Medium High,Yes,The medication log did not have a specific time as to when the medication was given.  ,"RCCR conducted an inspection at the operation, the operation met with staff on the importance of giving the children their medication in timely manner, the operation wrote the staff members involved. The child who was receiving insulin is no longer in care and the operation reporter they currently do not have any placements receiving insulin however insulin/diabetes training is still being implemented. "
03/16/2025,748.2003(b)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/21/2025,05/06/2025,Individual Standards Evaluated,Medium High,Yes,A child in care was not given his prescription eye drops as instructed by the doctor. ,The child involved was discharged from the operation. An inspection conducted on 05/06/2025 reviewed the operation's compliance with medication administration and did not find deficiencies. 
03/15/2025,748.935(a)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/02/2025,05/06/2025,Individual Standards Evaluated,Medium,Yes,A staff member did not complete annual trainings in a timely manner nor by the required time frame.  ,The operation provided RCCR a written to ensure staff members training are completely in a timely manner. 
03/14/2025,748.2003(b)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/18/2025,05/06/2025,Individual Standards Evaluated,Medium High,Yes,The child in care did not receive his insulin according to the management plan.  ,"RCCR conducted an inspection at the operation, the operation met with staff on the importance of giving the children their medication in timely manner, the operation wrote the staff members involved. The child who was receiving insulin is no longer in care and the operation reporter they currently do not have any placements receiving insulin however insulin/diabetes training is still being implemented.   "
03/14/2025,748.2151(c)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/18/2025,05/06/2025,Individual Standards Evaluated,Medium,No,Multiple medication logs reviewed did not have the reason medication was prescribed.,"RCCR conducted an inspection at the operation, the operation re-trained staff on the importance of adding the reason medication is prescribe, the operation wrote the staff members up that were responsible for the error.     "
03/14/2025,748.2203(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/18/2025,05/06/2025,Individual Standards Evaluated,Medium High,Yes,A child did not receive their medication for 03/13/25 and there was not a documentation addressing the error completed.,"RCCR conducted an inspection at the operation, the operation trained the staff on the importance of documenting medication errors, the operation wrote the staff members who was responsible for the error. 


"
02/05/2025,748.2003(b)(6) - Individual Standards Evaluated,Individual Standards Evaluated,No,02/24/2025,02/20/2025,Individual Standards Evaluated,Medium High,Yes,A staff member provided medications to a child in care without being trained. ,A safety plan was completed and returned to RCCR indicating that only the LCCA and Management would provide medications to OV. A follow up inspection was completed at the operation on 02/25/2025 to ensure compliance is being kept regarding all medications. 
02/05/2025,748.685(c)(6) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/19/2025,03/19/2025,Individual Standards Evaluated,Medium,Yes,A child in care requires 1:1 supervision. The child is being provided line of sight supervision.,A child in care requires 1:1 supervision. The child is being observed as line of sight. 
