Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
08/01/2025,748.1337(b)(1)(D)(ii) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/09/2025,09/09/2025,Individual Standards Evaluated,Medium High,Yes,Victim child was able to walk at least 20 feet away from the splash pad and was unsupervised for approximately three minutes. The child was known to wander off and required one on one supervision according to the childs Service Plan. ,Two staff discussed whiile on outings the staff are required to provide one on one supervision according to the childs Service Plan. The staff will always have sight of the children in care and stay within ratio. 
07/30/2025,748.685(a)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/12/2025,09/17/2025,Individual Standards Evaluated,High,Yes,Child had access to chemicals on more than one occasion and unknown if child was ingesting. ,"Three staff were and one child in care was interviewed and discussed chemicals being out of sight of children and how staff are disposing and securing chemicals after use. Staff discussed supervision of children in care. No additional concerns were noted. The chemicals were observed secured with an appropriate lock that does not allow for children to have access.  Compliance plan was provided via email on 9/8/25 with the following: additional locks have been placed on all chemical cabinets to ensure poisonous and flammable materials remain inaccessible to children at all times. Staff have been reminded that children must never have access to unsafe items while in care. Shift Supervisors will complete walkthroughs daily before the conclusion of their shift to ensure that all chemicals are stored properly and all cabinets remain locked, and they will document any issues in their end-of-shift notes. Supervisors will reinforce with their teams that active supervision practices, maintaining awareness of children's activities and ensuring that children are never left unattended in areas where chemicals or unsafe items are stored, are required at all times. In addition, all empty chemical bottles will be disposed of directly in the dumpster to prevent unsafe storage. The Quality Improvement Specialist (QIS) will verify compliance during regular facility walkthroughs, and the Director will review findings to ensure corrective measures are sustained. These measures will protect the health, safety, and well-being of children in our care and ensure ongoing compliance with licensing standards.  "
07/30/2025,748.3421(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/12/2025,09/17/2025,Individual Standards Evaluated,Medium High,Yes,"Child had access to chemicals, and it was unknown to staff these items were being stored in the child's room. ","Three staff were and one child in care was interviewed and discussed chemicals being out of sight of children and how staff are disposing and securing chemicals after use. Staff discussed supervision of children in care. No additional concerns were noted. The chemicals were observed secured with an appropriate lock that does not allow for children to have access.  Compliance plan was provided via email on 9/8/25 with the following: additional locks have been placed on all chemical cabinets to ensure poisonous and flammable materials remain inaccessible to children at all times. Staff have been reminded that children must never have access to unsafe items while in care. Shift Supervisors will complete walkthroughs daily before the conclusion of their shift to ensure that all chemicals are stored properly and all cabinets remain locked, and they will document any issues in their end-of-shift notes. Supervisors will reinforce with their teams that active supervision practices, maintaining awareness of children's activities and ensuring that children are never left unattended in areas where chemicals or unsafe items are stored, are required at all times. In addition, all empty chemical bottles will be disposed of directly in the dumpster to prevent unsafe storage. The Quality Improvement Specialist (QIS) will verify compliance during regular facility walkthroughs, and the Director will review findings to ensure corrective measures are sustained. These measures will protect the health, safety, and well-being of children in our care and ensure ongoing compliance with licensing standards.  "
07/28/2025,748.685(a)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/09/2025,09/09/2025,Individual Standards Evaluated,High,Yes,Caregiver was asleep while caring for a child. ,Supervision protols which staff discussed as being helpful 20 minute checks and noted in the log by supervisor.  
07/24/2025,748.685(a)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,08/27/2025,09/09/2025,Individual Standards Evaluated,High,Yes,"Although staff was present with the child, the staff appears distracted by reaching for item from the drawer and was not aware the child had moved to roll over and fall onto the mat on the floor. ",The staff have a new changing table and they have supervision protols which staff discussed as being helpful. Children are never to be unattended in or on the table.
05/29/2025,748.1013(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/09/2025,07/16/2025,Individual Standards Evaluated,High,Yes,Caregiver fell asleep while caring for children in care. ,"Email correspondence from Raven Lewis was received with the following compliance plan:  Respite Care has taken immediate corrective action to prevent recurrence. All direct care staff will receive refresher training on supervision levels, with a focus on the requirement to remain awake during supervision of high-needs children during the Team Member Meeting on 7/31/2025. Supervisors will review supervision assignments at each shift change to ensure clarity and accountability. Additionally, overnight monitoring checks have been increased from every 30 minutes to every 20 minutes to better ensure staff remain alert and children are appropriately supervised. Overnight supervisors will also continue to conduct and document regular walkthroughs to confirm that staff assigned remain awake and engaged. Staff found asleep during required awake supervision will be subject to disciplinary action in accordance with agency policy. Effectiveness of the plan will be evaluated through weekly reviews of shift logs and overnight walkthroughs by the Quality Improvement Specialist, along with monthly compliance audits and leadership meetings. Increased overnight monitoring began on July 8, 2025.

On 7/16/25 Inspector conducted two child interviews at DRH there were no concerns regarding staff being seen sleeping or falling asleep while children are in care. Neither child has seen any staff sleeping during their bedtime hours. Both children discussed feeling safe and the staff providing supervision while in care. Two staff supervisors were interviewed, and they discussed their role is to ensure that all staff are awake and there is a zero tolerance for staff who are sleeping while care for children. In addition, starting 7/8/25 the staff will conduct night checks every 20 minutes instead of 30 minutes. The supervisors and staff must initial their assignment in the overnight binder to ensure children are being supervised appropriately. Supervisors also discussed conducting walkthroughs and having communication with staff to ensure the staff are to remain awake though the working hours. The supervisors interviewed had no concerns regarding weekly reviews, monthly audits, and leadership meetings. Inspector revised the night log to verify staff are signing every 20 minutes. Exit was conducted with Administrator.
"
03/18/2025,748.685(a)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/21/2025,04/23/2025,Individual Standards Evaluated,High,Yes,A child in care was not appropriately supervised leading to the child leaving the residence and walking into a second building behind the residence. ,"RCCR Inspector conducted an in person follow up at Davidson Respite House on 4/23/25 for INV 3150413. Prior to arrival, inspector went to Cotton Academy Elementary and was unable to interview child due to non-verbalization. Child was observed wearing age-appropriate clothing. Child had a bruise on the outer right wrist area and severe swelling and bruising to her left index finger.  Investigation was being initiated by an investigator at time of inspector's arrival. A second verbal child was not in school therefore could not be interviewed. No other verbal children who attend school could be interviewed due to being nonverbal. Two staff and administrator were interviewed and a walk through of Najim House were conducted. There were no concerns for child's bedroom or clothing inventory. Three doors that allow entry and exit of the home were checked and had working alarms. Staff interviewed discussed new supervision protocol in place for child. Staff will ensure doors remain closed and locked securely as well as one on one supervision will be required. "
03/11/2025,"748.1209(a) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,03/18/2025,04/02/2025,"I:Admission, Service Planning, Discharge",Medium Low,Yes,Three child files did not include proof of orientation completed or documents verifying orientation was completed within the required time frame. ,"Program Director Raven Lewis emailed RCCR Inspector the plan for Standard 748.1209(a) with the following information: to ensure compliance and provide the highest quality of care to the children in our facility, Respite Care of San Antonio has implemented a new preplacement document that is to be reviewed with prospective residents prior to the completion of the required DFPS forms. The intent of this document is to serve as a child orientation that is to be provided to children ages 5 and older. Within this document, RCSA will discuss policies related to: 
	Visitation 
	Mail
	Telephone Calls
	Gifts
	Personal Possessions
	Emergency Behavior Intervention (EBI)
	Discipline 
	Religious Programing and Practices
	Education
	Program Expectations and Rules
	Daily Schedule
	Internal Grievance Procedures
This document will be discussed with each child and the information will be delivered in a manner that considers the childs age and developmental level. This will be done to ensure that each child is provided with a fair opportunity to advocate for themselves if it becomes necessary. 

Standard 748.1209(a) will be marked as compliant as the plan meets the requirements.
"
03/11/2025,748.507(2) - Personnel,Personnel,No,03/18/2025,04/02/2025,E:Personnel,Medium High,Yes,"Two of the three employee files did not include required reporting abuse, neglect, and exploitation document.","Program Director Raven Lewis emailed Licensing Inspector the plan for Standard 748.507(2) with the following information: the Respite Care of San Antonio, Inc. Reporting Abuse, Neglect, or Exploitation forms were not present in the physical copies of our personnel files. These files have recently been transitioned to our virtual HR system through ADP and will be provided with the submission of this corrective action plan to show compliance as of the audit date. RCSA has also taken steps to ensure that all team members responsible for facilitating monitoring visits are aware of the location of each file or document that may be requested, or that is not physically maintained within our personnel files.

Standard 748.507(2) will be changed to compliant as the plan meets the requirements."
03/11/2025,748.505(b)(5) - Personnel,Personnel,No,03/18/2025,04/02/2025,E:Personnel,Medium,Yes,Two of the three files reviewed were missing Pre-employment affidavit document in staff personnel file.,"Program Director Raven Lewis emailed Licensing Inspector the plan for Standard 748.505(b)(5) with the following information: RCSA will implement a standardized checklist to ensure that all required documents including Form 2912 Pre-Employment Affidavits are accounted for during the hiring process. Additionally, all new hires will be required to complete Form 2912 through ADP during their preservice training period. Furthermore, RCSAs Human Resources Department will continue to conduct routine audits of personnel files to ensure that all necessary documents are present and readily available upon inspection.

Standard 748.505(b)(5) will be compliant as the plan meets the requirements. "
