Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
07/29/2025,748.2203(c) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/29/2025,09/29/2025,Individual Standards Evaluated,Medium High,Yes,Medication is missing from a child's bottle of prescription medication. The operation does not have documentation regarding the error.,"Medication binders within each cottage were to reviewed. Each binder contained administering medication procedures, prescribed medication protocol, sample of completing medication log information, documenting medication errors procedure, and sample of documenting medication errors. "
07/21/2025,748.2001(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/16/2025,09/29/2025,Individual Standards Evaluated,High,Yes,A child in the care was administered three doses of psychotropic medication without prior authorization from the legal guardian.,"Medication binders within each cottage were to reviewed. Each binder contained administering medication procedures, prescribed medication protocol, sample of completing medication log information, documenting medication errors procedure, and sample of documenting medication errors. "
07/21/2025,748.2151(c)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/16/2025,09/16/2025,Individual Standards Evaluated,Medium,Yes,A review of the medication logs revealed that one medication log for a resident did not include the reason for prescribed medication.,"The operation provided the following compliance on 09.16.25: 

Staff have been recently training on medications. a sample of a medication log has also been placed in the medication log to document what needs to be filled in when cottages receive any new medications."
06/19/2025,748.3603(f) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/25/2025,09/16/2025,Individual Standards Evaluated,High,Yes,It was observed during a Heightened Monitoring visit the self-latching hardware device on the pool gate was not working properly preventing proper closure within minimum standards. ,The pool gate was observed and would close properly as well as lock properly. 
06/03/2025,748.2001(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/03/2025,07/10/2025,Individual Standards Evaluated,High,Yes,The operation administered psychotropic medication to a child without first receiving the proper consent. ,"A discussion was held with leadership on 07.10.25 to discuss the new procedure more in detail. Staff are to facetime the clinical Director and obtain a verbal confirmation if the operation has received consent of administration from the youth's caseworker. If this is unable to be determined, the medication is stored and not administered until verification. "
05/08/2025,748.2307(8) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/09/2025,07/24/2025,Individual Standards Evaluated,Medium High,Yes,Audio recording reflects staff yelling at resident.,"A discussion was held with the operation. The AP related to the investigation is no longer with the operation as of 05.09.25. The operation provided separation paperwork for review. Remining staff in the specific cottage received a refresher training for TBRI on 06.12.25. This training discussed using certain principles under the categories of empowerment, connection and correcting to address youth behaviors in the appropriate manner. "
05/08/2025,748.2307(9) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/09/2025,07/24/2025,Individual Standards Evaluated,Medium High,Yes,Audio recording reflects staff using profanity when confronting resident.,"Corrective Action was provided by the operation on 07.10.25: Due to the nature of the incident, the staff involved in this incident was released from her job duties at the operation, as of May 9, 2025. 

Staff in the residential program received additional training regarding TBRI (Trust Based Relational Intervention) on June 12, 2025, by the operation's SPARK Program Director. This training was to continue to emphasis ongoing principles and strategies as well as behavioral management techniques to use with the youth they work with. 

Additional in-person follow-up completed in 07.24.25. A discussion was held with the operation. The AP related to the investigation is no longer with the operation as of 05.09.25. The operation provided separation paperwork for review. Remining staff in the specific cottage received a refresher training for TBRI on 06.12.25. This training discussed using certain principles under the categories of empowerment, connection and correcting to address youth behaviors in the appropriate manner. "
04/11/2025,748.3117(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/11/2025,06/11/2025,Individual Standards Evaluated,Medium Low,Yes,A fire extinguisher observed during a walkthrough of the operation did not have the necessary documentation of annual inspection. ,The operation provided a compliance response by email showing that a new fire extinguisher with a valid inspection tag has replaced the previous extinguisher. 
04/11/2025,748.3301(f) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/16/2025,06/11/2025,Individual Standards Evaluated,Medium High,Yes,"During a walkthrough of the operation physical site concerns were found which included exposed electrical panels and outlets, a hole in the wall, dirty air vent and exposed wires from wall. ","The operation provided compliance via email on 06.11.25. The operation provided pictures showing the cleaned air vent, repaired hole in the wall, the Electrical cover replaced, the Doorbell cable removed and covered. 
"
04/08/2025,748.1101(b)(4)(A)(v) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/13/2025,05/28/2025,Individual Standards Evaluated,Medium High,Yes,Staff was telling children in care that their families do not love them and she does not care about their families. ,Compliance was met by reviewing the coaching documentation for the specific staff.  
