Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
05/14/2025,"748.1341(a) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,05/21/2025,06/04/2025,"I:Admission, Service Planning, Discharge",Low,No,All children's records reviewed did not have a initial service plan meeting notice in the file.,"The operation sent the following corrective action:

Promise rose will continue to follow the Childcare Licensing Minimum standards for General Residential Operations regarding children's records. Case manager, Nakiya Brite will continue to file the initial service plan notice in the binders. Instead of placing the notices in the case management portion of the binder, she will include it with the service plan."
05/01/2025,748.507(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/11/2025,06/11/2025,Individual Standards Evaluated,Medium High,No,Three Children in care and 1 collateral adult observed a staff member to be horseplaying with a child in care.,"Promise Rose will ensure that the staff members attend training. The signing sheet will be forwarded to the RCCL Inspector by June 13, 2025. Sing in sheet was provided with staff that attended the training. Who provided the training and the instructor that provided the training. "
04/26/2025,748.863(a)(5) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/10/2025,06/10/2025,Individual Standards Evaluated,Medium High,Yes,A staff member hired on 01/08/2025 did not complete the Psychotropic Medication Training until three months later on 04/20/2025.,Executive Director will audit employee binders bi-weekly and ensure that trainings are up to date and filed properly.
04/26/2025,748.151(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/10/2025,06/10/2025,Individual Standards Evaluated,Medium,No,"One service plan was observed to be missing documentation, leaving a section of the plan blank. Documentation on a Texas Health Steps Dental 
Exam was observed with four blank pages omitting pertinent information.",The Case Manager will audit all forms after returning from the children's appointments. CM will file the forms in the appropriate sections of the binder. 
04/26/2025,748.935(a)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/10/2025,06/10/2025,Individual Standards Evaluated,Medium,No,The operation's Administrator was observed to have completed two annual trainings (Trauma Informed Care and Psychotropic Medication) on 01/04/24 and not again until 01/09/25; 5 days late.,Executive Director will audit employee binders bi-weekly and ensure that trainings are up to date and filed properly.
10/04/2024,748.911(a) - Training and Professional Development,Training and Professional Development,No,10/11/2024,10/10/2024,F:Training and Professional Development,High,Yes,A copy of an employee's current First Aid Training Certificate could not be located. ,"Director, Nikia Johnson, emailed the following corrective action: Promise Rose will ensure that all CPR cards are filed in the employee binders. "
10/04/2024,748.309 - Reports and Record Keeping,Reports and Record Keeping,No,10/11/2024,10/10/2024,D:Reports and Record Keeping,Medium,No,Three serious incidents observed were found to not have been reported to Licensing.  ,"Director, Nikia Johnson, emailed the following corrective action: Promise Rose will continue to follow the Child Care licensing Minimum Standards for GRO's. Promise Rose will ensure that all staff are properly trained in what and when to report serious incidents reports. A refresher course will be conducted on October 24, 2024, for all employees. "
12/09/2023,748.507(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/22/2024,03/21/2024,Individual Standards Evaluated,Medium High,Yes,Staff was responsible for supervising children doing an outing. Staff did not perform the assigned job duties and was sitting at the bar indulging in an alcoholic beverage.,"To remedy this incident and prevent future occurrences, LCCA, Executive Director, will provide mandatory supervision and safety training for all Promise Rose administrative staff, direct care staff, and volunteers.

LCCA and the Executive director will ensure compliance by Promise Rose administrative staff, direct care staff, and volunteers to document evidence of compliance in forms of sign-in sheets, certificates of completion, and learning materials by 3/30/2024."
08/30/2023,748.2461(b)(6) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/20/2023,11/06/2023,Individual Standards Evaluated,High,Yes,A child in care was inappropriately restrained at the operation.,A child in care was inappropriately restrained at the operation.
06/08/2023,748.303(a)(10)(A) - Individual Standards Evaluated,Individual Standards Evaluated,No,06/15/2023,07/03/2023,Individual Standards Evaluated,Medium,Yes,The report of a child's unauthorized absence from the facility was not submitted to Licensing until the following day. ,"06/16/2023- Promise Rose Executive Director submitted a Corrective Action Plan via email to licensing staff.
  
According to the Action Plan of achieving the goal, Promise Rose will continue to follow the Child Care Licensing Minimum Standards for General Residential Operations.  Promise Rose will ensure all staff are properly trained and informed of how and when to contact the Texas Hotline, Licensing Representative, child's permanency team, and Contract Manager.

Promise Rose Program Director will conduct the training and submit the sign-in sheet by Wednesday, June 21, 2023.

Promise Rose will submit a sign-in sheet to licensing staff from all employees stating they are aware of the protocol on when to report a runaway.

07/03/2023- Promise Rose Executive Director submitted the PRRCH training with topic of Recognizing, Responding, and Reporting Serious Incidents (AWOL, Injuries, Abuse or Neglect) sign-in sheet for all staff. Promise Rose staff dated as well as signed the sign-in sheet indicating staff participated in the 2-Hour training on 06/19/2023.

Additionally, the sign-in sheet indicated training instructors were the Program Director as well as the LCCA/Treatment Director."
05/05/2023,"748.1339(a)(1) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,05/11/2023,05/11/2023,"I:Admission, Service Planning, Discharge",Low,Yes,"Based on a review of documents, it was found three out of four children's initial service plans did not reflect at least one of the child's current caregivers participation as well as  cargivers signature.","On 05/11/2023, Promise Rose Executive Director submitted a Corrective Action Plan to licensing staff indicating the operation will provide licensing staff a copy of the signature page for the children's next scheduled treatment plan on 06/03/2023.

Additionally, the Treatment Director will ensure all required personnel sign the signature page of the treatment plan and file all documents in the resident's binder."
05/05/2023,"748.1339(b) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,05/11/2023,05/11/2023,"I:Admission, Service Planning, Discharge",Low,Yes,"Based on review of documents, it was found three out of four children's service plan did not reflect  two professionals' participation as well as two professionals' signatures.  The three children's service plans reviewed only contained a signature from one professsional.","On 05/11/2023, Promise Rose Executive Director submitted a Corrective Action Plan to licensing staff indicating the operation will provide licensing staff a copy of the signature page for the children's next scheduled treatment plan on 06/03/2023.

Additionally, the Treatment Director will ensure all required personnel sign the signature page of the treatment plan and file all documents in the resident's binder."
05/05/2023,748.1703(b) - Child Care,Child Care,No,05/11/2023,05/11/2023,J:Child Care,Low,Yes,"Based on a walk-through of the operation's three cottages' kitchens, it was observed  the daily menu did not contain a daily food substitution for each meal.","On 05/11/2023, Promise Rose Executive Director submitted to licensing staff a revised copy of the operation's menu including an alternative meal for breakfast, lunch as well as dinner.

Additionally, the Executive Director submitted a Corrective Action Plan indicating the Assistant Administrator will ensure that an updated copy of the menu is posted in all cottages.  If updates are necessary, the Assistant Administrator will also update all menus."
05/05/2023,748.3233(b)(3) - Safety and Emergency Practices,Safety and Emergency Practices,No,05/11/2023,05/11/2023,O:Safety and Emergency Practices,Medium High,Yes,"Based on a walk-through of the operation's three cottages, it was observed the evacuation plan did not contain a location inside each cottage where staff and children were to locate for shelter in place.","On 05/11/2023, Promise Rose Executive Director submitted to licensing staff copies of the three cottages evacuation plan displaying the location inside each cottage where staff and children were to locate for shelter in place.

Additionally, the Executive Director submitted to licensing staff a Corrective Action Plan indicating the Director will ensure that the floor/evacuation plans are posted and visible in all areas of each cottage, including but not limited to bedrooms, living rooms, and media rooms."
05/05/2023,748.1583(a) - Child Care,Child Care,No,05/11/2023,05/11/2023,J:Child Care,Medium,No,One out of four children's records reviewed did not have a documented TB Skin Test.,"On 05/11/2023, Promise Rose Executive Director submitted to licensing staff the child's vaccination record indicating the child was administered a TB Skin Test on 05/08/2023.

Additionally, the Executive Director submitted a Corrective Action Plan, indicating the Case Manager will ensure that all incoming residents are scheduled and administered a TB Skin Test Screening within the first 30 days of placement.  Results will be filed in the resident's binder.  "
05/05/2023,748.125(d)(4)(C) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/11/2023,05/11/2023,Individual Standards Evaluated,Medium,Yes,"Based on an evaluation of documents, it was found four out of four active children's records did not contain documentation supporting a suicide screening was administed every 30 ays after admissionn.","On 05/11/2023, Promise Rose Executive Director submitted to licensing staff a Corrective Action Plan indicating all residents were administered an ASQ Suicide Risk Screening Tool.  The results will be emailed to licensing staff.

Additionally, the Treatment Director will create a calendar reminder to ensure screenings are completed timely."
01/03/2023,748.685(a)(4) - Individual Standards Evaluated,Individual Standards Evaluated,No,02/20/2023,04/05/2023,Individual Standards Evaluated,High,Yes,One of five staff interviewed failed to provide required constant supervision to a child in care as recommended in safety plan.,"A copy of staff's training was submitted via email by Nakia Johnson. Per corrective action plan, staff was trained on how to properly supervise high risk residents and be updated on safety plans."
08/15/2022,748.2551(c)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/27/2022,11/16/2022,Individual Standards Evaluated,High,Yes,A child expressed experiencing physical pain while being restrained. ,"10/19/2022-The Licensed Administrator for Promise Rose Residential Care Home submitted a Corrective Action Plan identifying the action to achieve goal consisting of continuing to follow Child Care Licensing Minimum Standards for General Residential Operations.  Promise Rose will ensure that all staff are properly trained in PAPH/EBI.  According to the LCCA, a refresher course will be conducted on October 27, 2022, for all employees.

Additionally, the Program Director will ensure all sign-in sheets and certificates are completed during trainings.  The certificates will be filed in employees' files.

The training sign-in sheet will be submitted to licensing staff as evidence of compliance.  

10/28/2022-The Licensed Administrator for Promise Rose Residential Care Home submitted a staff sign-in sheet for all employees participating in 4 hours of Trauma Informed Care training, 4 hours of EBI training as well as Cultural Diversity training conducted on October 27,2022 from 9AM until 5PM.  The trainings were instructed by the operation's Treatment Director, Executive Director as well as Program Director.

An inspection (#3915435) was completed at the operation on 11/16/2022. A walk-thru was conducted and interviews were conducted and determined to be compliant."
06/08/2022,748.930(b)(4) - Training and Professional Development,Training and Professional Development,No,06/28/2022,11/21/2022,F:Training and Professional Development,Medium High,Yes,4 of 4 staff files reviewed were missing 1 hour of the required annual transportation training.,"The Executive Director for Promise Rose Residential Care Home submitted a Corrective Action Plan identifying the action to achieve goal consisting of continuing to follow Child Care Licensing Minimum Standards for General Residential Operations.  Promise Rose will ensure that all staff are properly trained in two hours of transportation training instead of one.  A training will be conducted on June 23, 2022, for all employees.

Promise Rose Corrective Action Plan was created on June 15, 2022.

Additionally, the Program Director will ensure all sign-in sheets and certificates are completed during trainings.  The certificates will be filed in employees' files.

The training sign-in sheet will be submitted to licensing staff as evidence of compliance.  

Promise Rose Executive Director submitted a sign-in sheet for all employees participating in PRRCH Annual Training on June 23,2022 from 8AM until 4PM.  The topics of training consisted of Supervision of High-Risk Youths, Housekeeping, Food, and Chemical Safety, Psychotropic Medication, and Transportation Safety.  Each topic was a two-hour training conducted by Promise Rose Program Director as well as Administrative Assistant.
"
11/02/2021,748.507(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/30/2021,01/26/2022,Individual Standards Evaluated,Medium High,Yes,Staff member failed to use prudent judgment by locking a child in care outside of the home.,"A physical follow up took place at Young & Lockhart Elementary Schools. Three of 3 children stated they were not locked out of the home for no reason. The interviews are available in the Chronology. 
The operation is requesting an admin review. ST
Ms. Nikia stated to go ahead and close the case out after speaking to the staff regarding the situation on 2/2/22.--CM"
