Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
04/24/2025,748.3301(i) - Physical Site,Physical Site,No,05/08/2025,05/08/2025,P:Physical Site,Medium High,Yes,"During the inspection, it was found that there were two chairs located in the common living area being used by children in care. The chairs had cuts on the leather thereby exposing the filling under it.",The chairs have been repaired.  Please see the attached photos.
04/24/2025,748.3101(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/18/2025,05/09/2025,Individual Standards Evaluated,Medium High,Yes,"During the inspection, it was discovered that the operation's fire inspection was expired.","The follow up date is 05/08/2025.
The follow up method is email.
The extension request is approved on 05/08/2025 by RCCR Inspector Ibrahim Fye. 

05-09-2025-IF- The operation emailed RCCR Inspector Ibrahim Fye a copy of the newly completed fire inspection dated 05-09-2025.


"
04/24/2025,748.453(a)(1) - Reports and Record Keeping,Reports and Record Keeping,No,05/08/2025,05/08/2025,D:Reports and Record Keeping,Medium,Yes,"During the inspection, it was discovered that the AWOL Summary Log form was missing information regarding the gender of the child involved.",The word Gender has been added to the Awol Summary Log.  Please see attached document.
04/24/2025,748.311(6) - Reports and Record Keeping,Reports and Record Keeping,No,05/08/2025,05/08/2025,D:Reports and Record Keeping,Medium,Yes,During the inspection it was discovered that one out of four serious incident forms reviewed did not contain a description of the nature of the incident as well as the names of the witnesses to the incident.,"The Document has been corrected by adding word prompts for staff members to better describe the incidents nature, cause, techniques used to deescalate, and the outcome and solutions. Also, an area has been added to include the names of individuals that witnessed the incident. Please see attached document."
04/24/2025,748.3301(a)(2) - Physical Site,Physical Site,No,05/08/2025,05/08/2025,P:Physical Site,Medium,Yes,"During the inspection, it was found that the flooring in 3 bedrooms, common living area, and in the kitchen was peeling and in a state of disrepair. There was also an exposed nail around the siding of the house.","In room #1 carpeting has been put down, room #2 the flooring has been pulled up and replaced, room #3 the missing tile has been installed.  Please see pictures.:  The nail has been removed.  Please see photo."
09/05/2024,748.363(11) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/11/2024,10/04/2024,Individual Standards Evaluated,Medium,No,One of four employee files reviewed was observed to have an expired driver's license as of 11/05/2023.,"LVES has created a chart with document dates, and there will be a monthly folder and chart check to ensure that all transportation staff have current drivers licenses, and it is placed in the folder.  The folder and chart checks will be conducted by LCCA and Assistant Director. "
09/05/2024,748.4083(a) - Transportation,Transportation,No,09/11/2024,11/29/2024,R:Transportation,Medium High,Yes,The vehicle used to transport children was observed to have a broken seatbelt on the second row and no air conditioning flowing from the vents on the very last row. The side window in the back row was also observed to be broke. ,The administrator emailed photos indicating that the side window in the back row was no longer observed to be cracked. During inspection #4022409 the seatbelts were observed to have operating seatbelts on the second row and working air conditioning. 
09/05/2024,748.1693(c) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/11/2024,10/14/2024,Individual Standards Evaluated,Medium High,Yes,"During the walkthrough, water was not observed to be readily available. ","During the walkthrough, water was observed to be readily available for children in care. "
09/05/2024,748.930(b)(3) - Training and Professional Development,Training and Professional Development,No,09/11/2024,10/04/2024,F:Training and Professional Development,Medium High,Yes,One of four staff members was observed to have a delinquent annual normalcy training: last taken 01/18/23.,"A training checklist has been created by the administrator containing the trainings required to fulfill minimum standards annually. The training checklist will be placed in each staff members folder by the administrator and a copy in a Master Folder titled Annual Training. The date of each staff members current training will be documented, along with the annual due date. These dates will also be documented and displayed on a Training Calendar in the main business office.  Administrator and Lead Supervisor will be responsible for checking each staff members filed checklist on a monthly basis for staff members who will need to complete their trainings for the current month.  A memo will also be given to staff members who need to complete training for the month at least 2 weeks prior to their due date.

"
09/05/2024,748.4007(8) - Transportation,Transportation,Yes,09/05/2024,,R:Transportation,Medium High,Yes,Vehicle used to transport children was not equipped with a flashlight. ,
09/05/2024,748.2003(b)(5) - Medication,Medication,No,09/11/2024,10/04/2024,L:Medication,Medium High,Yes,The medication log for a child in care indicated that the child is being given one tablet at bedtime and not two as prescribed. ,when a childs medication is changed it will be placed in the folder by Assistant Director and checked for placement by the administrator and also explained to the Staff Member administering the medication when it is filled by assistant director. 
09/05/2024,748.983(a) - Training and Professional Development,Training and Professional Development,No,09/11/2024,10/04/2024,F:Training and Professional Development,Medium High,Yes,One of four staff member files reviewed was observed to have an expired CPR Certification: expired June 2024. ,"A training checklist has been created by the administrator containing the trainings required to fulfill minimum standards annually. The training checklist will be placed in each staff members folder by the administrator and a copy in a Master Folder titled Annual Training. The date of each staff members current training will be documented, along with the annual due date. These dates will also be documented and displayed on a Training Calendar in the main business office.  Administrator and Lead Supervisor will be responsible for checking each staff members filed checklist on a monthly basis for staff members who will need to complete their trainings for the current month.  A memo will also be given to staff members who need to complete training for the month at least 2 weeks prior to their due date.

"
09/05/2024,748.4007(6) - Transportation,Transportation,Yes,09/05/2024,,R:Transportation,High,Yes,Vehicle used to transport children was not equipped with a fire extinguisher.,
09/05/2024,748.1209(b)(6) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/11/2024,10/04/2024,Individual Standards Evaluated,Medium High,No,1 out of 4 files reviewed did not include the orientation or EBI notification. ,"LVES will have monthly folder checks to ensure all documents have been obtained, signed, and placed in the folder.  The folder checks will be conducted by LCCA and Assistant Director."
10/06/2023,748.453(a)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/20/2023,10/18/2023,Individual Standards Evaluated,Medium,No,The unauthorized annual summary log was reviewed and is missing the component of how long the child was gone for or if the child did not return. ,The annual summary log has been updated to include the duration of clock time hours the resident was absent from the property.
10/06/2023,748.3701(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,10/20/2023,10/18/2023,Individual Standards Evaluated,Medium Low,No,The Recreational Activity Calendar does not depict planned daily indoor and outdoor recreational activities. ,The recreation schedule has been updated and documents both daily planned indoor and outdoor activities. 
09/13/2023,748.4205 - Emergency Care,Emergency Care,No,09/27/2023,09/27/2023,S:Emergency Care,Low,No,5 of 5 children receiving emergency care services have been in care longer than 15 days without an extension. ,"A 7 Day Placement Extension Review Form will document the status of the childs placement stay needs. It will be completed on the 7th, 15th and 30th day of placement until the residents discharge. Nearing the end of the 90th day of placement if DFPS request placement extension it will be submitted through the Providers Portal and documented on the Placement Extension Form."
09/13/2023,748.1583(a) - Child Care,Child Care,No,09/13/2023,09/13/2023,J:Child Care,Medium,No,In 1 out of 4 files reviewed there was no TB exam conducted. ,"A checklist will be added to each resident's folder with a medical section indicating if there is a current TB Test present in the folder. The checklist will be dated and updated every 7th, 15th, and 30th day to ensure the resident has received the TB Test within 30 days of admission. "
09/13/2023,"748.1217(b)(11) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,09/13/2023,09/13/2023,"I:Admission, Service Planning, Discharge",Medium Low,No,3 out of the 4 files reviewed did not contain an admission assessment. ,"Many residents are admitted during emergency situations lacking many documents. It will be mandatory that Admission Assessments will begin to be filled out at the point of the admission with any information the caseworker, investigator or transporter has on hand. During this time any information not obtained will be labeled ""pending"" and a reason given in written documentation for the absence of the information and notated on the checklist. The caseworker will be contacted every 7 days and efforts documented on the checklist. "
09/13/2023,748.3233(b)(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/27/2023,10/06/2023,Individual Standards Evaluated,Medium High,No,The emergency evacuation & relocation diagram does not include a designated location inside of the operation to take shelter from threatening weather. ,The emergency evacuation & relocation diagram do reflect a designated location inside of the operation to take shelter from threatening weather. 
09/13/2023,748.3701(a) - Recreation Activities,Recreation Activities,No,09/27/2023,10/06/2023,Q:Recreation Activities,Medium Low,Yes,The Recreational Activity Calendar does not depict planned daily indoor and outdoor recreational activities. ,
09/13/2023,748.1545(a) - Child Care,Child Care,No,09/13/2023,10/06/2023,J:Child Care,Medium High,Yes,4 out of the 4 files reviewed did not obtain any record of any child being screened for vision or hearing.,The operation has filed vision and hearing exams for all children and have created  a checklist to ensure it is completed timely. 
09/13/2023,"748.1437(1) - Admission, Service Planning, Discharge","Admission, Service Planning, Discharge",No,09/27/2023,09/27/2023,"I:Admission, Service Planning, Discharge",Medium Low,No,In 1 out of 1 discharge file reviewed was observed to not contain any discharge documentation.,There is a Resident Discharge Form that is completed for each resident's discharge by attending staff and the DFPS Caseworker. It was not present the day of inspection but has now been completed.
