Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
05/07/2025,748.2953(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/14/2025,05/13/2025,Individual Standards Evaluated,Medium,No,A review of the EBI quarterly data indicates the information has not been submitted for the first quarter.  ,"An email received from the administrator on 05/13/25 identified the following plan of correction: The operation plans set timers to submit quarterly EBI reports. Recurring reminders through calendar alerts for the 15th of the last month of each quarter with the label prepare and submit EBI quarterly report. In addition, weekly/monthly check-ins with the program manager or email summary will be conducted where the program manager informs the administrator of the data entry to show timely documentation. "
04/28/2025,748.753(a)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/05/2025,05/15/2025,Individual Standards Evaluated,Medium High,No,Reference checks were not completed for the personnel file that was reviewed. ,"On 05/13/25, an email with the updated plan of correction was received from the administrator with the following information: Reference checks are made by the Program Manager and/or the administrator. The plan states that reference checks will be completed 72 hours after the employee accepts and sign their offer letter. Prior to the offer letter, the operation will have the prospective employee's completed applicant interview, passed the background check, fingerprinting, provide required documents, etc. Reference checks are completed either by phone call or email. All new employees will have their employee file audited within 7 days of their first employment by the administrator. TOL will use a personnel audit file fore or the quarterly personnel file audit tracker to ensure personnel files are complete. Quarterly audits will be performed to ensure compliance. 
A plan of correction was received on 05/05/25 by email from the administrator but returned for corrections on 05/07/25."
04/28/2025,748.861(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/05/2025,05/19/2025,Individual Standards Evaluated,Medium High,No,"A caregiver employed by the operation did not have previous treatment services childcare experience, the personnel record did not show 40 hours of documented observation, prior to being on shift as a sole caregiver and the caregiver was not exempt from the observation. ","On 05/19/25, phone contact with the administrator and follow up email identified the following plan of correction: Moving forward new staff that have no previous childcare services must be supervised by another caregiver who has already satisfied the 40-hour experience requirement, and supervised child-care experience must be documented in the appropriate personnel record.  
A plan of compliance received on 05/13/25, after being returned for corrections from the administrator by email identified the employee had received the required 40 hours of training but the documentation was not structured to show the employee had worked under the supervision of administration and senior staff. 
A plan of correction was received on 05/05/25 by email from the administrator but returned for corrections on 05/07/25.
"
04/28/2025,748.151(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/05/2025,05/05/2025,Individual Standards Evaluated,Medium,No,A review of records revealed that a child's service plan was incomplete and unsigned by the administrator. ,"A plan of correction was received on 05/05/25 by email from the administrator identified that once a service plan has been proofread by the administrator and approved, it is then printed. The administrator will ensure that his or her signature is next on the plan after review with the child and before sending it to the child's caseworker.  "
04/28/2025,748.911(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/05/2025,05/19/2025,Individual Standards Evaluated,High,Yes,The employee file reviewed at inspection CPR/First Aid certification was expired. ,"A copy of the completed training certificate dated 04/30/25 for the staff was received from the administrator by email on 05/19/25.
During an inspection completed on 05/12/25, the administrator identified the staff had received CPR/First Aid training. 
The updated plan of correction was received by email on 05/13/25 from the administrator with the following: It is the responsibility of the program manager to work with the administrator to make sure that all upcoming CPR/First Aid, EBI/CPI and other certifications are renewed before their expiration date. All staff will be notified within 10 days of training certificate expiration. Until an employee's expired certification can be renewed the administrator will require that a second person with current certifications be on duty with said employee. To get the staff member re-certified ASAP, the PM or Admin will contact the training contractor immediately to see when the next availability is to schedule re-certification training. To make sure that no certifications expire in the future, TOL RTC will use HM tasks 7 and 5 to audit and track training/documents in the staff file. "
04/15/2025,748.861(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/22/2025,04/23/2025,Individual Standards Evaluated,Medium High,Yes,"A caregiver employed by the operation did not have previous treatment services childcare experience, the personnel record did not show 40 hours of documented observation, prior to being on shift as a sole caregiver and the caregiver was not exempt from the observation. ","A second email received from the administrator on 04/23/25 identified additions made to the original forms supplied to include differentiation between job shadowing and pre-service training, dates completed, signature of senior staff, and indicate the staff member that is new to childcare must be supervised at all times by another caregiver who has already satisfied the 40 hour experience requirement, and the supervised child-care experience must be documented in the personnel record. The 40-hour preservice log for new employee was also amended in the wording to identify shadowing senior staff to encompass the appropriate number of hours and evaluation.  
A plan of correction sent by email on 04/16/25 by the administrator identified an update to the 40-hour pre-service log for new employee form to indicate that each staff would participate in a two-week long, 4 hours per day orientation and introduction that included a new employee observation/shadowing by senior staff. "
04/15/2025,748.151(3) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/22/2025,04/16/2025,Individual Standards Evaluated,Medium,No,A record review of a child's admission assessment contained information regarding another resident.,"Administrator sent the plan of correction via email on 04/16/25 with an attached process plan update for the admission assessment identifying the case manager would submit the completed assessment to the LCCA to review for completeness, accuracy, and required signatures. Administrator sent an amended resident admission assessment for the child reviewed."
04/01/2025,748.3441(a) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,04/01/2025,,Individual Standards Evaluated,Medium High,Yes,"During a walkthrough inspection of the operation, milk, hot dog and hamburger buns, wheat bread, and tortillas were found past the sell or use by date. The operation disposed of the expired items while inspector was present.  ",
03/18/2025,748.3301(a)(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/25/2025,04/01/2025,Individual Standards Evaluated,High,Yes,"During a follow-up walk through conducted at the operation, the sink in the bathroom remains leaking and the blind in the second bathroom downstairs is still broken. ","During a walkthrough of the of the operation, the sink was no longer leaking, and broken blinds had been replaced in the bathroom.  "
03/18/2025,745.8411(b)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/25/2025,04/01/2025,Individual Standards Evaluated,High,Yes,During a walkthrough of the operation the door to the casemanagers office was locked and unable to be accessed. ,"During a walkthrough of the operation, the case manager's office was unlocked for observation. "
