Citation Date,Standard Number / Description,Category,Corrected at Inspection,Correction Deadline Date,Date Correction Evaluated,Sections Violated,Standard Risk Level,Technical Assistance Given,Deficiency Narrative,Correction Narrative
03/28/2025,748.1331(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,05/28/2025,05/29/2025,Individual Standards Evaluated,Medium Low,Yes,The Preliminary Service Plan did not address supervision requirements for a child who exhibited high risk behaviors. ,"An email was sent from the administrator regarding investigation # 3152450. The administrator stated that we will continue to review with more diligence our Service Plans to ensure that all requirements are addressed to meet the immediate needs of the child within 72 hours, to include supervision requirements. The documentation can be found in the document library."
05/02/2024,748.1331(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,07/10/2024,07/05/2024,Individual Standards Evaluated,Medium Low,Yes,A child with a history of high-risk behaviors did not have supervision requirements indicated on the plan. ,The operation identified that there was a need to enhance management's oversight of the common application and child' background/needs at placement to ensure this criteria is met. The operation implemented a new policy. 
09/10/2021,748.3351(1) - Individual Standards Evaluated,Individual Standards Evaluated,No,09/28/2021,09/28/2021,Individual Standards Evaluated,Medium High,Yes,,An unannounced follow-up inspection was conducted in regards to assessment number 247903 due to physical cite citation. Pictures were received from the administrator. Pictures were taken during the inspection and can be found in external file. 
06/04/2021,748.3273(6) - Safety and Emergency Practices,Safety and Emergency Practices,Yes,06/04/2021,,O:Safety and Emergency Practices,Medium Low,Yes,"The first aid kit is missing a thermometer,scissors, and a pair of tweezers.",
04/09/2021,748.3391(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,04/14/2021,04/14/2021,Individual Standards Evaluated,Medium High,Yes,"The bathroom had many dirty clothes on the floor, built-up dirt and soap scum in the shower, and insects on the floor and  in the shower. ",Administrator Ms. Boss provided pictures via email of the bathroom and compliance was met. 
03/15/2021,748.3443(b)(2) - Individual Standards Evaluated,Individual Standards Evaluated,No,03/17/2021,03/18/2021,Individual Standards Evaluated,Medium,No,One of the freezers at the operation did not have a thermometer. ,HM Inspector Angela Pollock received an email from the operation which included a picture of a thermometer inside the freezer.
12/04/2020,748.395(1) - Individual Standards Evaluated,Individual Standards Evaluated,Yes,12/07/2020,,Individual Standards Evaluated,Low,No,"1 employee file did not contain verification of EBI training, First Aid and CPR certification at the inspection. ",
12/04/2020,748.1217(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/18/2020,12/22/2020,Individual Standards Evaluated,Medium,Yes,The admissions assessment speak to why the previous placement was disrupted. It does not explain how NJH will meet the childs needs.,
12/04/2020,748.831(a) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/18/2020,12/22/2020,Individual Standards Evaluated,Medium,No,"Orientation was not found in the record to reflect needs of the children, philosophy, organizational structure, policies, and services the program
offers.",
12/04/2020,748.831(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/18/2020,12/22/2020,Individual Standards Evaluated,Medium Low,No,"Orientation was not found in the record to reflect
completion of the orientation.",
12/04/2020,748.1217(b)(14) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/18/2020,12/22/2020,Individual Standards Evaluated,Low,Yes,"The childs questionnaire asks questions related to the childs plans, hobbies, and view of the placement. It does not inquire about their knowledge of the operation and view of placement. ",
12/04/2020,748.1339(b) - Individual Standards Evaluated,Individual Standards Evaluated,No,12/18/2020,12/22/2020,Individual Standards Evaluated,Low,Yes,The initial service plan documents that the case manager and the child participated in the development of the treatment plan only.,
11/13/2020,748.3301(i) - Individual Standards Evaluated,Individual Standards Evaluated,No,11/27/2020,12/22/2020,Individual Standards Evaluated,Medium High,Yes,The door on a grill that's not being used in the game room is rusty and has wholes in it that could present a risk to children.  ,  
