id,name,city,state,country,status,facility_page
9605,"Canyon State Academy","Queen Creek",AZ,"United States",Open,https://kidsoverprofits.org/facility/canyon-state-academy-az/
9606,"Daytona Juvenile Residential Facility","Daytona Beach",FL,"United States",Transferred,https://kidsoverprofits.org/facility/daytona-juvenile-residential-facility-fl/
9607,"Falcon Ridge Ranch",Virgin,UT,"United States",Open,https://kidsoverprofits.org/facility/falcon-ridge-ranch-ut/
9608,"Gulf Coast Trades Center","233 New Waverly",TX,"United States",Open,https://kidsoverprofits.org/facility/gulf-coast-trades-center-tx/
9609,"JoAnn Bridges Academy",Greenville,FL,"United States",Open,https://kidsoverprofits.org/facility/joann-bridges-academy-fl/
9610,"Lake Granbury Youth Services",Granbury,TX,"United States",Open,https://kidsoverprofits.org/facility/lake-granbury-youth-services-tx/
9611,"Lava Heights Academy",Toquerville,UT,"United States",Open,https://kidsoverprofits.org/facility/lava-heights-academy-ut/
9612,"Monarch Academy for Girls",Denison,TX,"United States",Open,https://kidsoverprofits.org/facility/monarch-academy-for-girls-tx/
9613,"Mt. Lassen Treatment Center","San Andreas",CA,"United States",Open,https://kidsoverprofits.org/facility/mt-lassen-treatment-center-ca/
9614,"Norris Academy",", Andersonville",TN,"United States",Open,https://kidsoverprofits.org/facility/norris-academy-tn/
9615,"Oak Grove Academy",Jasper,FL,"United States",Open,https://kidsoverprofits.org/facility/oak-grove-academy-fl/
9616,"Palm Beach Youth Academy","West Palm Beach",FL,"United States",Open,https://kidsoverprofits.org/facility/palm-beach-youth-academy-fl/
9617,"Pearl Haven",O’ahu,HI,"United States",Open,https://kidsoverprofits.org/facility/pearl-haven-hi/
9618,"Sierra Ridge Treatment Center",,,,Open,https://kidsoverprofits.org/facility/sierra-ridge-treatment-center/
9619,"Sierra Sage Treatment Center",Minden,NV,"United States",Open,https://kidsoverprofits.org/facility/sierra-sage-treatment-center-nv/
9620,"Silver State Academy",Yerington,NV,"United States",Closed,https://kidsoverprofits.org/facility/silver-state-academy-nv/
9621,"The Oaks",Brownwood,TX,"United States",Unknown,https://kidsoverprofits.org/facility/the-oaks-tx/
9623,"Walton Academy for Growth and Change","DeFuniak Springs",FL,"United States",Open,https://kidsoverprofits.org/facility/walton-academy-for-growth-and-change-fl/
9624,"Yosemite Treatment Center","San Andreas",CA,"United States",Open,https://kidsoverprofits.org/facility/yosemite-treatment-center-ca/
9625,"Straight – Atlanta",Marietta,GA,"United States",Closed,https://kidsoverprofits.org/facility/straight-atlanta-ga/
9627,"Straight – Dallas",Richardson,TX,"United States",Closed,https://kidsoverprofits.org/facility/straight-dallas-tx/
9628,"Straight – Orlando",Orlando,FL,"United States",Closed,https://kidsoverprofits.org/facility/straight-orlando-fl/
9630,"Straight – Sarasota",Sarasota,FL,"United States",Closed,https://kidsoverprofits.org/facility/straight-sarasota-fl/
9631,"Straight – Greater Washington",Springfield,VA,"United States",Closed,https://kidsoverprofits.org/facility/straight-greater-washington-va/
9632,"Straight – Tampa Bay","St. Petersburg",FL,"United States",Closed,https://kidsoverprofits.org/facility/straight-tampa-bay-fl/
9633,"Straight – New England",Stoughton,MA,"United States",Closed,https://kidsoverprofits.org/facility/straight-new-england-ma/
9634,"Straight – Columbia",Columbia,MD,"United States",Closed,https://kidsoverprofits.org/facility/straight-columbia-md/
9635,"Straight – Hampton Roads",Chesapeake,VA,"United States",Closed,https://kidsoverprofits.org/facility/straight-hampton-roads-va/
9640,"New Beginnings Residential School","Owens Cross Roads",AL,"United States",Closed,https://kidsoverprofits.org/facility/new-beginnings-residential-school-al/
9641,"New Directions Home for Boys",,,,Closed,https://kidsoverprofits.org/facility/new-directions-home-for-boys/
9642,"New Dominion School of Maryland","Old Town",MD,"United States",Closed,https://kidsoverprofits.org/facility/new-dominion-school-of-maryland-md/
9645,"Three Springs of Augusta",Augusta,GA,"United States",Closed,https://kidsoverprofits.org/facility/three-springs-of-augusta-ga/
9646,"Three Springs of Blue Ridge","Blue Ridge",GA,"United States",Closed,https://kidsoverprofits.org/facility/three-springs-of-blue-ridge-ga/
9648,"Three Springs of Duck River",Centerville,TN,"United States",Closed,https://kidsoverprofits.org/facility/three-springs-of-duck-river-tn/
9651,"Three Springs of Mountain Home","Mountain Home",ID,"United States",Closed,https://kidsoverprofits.org/facility/three-springs-of-mountain-home-id/
9661,"Wayne County Girls Program",Jesup,GA,"United States",Closed,https://kidsoverprofits.org/facility/wayne-county-girls-program-ga/
9664,"Glenhaven Academy",Marlborough,MA,"United States",Open,https://kidsoverprofits.org/facility/glenhaven-academy-ma/
9665,"Berkshire Meadows School",Housatonic,MA,"United States",Open,https://kidsoverprofits.org/facility/berkshire-meadows-school-ma/
9666,"Butler Center",Westborough,MA,"United States",Open,https://kidsoverprofits.org/facility/butler-center-ma/
9667,Centerpoint,Tewksbury,MA,"United States",Open,https://kidsoverprofits.org/facility/centerpoint-ma/
9668,"Cohannet Academy",Taunton,MA,"United States",Open,https://kidsoverprofits.org/facility/cohannet-academy-ma/
9669,"Chesterfield Group Home",Oakdale,CT,"United States",Open,https://kidsoverprofits.org/facility/chesterfield-group-home-ct/
9670,"River's Edge Group Home",Thompson,CT,"United States",Open,https://kidsoverprofits.org/facility/river-s-edge-group-home-ct/
9671,"GRIP Program",Lowell,MA,"United States",Open,https://kidsoverprofits.org/facility/grip-program-ma/
9672,"Journey Home",Attleboro,MA,"United States",Open,https://kidsoverprofits.org/facility/journey-home-ma/
9673,Lindencroft,,MA,"United States",Open,https://kidsoverprofits.org/facility/lindencroft-ma/
9674,"Little Heroes Group Home",,MA,"United States",Open,https://kidsoverprofits.org/facility/little-heroes-group-home-ma/
9675,"Littleton Academy",Littleton,MA,"United States",Open,https://kidsoverprofits.org/facility/littleton-academy-ma/
9676,"Meadowridge Academy",Swansea,MA,"United States",Open,https://kidsoverprofits.org/facility/meadowridge-academy-ma/
9677,"Merrimack Center",Tewksbury,MA,"United States",Open,https://kidsoverprofits.org/facility/merrimack-center-ma/
9678,"Pelham Academy",Lexington,MA,"United States",Open,https://kidsoverprofits.org/facility/pelham-academy-ma/
9679,"Rediscovery House",,MA,"United States",Open,https://kidsoverprofits.org/facility/rediscovery-house-ma/
9680,"Susan Wayne Center of Excellence",Thompson,CT,"United States",Open,https://kidsoverprofits.org/facility/susan-wayne-center-of-excellence-ct/
9681,"Swansea Wood School",Swansea,MA,"United States",Open,https://kidsoverprofits.org/facility/swansea-wood-school-ma/
9682,"Walden Street School",Concord,MA,"United States",Open,https://kidsoverprofits.org/facility/walden-street-school-ma/
9683,"Ascent Wilderness Therapy",Naples,ID,"United States",Closed,https://kidsoverprofits.org/facility/ascent-wilderness-therapy-id/
9684,Innercept,"Coeur d’Alene",ID,"United States",Open,https://kidsoverprofits.org/facility/innercept-id/
9685,"BlueFire Wilderness Therapy",Gooding,ID,"United States",Open,https://kidsoverprofits.org/facility/bluefire-wilderness-therapy-id/
9686,"Mountain Home Academy","Mountain Home",ID,"United States",Closed,https://kidsoverprofits.org/facility/mountain-home-academy-id/
9687,"Boise Girls Academy",Nampa,ID,"United States",Open,https://kidsoverprofits.org/facility/boise-girls-academy-id/
9689,"Boulder Creek Academy","Bonners Ferry",ID,"United States",Closed,https://kidsoverprofits.org/facility/boulder-creek-academy-id/
9690,"Intermountain Hospital",Boise,ID,"United States",Open,https://kidsoverprofits.org/facility/intermountain-hospital-id/
9691,"Northwest Academy","Bonners Ferry",ID,"United States",Closed,https://kidsoverprofits.org/facility/northwest-academy-id/
9692,"3B Detention","Idaho Falls",ID,"United States",Open,
9693,"Ada County Juvenile Detention",Boise,ID,"United States",Open,
9694,"Bannock County Juvenile Detention",Pocatello,ID,"United States",Open,
9695,"Bonner County Juvenile Detention",Sandpoint,ID,"United States",Open,
9697,"Christian Children’s Ranch",Eagle,ID,"United States",Closed,
9698,"Clearview Horizon",Sandpoint,ID,"United States",Open,https://kidsoverprofits.org/facility/clearview-horizon-id/
9699,"Cornerstone Cottage","Post Falls",ID,"United States",Closed,
9700,"Daybreak Canyon, LLC",Kellogg,ID,"United States",Open,https://kidsoverprofits.org/facility/daybreak-canyon-llc-id/
9701,"Eagle Mountain Outpost",Sagle,ID,"United States",Closed,
9702,"East Idaho Youth Homes, LLC","Idaho Falls",ID,"United States",Open,
9703,"Elk Mountain Academy","Clark Fork",ID,"United States",Open,https://kidsoverprofits.org/facility/elk-mountain-academy-id/
9704,"Five County Treatment & Youth Rehabilitation Center","St. Anthony",ID,"United States",Open,
9705,"Glacier Mountain Expeditions",Cocolalla,ID,"United States",Closed,https://kidsoverprofits.org/facility/glacier-mountain-expeditions-id/
9706,"Gustafson House","Idaho Falls",ID,"United States",Open,
9708,Homelines,"Moyie Springs",ID,"United States",Closed,https://kidsoverprofits.org/facility/homelines-id/
9709,"Hope House",Marsing,ID,"United States",Open,
9710,"Idaho Youth Ranch – Hays House",Boise,ID,"United States",Open,
9711,"Idaho Youth Ranch Residential Center",", Boise",ID,"United States",Open,
9712,"Jackson House","Idaho Falls",ID,"United States",Open,
9713,"JCC – Lewiston",Lewiston,ID,"United States",Open,
9714,"JCC – Nampa",Nampa,ID,"United States",Open,
9715,"JCC – St. Anthony","St. Anthony",ID,"United States",Open,
9716,"Kootenai Juvenile Detention","Dalton Gardens",ID,"United States",Open,
9717,"Lemhi County Juvenile Detention",Salmon,ID,"United States",Open,
9718,"Living Water Youth Ranch",Hayden,ID,"United States",Open,
9720,"Mini-Cassia Juvenile Detention",Rupert,ID,"United States",Open,
9721,"Nez Perce Juvenile Detention",Lewiston,ID,"United States",Open,
9722,"Northwest Children’s Home",Lewiston,ID,"United States",Open,
9723,Northwoods,"Bonners Ferry",ID,"United States",Open,https://kidsoverprofits.org/facility/northwoods-id/
9724,"Novitas Academy",Emmett,ID,"United States",Closed,https://kidsoverprofits.org/facility/novitas-academy-id/
9725,"Project PATCH","Garden Valley",ID,"United States",Open,https://kidsoverprofits.org/facility/project-patch-id/
9726,"Rainbow Hill",Victor,ID,"United States",Closed,
9727,"Rocky Mountain Academy","Bonners Ferry",ID,"United States",Closed,https://kidsoverprofits.org/facility/rocky-mountain-academy-id/
9728,"Saddlehorn Ranch",Driggs,ID,"United States",Closed,
9729,"Snake River Juvenile Detention Center","Twin Falls",ID,"United States",Open,
9730,"Southwest Idaho Juvenile Detention Center",Caldwell,ID,"United States",Open,
9731,"Spirit Mountain Treatment Center","Spirit Lake",ID,"United States",Closed,
9732,SquareOne,"Coeur d’Alene",ID,"United States",Closed,
9734,"SUWS Idaho",Shoshone,ID,"United States",Closed,https://kidsoverprofits.org/facility/suws-idaho-id/
9735,"Timber Ridge Preparatory School for Girls","Clark Fork",ID,"United States",Closed,
9736,"Turning Winds",Hayden,ID,"United States",Closed,
9737,"Whiteley Meadows","Clark Fork",ID,"United States",Closed,
9738,"The Wardle Home",,ID,"United States",Closed,
9739,"CEDU Middle School","Running Springs",CA,"United States",Closed,https://kidsoverprofits.org/facility/cedu-middle-school-ca/
9740,"CEDU High School","Running Springs",CA,"United States",Closed,https://kidsoverprofits.org/facility/cedu-high-school-ca/
9742,"Wellspring Camp La Jolla","La Jolla",CA,"United States",Closed,https://kidsoverprofits.org/facility/wellspring-camp-la-jolla-ca/
9743,"Embark at San Martin","San Martin",CA,"United States",Open,https://kidsoverprofits.org/facility/embark-at-san-martin-ca/
9744,"Optimum Performance Institute","Woodland Hills",CA,"United States",Open,https://kidsoverprofits.org/facility/optimum-performance-institute-ca/
9745,"Arden Oaks RTC",Sacramento,CA,"United States",Open,https://kidsoverprofits.org/facility/arden-oaks-rtc-ca/
9746,"Danville RTC",Danville,CA,"United States",Open,https://kidsoverprofits.org/facility/danville-rtc-ca/
9747,"Lafayette RTC",Lafayette,CA,"United States",Open,https://kidsoverprofits.org/facility/lafayette-rtc-ca/
9748,"Mount Helix RTC","La Mesa",CA,"United States",Open,https://kidsoverprofits.org/facility/mount-helix-rtc-ca/
9749,"Dove Song RTC",Encinitas,CA,"United States",Open,https://kidsoverprofits.org/facility/dove-song-rtc-ca/
9750,"Cole Ranch RTC",Encinitas,CA,"United States",Open,https://kidsoverprofits.org/facility/cole-ranch-rtc-ca/
9751,"Agoura Hills RTC","Agoura Hills",CA,"United States",Open,https://kidsoverprofits.org/facility/agoura-hills-rtc-ca/
9752,"Calabasas RTC",Calabasas,CA,"United States",Open,https://kidsoverprofits.org/facility/calabasas-rtc-ca/
9753,"Ojai RTC",Ojai,CA,"United States",Open,https://kidsoverprofits.org/facility/ojai-rtc-ca/
9754,"Woodland Hills RTC","Woodland Hills",CA,"United States",Open,https://kidsoverprofits.org/facility/woodland-hills-rtc-ca/
9755,"Vanalden RTC",Tarzana,CA,"United States",Open,https://kidsoverprofits.org/facility/vanalden-rtc-ca/
9756,"Aura RTC",Tarzana,CA,"United States",Open,https://kidsoverprofits.org/facility/aura-rtc-ca/
9757,"KIDS of Southern California","Yorba Linda",CA,"United States",Closed,https://kidsoverprofits.org/facility/kids-of-southern-california-ca/
9758,"Newport Academy – Acre",Orange,CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-acre-ca/
9759,"Newport Academy – Aracena",Camarillo,CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-aracena-ca/
9760,"Newport Academy – Avocado",Camarillo,CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-avocado-ca/
9761,"Newport Academy – Happy Valley",Pleasanton,CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-happy-valley-ca/
9762,"Newport Academy – Highcliff","North Tustin",CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-highcliff-ca/
9763,"Newport Academy – Hill",Orange,CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-hill-ca/
9764,"Newport Academy – Hillside",Orange,CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-hillside-ca/
9765,"Newport Academy – Maoli","San Rafael",CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-maoli-ca/
9766,"Newport Academy – Morada",Orange,CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-morada-ca/
9767,"Newport Academy – Paloma","Castro Valley",CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-paloma-ca/
9768,"Newport Academy – Ranch",Orange,CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-ranch-ca/
9769,"Newport Academy – Redwood","San Geronimo",CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-redwood-ca/
9770,"Newport Academy – Ridgeview",Orange,CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-ridgeview-ca/
9771,"Newport Academy – Rodeo",Orange,CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-rodeo-ca/
9772,"Newport Academy – Rogers",Orange,CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-rogers-ca/
9773,"Newport Academy – Rush Creek",Novato,CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-rush-creek-ca/
9774,"Newport Academy – Sundance",Orange,CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-sundance-ca/
9775,"Newport Academy – Tanglewood",Orange,CA,"United States",Open,https://kidsoverprofits.org/facility/newport-academy-tanglewood-ca/
9776,"Newport Institute – Miramar","Santa Ana",CA,"United States",Open,https://kidsoverprofits.org/facility/newport-institute-miramar-ca/
9777,"Bell(e) Academy","Terra Bella",CA,"United States",Closed,https://kidsoverprofits.org/facility/bell-e-academy-ca/
9778,"2nd Home, Inc – San Jose",Clovis,CA,"United States",Open,
9779,"2nd Home, Inc – Tenaya House",Fresno,CA,"United States",Open,https://kidsoverprofits.org/facility/2nd-home-inc-tenaya-house-ca/
9780,"3 R’s Group Home, Inc.",Fresno,CA,"United States",Open,
9781,"4 Kids 2 Kids",Ventura,CA,"United States",Open,
9782,"180 Degree Recon","East Los Angeles",CA,"United States",Open,
9783,"Aaron’s Boys Home",Atascadero,CA,"United States",Open,
9784,"About Face Cadet Corps","Los Angeles",CA,"United States",Closed,
9785,"Achieve Residential Center",Rialto,CA,"United States",Open,https://kidsoverprofits.org/facility/achieve-residential-center-ca/
9788,"Advent Group Ministries – St. John Home","Morgan Hill",CA,"United States",Open,https://kidsoverprofits.org/facility/advent-group-ministries-st-john-home-ca/
9789,"Advent Group Ministries – Summit Ranch","Morgan Hill",CA,"United States",Open,https://kidsoverprofits.org/facility/advent-group-ministries-summit-ranch-ca/
9790,"Agape Homes Orcutt","Santa Maria",CA,"United States",Open,https://kidsoverprofits.org/facility/agape-homes-orcutt-ca/
9791,"Alameda County Juvenile Justice Facility","San Leandro",CA,"United States",Open,
9792,"Alan M. Crogan Youth Treatment/Educational Center",Riverside,CA,"United States",Open,
9793,"Alana’s House",Antioch,CA,"United States",Open,https://kidsoverprofits.org/facility/alana-s-house-ca/
9794,"Alpha Connection Youth & Family Services","Apple Valley",CA,"United States",Open,https://kidsoverprofits.org/facility/alpha-connection-youth-family-services-ca/
9795,Amali,Coronado,CA,"United States",Open,https://kidsoverprofits.org/facility/amali-ca/
9796,"Angel Gate Academy","San Luis Obispo",CA,"United States",Closed,
9797,"Argent Ventures, Inc.",Hawthorne,CA,"United States",Open,
9798,"Arise for Girls Los Angeles","Los Angeles",CA,"United States",Open,https://kidsoverprofits.org/facility/arise-for-girls-los-angeles-ca/
9799,"Ascend – Canyons","Santa Clarita",CA,"United States",Open,https://kidsoverprofits.org/facility/ascend-canyons-ca/
9800,"Ascend – Empress House",Encino,CA,"United States",Open,
9801,"Ascend – Haven House","Los Angeles",CA,"United States",Open,
9802,"Ascend – Kallos House",Tarzana,CA,"United States",Open,
9803,"Ascend – Magnolia House",Encino,CA,"United States",Open,
9804,"Ascend – Oaks House","Santa Clarita",CA,"United States",Open,
9805,"Ashlan House",Fresno,CA,"United States",Open,https://kidsoverprofits.org/facility/ashlan-house-ca/
9807,"Barry J. Nidorf Juvenile Hall SYTF",Sylmar,CA,"United States",Open,https://kidsoverprofits.org/facility/barry-j-nidorf-juvenile-hall-sytf-ca/
9808,"Barstow House",Fresno,CA,"United States",Open,https://kidsoverprofits.org/facility/barstow-house-ca/
9809,"Bauer Residential Santa Maria 3 Group Home","Santa Maria",CA,"United States",Open,https://kidsoverprofits.org/facility/bauer-residential-santa-maria-3-group-home-ca/
9810,"Bayfront Youth and Family Services – Residential Treatment Program","Long Beach",CA,"United States",Open,
9811,"Bea’s Youth Treatment Home for Girls",Coachella,CA,"United States",Open,https://kidsoverprofits.org/facility/bea-s-youth-treatment-home-for-girls-ca/
9813,"Bear Creek Academy Youth Camp","Merced County",CA,"United States",Open,
9814,"Bell Academy","Terra Bella",CA,"United States",Closed,https://kidsoverprofits.org/facility/bell-academy-ca/
9815,"Bella Vista @ Taylor",Montebello,CA,"United States",Open,
9816,"Bella Vista @ Wyoming",Burbank,CA,"United States",Open,
9817,"Berhe Group Home Inc.","San Bernardino",CA,"United States",Open,https://kidsoverprofits.org/facility/berhe-group-home-inc-ca/
9818,"Berkeley Cottage",Turlock,CA,"United States",Open,https://kidsoverprofits.org/facility/berkeley-cottage-ca/
9819,"Berkeley Lodge",Turlock,CA,"United States",Open,https://kidsoverprofits.org/facility/berkeley-lodge-ca/
9820,"Betty’s House of Care","Garden Grove",CA,"United States",Open,https://kidsoverprofits.org/facility/betty-s-house-of-care-ca/
9821,"Blissful Living Group Home",Upland,CA,"United States",Open,https://kidsoverprofits.org/facility/blissful-living-group-home-ca/
9822,"Blue Mountain Wilderness Program",Oakland,CA,"United States",Open,
9823,"Blume Behavioral Health RTC","Redondo Beach",CA,"United States",Open,
9824,"BNI Teen Treatment Centers – Agoura","Agoura Hills",CA,"United States",Open,
9825,"BNI Teen Treatment Centers – Calabasas",Calabasas,CA,"United States",Open,
9826,"Born for Nia Maternity Home",Riverside,CA,"United States",Open,https://kidsoverprofits.org/facility/born-for-nia-maternity-home-ca/
9827,"Bourne Family Services",Altadena,CA,"United States",Open,https://kidsoverprofits.org/facility/bourne-family-services-ca/
9828,"Boys Hope Girls Hope of Southern California",Irvine,CA,"United States",Open,
9829,"Boys Republic","Chino Hills",CA,"United States",Open,https://kidsoverprofits.org/facility/boys-republic-ca/
9830,"Boys Republic Graves Cottage STRTP","Chino Hills",CA,"United States",Open,
9831,"Boys Republic McCormick STRTP","Chino Hills",CA,"United States",Open,https://kidsoverprofits.org/facility/boys-republic-mccormick-strtp-ca/
9832,"Boys Republic Monrovia Residence",Monrovia,CA,"United States",Open,https://kidsoverprofits.org/facility/boys-republic-monrovia-residence-ca/
9833,"Boys Republic Pomona Residence",Pomona,CA,"United States",Open,https://kidsoverprofits.org/facility/boys-republic-pomona-residence-ca/
9834,"Boys Republic Silverlake Residence","Los Angeles",CA,"United States",Open,https://kidsoverprofits.org/facility/boys-republic-silverlake-residence-ca/
9835,"Boys Town California","Trabuco Canyon",CA,"United States",Closed,https://kidsoverprofits.org/facility/boys-town-california-ca/
9836,"Breaking the Cycle Treatment Program","Fair Oaks",CA,"United States",Open,
9837,"Brighter Horizon Treatment Center",Clovis,CA,"United States",Open,
9838,"Bruce & Nelson Residential Facility",Compton,CA,"United States",Open,
9839,"Build Bright Care Group","Granada Hills",CA,"United States",Open,https://kidsoverprofits.org/facility/build-bright-care-group-ca/
9840,"Building Unique Youth Alternatives",Bassett,CA,"United States",Open,
9841,"Burt Children’s Center","San Francisco",CA,"United States",Closed,
9842,"Butte County Camp Condor","Butte County",CA,"United States",Open,
9843,"Butte County Juvenile Hall",Oroville,CA,"United States",Open,
9844,"California Anchor Residents","SAN JOSE",CA,"United States",Closed,
9845,"California Family Life Center – Hemet House",Hemet,CA,"United States",Open,
9846,"California Family Life Center – Hemet Ranch",Hemet,CA,"United States",Open,
9847,"California Family Life Center – Sunset House",Hemet,CA,"United States",Open,
9848,"Cameron Youth Home Facilities, Inc.",Bakersfield,CA,"United States",Open,
9849,"Camp Erwin Owen",Kernville,CA,"United States",Open,
9850,"Camp Joseph Scott","Santa Clarita",CA,"United States",Closed,
9851,"Camp O’Neal","Whitmore Hot Springs",CA,"United States",Open,https://kidsoverprofits.org/facility/camp-o-neal-ca/
9852,"Camp Resnick",Lancaster,CA,"United States",Open,
9853,"Camp Wilmont Sweeney","San Leandro",CA,"United States",Open,
9854,"Campus Kilpatrick SYTF",Malibu,CA,"United States",Open,https://kidsoverprofits.org/facility/campus-kilpatrick-sytf-ca/
9855,"Camry Group Home","Rancho Cucamonga",CA,"United States",Open,
9856,"Canyon Oaks Youth Center","Redwood City",CA,"United States",Open,https://kidsoverprofits.org/facility/canyon-oaks-youth-center-ca/
9857,Capistrano-By-the-Sea,"Dana Point",CA,"United States",Open,
9858,"Casa de Amparo – Casa Kids Campus STRTP","San Marcos",CA,"United States",Open,
9859,"Casa Esperanza STRTP – Chino",Chino,CA,"United States",Open,https://kidsoverprofits.org/facility/casa-esperanza-strtp-chino-ca/
9860,"Casa Esperanza STRTP – Pomona",Pomona,CA,"United States",Open,https://kidsoverprofits.org/facility/casa-esperanza-strtp-pomona-ca/
9861,"Casa Pacifica STRTP",Camarillo,CA,"United States",Open,https://kidsoverprofits.org/facility/casa-pacifica-strtp-ca/
9862,"Cascade School",Whitmore,CA,"United States",Closed,https://kidsoverprofits.org/facility/cascade-school-ca/
9863,"CCJ – Heart to Heart",Chino,CA,"United States",Open,https://kidsoverprofits.org/facility/ccj-heart-to-heart-ca/
9864,"Celeste House",Clovis,CA,"United States",Open,https://kidsoverprofits.org/facility/celeste-house-ca/
9865,"Center for Reuniting Families",Templeton,CA,"United States",Open,
9866,"Center for ReUniting Families at Camp Osceola","Angelus Oaks",CA,"United States",Closed,
9867,"Central Valley Juvenile Detention & Assessment Center","San Bernardino",CA,"United States",Open,
9868,"Chamberlain’s Youth Services",Hollister,CA,"United States",Closed,https://kidsoverprofits.org/facility/chamberlain-s-youth-services-ca/
9869,"Changing Faces, Inc","Santa Maria",CA,"United States",Open,https://kidsoverprofits.org/facility/changing-faces-inc-ca/
9870,"Charis Youth Center","Grass Valley",CA,"United States",Open,https://kidsoverprofits.org/facility/charis-youth-center-ca/
9871,"CHARLEE Family Care Inc.","Palm Desert",CA,"United States",Open,https://kidsoverprofits.org/facility/charlee-family-care-inc-ca/
9872,"Childhelp – Baker","Costa Mesa",CA,"United States",Open,https://kidsoverprofits.org/facility/childhelp-baker-ca/
9873,"Childhelp – Joann","Costa Mesa",CA,"United States",Open,https://kidsoverprofits.org/facility/childhelp-joann-ca/
9874,"Childhelp – Johnson","Costa Mesa",CA,"United States",Open,https://kidsoverprofits.org/facility/childhelp-johnson-ca/
9875,"Childhelp – Merv Griffin Village",Beaumont,CA,"United States",Open,https://kidsoverprofits.org/facility/childhelp-merv-griffin-village-ca/
9876,"Children’s Home of Stockton – Alpine Cottage",Stockton,CA,"United States",Open,
9877,"Children’s Home of Stockton – Aspen Cottage",Stockton,CA,"United States",Open,
9878,"Children’s Home of Stockton – Cypress Cottage",Stockton,CA,"United States",Open,
9879,"Children’s Home of Stockton – Delta Cottage",Stockton,CA,"United States",Open,
9880,"Children’s Home of Stockton – Oak Cottage",Stockton,CA,"United States",Open,
9881,"Children’s Home of Stockton – Redwood Cottage",Stockton,CA,"United States",Open,
9882,"Children’s Home of Stockton – Triplex Cottages",Stockton,CA,"United States",Open,
9883,"Children’s Hope Group Home",Upland,CA,"United States",Open,https://kidsoverprofits.org/facility/children-s-hope-group-home-ca/
9884,"Children’s Legacy Center",Redding,CA,"United States",Open,https://kidsoverprofits.org/facility/children-s-legacy-center-ca/
9885,"Children’s Receiving Home of Sacramento RTP",Sacramento,CA,"United States",Open,
9886,"Circle C Ranch",Stockton,CA,"United States",Open,https://kidsoverprofits.org/facility/circle-c-ranch-ca/
9887,"Coastal Valley Academy","San Luis Obispo",CA,"United States",Open,
9888,"Contra Costa Juvenile Hall",Martinez,CA,"United States",Open,
9889,"Core Conditions Inc. – Brawley",Fresno,CA,"United States",Open,https://kidsoverprofits.org/facility/core-conditions-inc-brawley-ca/
9890,"Core Conditions Inc. – Dakota",Fresno,CA,"United States",Open,https://kidsoverprofits.org/facility/core-conditions-inc-dakota-ca/
9891,"Core Conditions Inc. – Oak",Fresno,CA,"United States",Open,https://kidsoverprofits.org/facility/core-conditions-inc-oak-ca/
9892,"Corinthians Helping Hand Group Home","Rancho Cucamonga",CA,"United States",Open,https://kidsoverprofits.org/facility/corinthians-helping-hand-group-home-ca/
9893,"Courage to Change",Exeter,CA,"United States",Open,https://kidsoverprofits.org/facility/courage-to-change-ca/
9894,"Creekside STRP",Mentone,CA,"United States",Open,
9895,"Crittenton Services for Children and Families STRTP",Fullerton,CA,"United States",Open,
9896,"Daniel and Nancy Marble Casa De Ninos",McFarland,CA,"United States",Open,https://kidsoverprofits.org/facility/daniel-and-nancy-marble-casa-de-ninos-ca/
9897,"Daughter Project Girls Home",Bakersfield,CA,"United States",Open,https://kidsoverprofits.org/facility/daughter-project-girls-home-ca/
9898,"David and Margaret Youth and Family Services STRTP","La Verne",CA,"United States",Open,
9899,"Delilu Achievement Home","Los Angeles",CA,"United States",Open,https://kidsoverprofits.org/facility/delilu-achievement-home-ca/
9900,"Desert Sage Youth Wellness Center",Hermit,CA,"United States",Open,
9901,"Destinations for Teens Residential Program","Los Angeles",CA,"United States",Open,https://kidsoverprofits.org/facility/destinations-for-teens-residential-program-ca/
9902,"Dignity STRTP","Rancho Cucamonga",CA,"United States",Open,https://kidsoverprofits.org/facility/dignity-strtp-ca/
9904,"DN Associates – Blythe",Fresno,CA,"United States",Open,https://kidsoverprofits.org/facility/dn-associates-blythe-ca/
9905,"DN Associates – Polk",Fresno,CA,"United States",Open,https://kidsoverprofits.org/facility/dn-associates-polk-ca/
9906,"Door to Hope – Santa Lucia",Salinas,CA,"United States",Open,
