Source_Website,Page_URL_of_Hit,Search_Term_Found
https://strugglingteens.com/,https://strugglingteens.com/,Wilder
https://strugglingteens.com/,https://strugglingteens.com/local-resources/,Wilder
https://strugglingteens.com/,https://strugglingteens.com/educational-consultants/,Wilder
https://strugglingteens.com/,https://strugglingteens.com/transport/,Wilder
https://strugglingteens.com/,https://strugglingteens.com/parents/arch-academy-ridgeview-open/#respond,Hall
https://strugglingteens.com/,https://strugglingteens.com/parents/arch-academy-ridgeview-open/#respond,Wilder
