matched_state,project_unique_name,facility_name
TENNESSEE,Tennessee Valley Juvenile Detention,Tennessee Valley Juvenile Detention
TENNESSEE,The Florence Crittenton Agency,The Florence Crittenton Agency
TENNESSEE,The Forge School,The Forge School
TENNESSEE,The Gateway Center,The Gateway Center
TENNESSEE,The King's Daughters' School Center for Autism,The King's Daughters' School Center for Autism
TENNESSEE,Woolfolk Hall,Woolfolk Hall
TENNESSEE,Youth Villages - Dogwood Cottages,Youth Villages - Dogwood Cottages
TEXAS,2nd Chance Treatment Center,2nd Chance Treatment Center
TEXAS,4 Healing Hearts,4 Healing Hearts
TEXAS,A Fresh Start RTC,A Fresh Start RTC
TEXAS,A Fresh Start Treatment Center,A Fresh Start Treatment Center
TEXAS,Abundance of Joy Home Shelter,Abundance of Joy Home Shelter
TEXAS,ACH Child and Family Services,ACH Child and Family Services
TEXAS,AMIkids Rio Grande Valley,AMIkids Rio Grande Valley
TEXAS,"Annunciation Maternity Home, Inc.","Annunciation Maternity Home, Inc."
TEXAS,Athletes for Change,Athletes for Change
TEXAS,BCFS Health and Human Services – Basic Care,BCFS Health and Human Services – Basic Care
TEXAS,Behavior Living,Behavior Living
TEXAS,Ben Richey’s Boys Ranch,Ben Richey’s Boys Ranch
TEXAS,Bluebonnet Youth Ranch,Bluebonnet Youth Ranch
TEXAS,Boles Children's Home Inc,Boles Children's Home Inc
TEXAS,Boys & Girls Country of Houston,Boys & Girls Country of Houston
TEXAS,Boys Haven of America,Boys Haven of America
TEXAS,Brookhaven Youth Ranch,Brookhaven Youth Ranch
TEXAS,Brownson Home,Brownson Home
TEXAS,Burke Center for Youth - Pathfinder’s Ranch,Burke Center for Youth - Pathfinder’s Ranch
TEXAS,"Camp Worth, LLC","Camp Worth, LLC"
TEXAS,Caring Heart Residential Care Services LLC,Caring Heart Residential Care Services LLC
TEXAS,Castillo Children's Center,Castillo Children's Center
TEXAS,Central Texas Children’s Home,Central Texas Children’s Home
TEXAS,Champion Oak Ranch,Champion Oak Ranch
TEXAS,Children’s Hope Residential Services Inc – Lubbock,Children’s Hope Residential Services Inc – Lubbock
TEXAS,Children’s Hope Residential Services Inc – Washington,Children’s Hope Residential Services Inc – Washington
TEXAS,Children’s Hope Residential Services Inc – West,Children’s Hope Residential Services Inc – West
TEXAS,"Children’s Village and Family Service Agency, Inc.","Children’s Village and Family Service Agency, Inc."
TEXAS,"Children's Hope Residential Services, Inc.","Children's Hope Residential Services, Inc."
TEXAS,CHRIO Residential,CHRIO Residential
TEXAS,Christ’s Haven for Children,Christ’s Haven for Children
TEXAS,CHS Loma Alta Shelter,CHS Loma Alta Shelter
TEXAS,CHS Trail House Program,CHS Trail House Program
TEXAS,CHSI Los Fresnos Shelter,CHSI Los Fresnos Shelter
TEXAS,CHSI Norma Linda Shelter,CHSI Norma Linda Shelter
TEXAS,CHSI Stanford House Shelter,CHSI Stanford House Shelter
TEXAS,"Connections Individual and Family Services, Inc.","Connections Individual and Family Services, Inc."
TEXAS,DePelchin Children’s Center-Richmond Campus,DePelchin Children’s Center-Richmond Campus
TEXAS,Dream Residential Treatment Center Inc.,Dream Residential Treatment Center Inc.
TEXAS,Embracing Destiny Foundation GRO,Embracing Destiny Foundation GRO
TEXAS,Embracing Destiny Foundation RTC,Embracing Destiny Foundation RTC
TEXAS,Everyday Life Inc,Everyday Life Inc
TEXAS,Girls Haven RTC,Girls Haven RTC
TEXAS,Gold Star Academy,Gold Star Academy
TEXAS,Grace Place,Grace Place
TEXAS,Guardian Angels I Residential Treatment Center,Guardian Angels I Residential Treatment Center
TEXAS,Guiding Light Residential Treatment Center LLC,Guiding Light Residential Treatment Center LLC
TEXAS,Gulf Coast Trades Center,Gulf Coast Trades Center
TEXAS,Gulf Winds RTC,Gulf Winds RTC
TEXAS,Have Haven Inc. RTC,Have Haven Inc. RTC
TEXAS,HeartBridges,HeartBridges
TEXAS,Hearts With Hope Foundation - GRO,Hearts With Hope Foundation - GRO
TEXAS,Hector Garza Residential Treatment Center,Hector Garza Residential Treatment Center
TEXAS,Hendrick Home for Children,Hendrick Home for Children
TEXAS,Hidden Cove Residential Treatment Center,Hidden Cove Residential Treatment Center
TEXAS,High Frontier RTC,High Frontier RTC
TEXAS,Hill Country Youth Ranch Residential Treatment Center,Hill Country Youth Ranch Residential Treatment Center
TEXAS,"HMIH Cedar Crest, LLC","HMIH Cedar Crest, LLC"
TEXAS,Hold My Hand Residential Treatment Center,Hold My Hand Residential Treatment Center
TEXAS,Hope Haven of East Texas,Hope Haven of East Texas
TEXAS,Hope Village,Hope Village
TEXAS,Houston Serenity Place GRO,Houston Serenity Place GRO
TEXAS,Houston Serenity Place Inc.,Houston Serenity Place Inc.
TEXAS,Houston Wee Care Shelter Inc,Houston Wee Care Shelter Inc
TEXAS,Independence Farm,Independence Farm
TEXAS,Journey To Dream – Kyle’s Place,Journey To Dream – Kyle’s Place
TEXAS,Kidz Safe Harbor Treatment Center LLC,Kidz Safe Harbor Treatment Center LLC
TEXAS,Kirby’s Place,Kirby’s Place
TEXAS,Krause Children’s Center RTC,Krause Children’s Center RTC
TEXAS,L’Amor Village RTC,L’Amor Village RTC
TEXAS,"La Maison, LLC","La Maison, LLC"
TEXAS,Lean on Me Family,Lean on Me Family
TEXAS,Lee and Beulah Moor Children’s Home,Lee and Beulah Moor Children’s Home
TEXAS,Legacy Youth,Legacy Youth
TEXAS,Life’s Purpose Residential Treatment Center,Life’s Purpose Residential Treatment Center
TEXAS,Medina Children's Home,Medina Children's Home
TEXAS,Methodist Children’s Home BCC,Methodist Children’s Home BCC
TEXAS,"Minola’s Place of Texas, Inc.","Minola’s Place of Texas, Inc."
TEXAS,Miracal’s Place,Miracal’s Place
TEXAS,Miracle Farm Inc,Miracle Farm Inc
TEXAS,New Encounters Residential Treatment,New Encounters Residential Treatment
TEXAS,New Hope Christian Academy,New Hope Christian Academy
TEXAS,New Life Children's Center RTC,New Life Children's Center RTC
TEXAS,North Fork Educational Center,North Fork Educational Center
TEXAS,"Open Arms Open Hearts Foundation, LLC","Open Arms Open Hearts Foundation, LLC"
TEXAS,Pathways 3H Youth Ranch,Pathways 3H Youth Ranch
TEXAS,Positive Steps Inc,Positive Steps Inc
TEXAS,Prairie Harbor RTC,Prairie Harbor RTC
TEXAS,"Promise Rose Residential Care Home, Inc.","Promise Rose Residential Care Home, Inc."
TEXAS,"Renewed Strength, Inc.","Renewed Strength, Inc."
TEXAS,"Renewed Strength, Inc. East","Renewed Strength, Inc. East"
TEXAS,Respectful Zone Emergency Shelter,Respectful Zone Emergency Shelter
TEXAS,Rising Star GRO,Rising Star GRO
TEXAS,Road to Wisdom LLC,Road to Wisdom LLC
TEXAS,Rob & Simon’s Hawthorne House,Rob & Simon’s Hawthorne House
TEXAS,Robbins Nest for Children,Robbins Nest for Children
TEXAS,Roy Maas Youth Alternative – Girlsville/Junction,Roy Maas Youth Alternative – Girlsville/Junction
TEXAS,Roy Maas Youth Alternatives Meadows,Roy Maas Youth Alternatives Meadows
TEXAS,Sacred Heart Children's Home,Sacred Heart Children's Home
TEXAS,Safe Haven Youth Ranch,Safe Haven Youth Ranch
TEXAS,Sanctuary of Hope,Sanctuary of Hope
TEXAS,Shamar Hope Haven Residential Treatment Center,Shamar Hope Haven Residential Treatment Center
TEXAS,Sheltering Harbour,Sheltering Harbour
TEXAS,Sherwood-Myrtie Foster Home Fo,Sherwood-Myrtie Foster Home Fo
TEXAS,Shiloh Treatment Center,Shiloh Treatment Center
TEXAS,"Silver Lining Residential, LLC","Silver Lining Residential, LLC"
TEXAS,South Texas Adolescent Rehabilitation & Education – STARE,South Texas Adolescent Rehabilitation & Education – STARE
TEXAS,South Texas Children’s Home,South Texas Children’s Home
TEXAS,Southwest Key Program Inc,Southwest Key Program Inc
TEXAS,Southwest Key Programs - Casa Antigua,Southwest Key Programs - Casa Antigua
TEXAS,Southwest Key Programs - Casa Blanca,Southwest Key Programs - Casa Blanca
TEXAS,Southwest Key Programs - Casa El Presidente,Southwest Key Programs - Casa El Presidente
TEXAS,Southwest Key Programs - Casa Franklin,Southwest Key Programs - Casa Franklin
TEXAS,Southwest Key Programs - Casa Houston,Southwest Key Programs - Casa Houston
TEXAS,Southwest Key Programs - Casa Montezuma,Southwest Key Programs - Casa Montezuma
TEXAS,Southwest Key Programs - Casa Oasis,Southwest Key Programs - Casa Oasis
TEXAS,Southwest Key Programs - Casa Padre,Southwest Key Programs - Casa Padre
TEXAS,Southwest Key Programs - Casa Quetzal,Southwest Key Programs - Casa Quetzal
TEXAS,Southwest Key Programs - Casa Rio Grande,Southwest Key Programs - Casa Rio Grande
TEXAS,Southwest Key Programs - Casa Sueno,Southwest Key Programs - Casa Sueno
TEXAS,Southwest Key Programs - Casa Sunzal,Southwest Key Programs - Casa Sunzal
TEXAS,Southwest Key Programs - Casita Del Valle,Southwest Key Programs - Casita Del Valle
TEXAS,Southwest Key Programs - La Esperanza,Southwest Key Programs - La Esperanza
TEXAS,Southwest Key Programs - Nueva Esperanza,Southwest Key Programs - Nueva Esperanza
TEXAS,Southwest Key Shelter Care Program,Southwest Key Shelter Care Program
TEXAS,St. Michael’s Home for Children,St. Michael’s Home for Children
TEXAS,St. Michael’s Home for Children II,St. Michael’s Home for Children II
TEXAS,Stadium Shelter,Stadium Shelter
TEXAS,Texas Pythian Home Inc,Texas Pythian Home Inc
TEXAS,"Texas Tranquility Estates, Inc.","Texas Tranquility Estates, Inc."
TEXAS,The Burke Foundation-Pathfinders RTC,The Burke Foundation-Pathfinders RTC
TEXAS,The Care Cottage,The Care Cottage
TEXAS,The Children’s Home,The Children’s Home
TEXAS,The Children's Home of Lubbock,The Children's Home of Lubbock
TEXAS,The Gladney Center,The Gladney Center
TEXAS,The Lighthouse for the Betterment of Life,The Lighthouse for the Betterment of Life
TEXAS,The Settlement Club Home GRO,The Settlement Club Home GRO
TEXAS,Thompson’s Residential Treatment Center- Farmersville,Thompson’s Residential Treatment Center- Farmersville
TEXAS,Today’s Harbor for Children,Today’s Harbor for Children
TEXAS,Turning Point Children’s Social Service,Turning Point Children’s Social Service
TEXAS,Unique Avenue,Unique Avenue
TEXAS,VisionQuest Residential Fort Worth,VisionQuest Residential Fort Worth
TEXAS,West Texas Boys Ranch,West Texas Boys Ranch
TEXAS,"Whale of Hope, Inc.","Whale of Hope, Inc."
TEXAS,Whispering Hills Achievement Center,Whispering Hills Achievement Center
TEXAS,Willow Bend Center,Willow Bend Center
TEXAS,Wilton Place RTC,Wilton Place RTC
TEXAS,Youth and Family Enrichment Centers Inc,Youth and Family Enrichment Centers Inc
TEXAS,Youth Reach,Youth Reach
UTAH,Benchmark Behavioral Health Systems,Benchmark Behavioral Health Systems
UTAH,Lost and Found Academy,Lost and Found Academy
UTAH,Northstar Youth Academy,Northstar Youth Academy
UTAH,The Journey: Blazing New Trails Impact Ranch,The Journey: Blazing New Trails Impact Ranch
UTAH,Vista Sage,Vista Sage
UTAH,Woodland Hills Maternity Home,Woodland Hills Maternity Home
VIRGINIA,Bon Air Juvenile Correctional Center,Bon Air Juvenile Correctional Center
VIRGINIA,Childhelp USA,Childhelp USA
VIRGINIA,Sheltercare NOVA Group Home,Sheltercare NOVA Group Home
WASHINGTON,Twin Rivers Community Facility,Twin Rivers Community Facility
WEST VIRGINIA,Cammack Children’s Center,Cammack Children’s Center
WEST VIRGINIA,Miracle Meadows School,Miracle Meadows School
WYOMING,Adams Canyon Crisis,Adams Canyon Crisis
WYOMING,Big Horn Basin Adolescent Programs,Big Horn Basin Adolescent Programs
WYOMING,BOCES,BOCES
WYOMING,Carbon County Youth Crisis Center,Carbon County Youth Crisis Center
WYOMING,Cathedral Home for Youth,Cathedral Home for Youth
WYOMING,Converse County Group Home,Converse County Group Home
WYOMING,Fremont County Group Homes – Boys – Riverton,Fremont County Group Homes – Boys – Riverton
WYOMING,Fremont County Group Homes – Girls – Lander,Fremont County Group Homes – Girls – Lander
WYOMING,Green River Youth Home,Green River Youth Home
WYOMING,Heart Mountain New Beginnings,Heart Mountain New Beginnings
WYOMING,Laramie Youth Crisis Center,Laramie Youth Crisis Center
WYOMING,Machaseh Children’s Ranch,Machaseh Children’s Ranch
WYOMING,Milestone Youth Home,Milestone Youth Home
WYOMING,New BOCES,New BOCES
WYOMING,"Normative Services Academy, Inc.","Normative Services Academy, Inc."
WYOMING,Red Top Meadows,Red Top Meadows
WYOMING,Rock Springs Youth Home,Rock Springs Youth Home
WYOMING,St. Joseph’s Children’s Home,St. Joseph’s Children’s Home
WYOMING,Triangle Cross Boys Ranch,Triangle Cross Boys Ranch
WYOMING,"Trinity Teen Solutions, Inc.","Trinity Teen Solutions, Inc."
WYOMING,Van Vleck House,Van Vleck House
WYOMING,Wyoming Behavioral Institute Pathways Residential,Wyoming Behavioral Institute Pathways Residential
WYOMING,Wyoming Boys’ School,Wyoming Boys’ School
WYOMING,Wyoming Girls’ School,Wyoming Girls’ School
WYOMING,Y.E.S. House,Y.E.S. House
WYOMING,YCC and Hemry Home,YCC and Hemry Home
WYOMING,Youth Alternatives Home Assoc.,Youth Alternatives Home Assoc.
WYOMING,Youth Home Inc. - Green River,Youth Home Inc. - Green River
WYOMING,Youth Home Inc. - Rock Springs,Youth Home Inc. - Rock Springs
