state,unique_name,facility_name
ARIZONA,Amazing G LLC,Amazing G LLC
ARIZONA,America’s Buffalo Soldiers Boot Camp,America’s Buffalo Soldiers Boot Camp
ARIZONA,"American Eagle Boys Ranch, LLC","American Eagle Boys Ranch, LLC"
ARIZONA,Anasazi Foundation,Anasazi Foundation
ARIZONA,Angel Kids Academy,Angel Kids Academy
ARIZONA,"Angel’s Safe Haven, LLC","Angel’s Safe Haven, LLC"
ARIZONA,"Animals Facilitating Adolescents and Children Therapeutically, Inc.","Animals Facilitating Adolescents and Children Therapeutically, Inc."
ARIZONA,Arivaca Boys Ranch,Arivaca Boys Ranch
ARIZONA,Arizona Children’s Group LLC,Arizona Children’s Group LLC
ARIZONA,Arizona Community First,Arizona Community First
ARIZONA,Ascending Roots,Ascending Roots
ARIZONA,Avery’s House,Avery’s House
ARIZONA,AZ Lavender Behavioral Health Services LLC Residential,AZ Lavender Behavioral Health Services LLC Residential
ARIZONA,"Back to Life, Inc - Sunset House","Back to Life, Inc - Sunset House"
ARIZONA,"Beautiful Beginnings Residential Homes, LLC","Beautiful Beginnings Residential Homes, LLC"
ARIZONA,Best Care Behavioral Homes,Best Care Behavioral Homes
ARIZONA,Black Canyon Juvenile Rehabilitation Center,Black Canyon Juvenile Rehabilitation Center
ARIZONA,Blue Hills Academy,Blue Hills Academy
ARIZONA,Blue Ridge Manor,Blue Ridge Manor
ARIZONA,Boj Residential Homes,Boj Residential Homes
ARIZONA,Camelback Kids,Camelback Kids
ARIZONA,Canyon State Academy,Canyon State Academy
ARIZONA,Casa Amanecer,Casa Amanecer
ARIZONA,Casa de Fortaleza,Casa de Fortaleza
ARIZONA,Casa de Sonrisa,Casa de Sonrisa
ARIZONA,Casa de Tucson LLC,Casa de Tucson LLC
ARIZONA,Casa Grande Academy,Casa Grande Academy
ARIZONA,Catalina Mountain School,Catalina Mountain School
ARIZONA,Coconino Juvenile Detention Center,Coconino Juvenile Detention Center
ARIZONA,"Colpayne Care, LLC","Colpayne Care, LLC"
ARIZONA,Copa’s Caring Hands,Copa’s Caring Hands
ARIZONA,Cottonwood Tucson,Cottonwood Tucson
ARIZONA,Dalia Homecare LLC - Children’s Residential Facility,Dalia Homecare LLC - Children’s Residential Facility
