unique_name,facility_name,reason
New Beginnings Residential Treatment Facilities - Raja,New Beginnings Residential Treatment Facilities - Raja,single-facility CA project; name already in CALIFORNIA
New Dawn Treatment Centers,New Dawn Treatment Centers,single-facility CA project; name already in CALIFORNIA
New Destiny Youth Facility,New Destiny Youth Facility,single-facility CA project; name already in CALIFORNIA
New Horizons School,New Horizons School,single-facility CA project; name already in CALIFORNIA
New Start Youth Facility,New Start Youth Facility,single-facility CA project; name already in CALIFORNIA
New Way Group Home,New Way Group Home,single-facility CA project; name already in CALIFORNIA
Newport Academy – Acre,Newport Academy – Acre,single-facility CA project; name already in CALIFORNIA
Newport Academy – Alberca,Newport Academy – Alberca,single-facility CA project; name already in CALIFORNIA
Newport Academy – Applewood,Newport Academy – Applewood,single-facility CA project; name already in CALIFORNIA
Newport Academy – Aracena,Newport Academy – Aracena,single-facility CA project; name already in CALIFORNIA
Newport Academy – Arena,Newport Academy – Arena,single-facility CA project; name already in CALIFORNIA
Newport Academy – Autumn,Newport Academy – Autumn,single-facility CA project; name already in CALIFORNIA
Newport Academy – Avocado,Newport Academy – Avocado,single-facility CA project; name already in CALIFORNIA
Newport Academy – Chandler,Newport Academy – Chandler,single-facility CA project; name already in CALIFORNIA
Newport Academy – Chariot,Newport Academy – Chariot,single-facility CA project; name already in CALIFORNIA
Newport Academy – Crestview,Newport Academy – Crestview,single-facility CA project; name already in CALIFORNIA
Newport Academy – Del Cerro,Newport Academy – Del Cerro,single-facility CA project; name already in CALIFORNIA
Newport Academy – Flores,Newport Academy – Flores,single-facility CA project; name already in CALIFORNIA
Newport Academy – French Creek,Newport Academy – French Creek,single-facility CA project; name already in CALIFORNIA
Newport Academy – Golden,Newport Academy – Golden,single-facility CA project; name already in CALIFORNIA
Newport Academy – Happy Valley,Newport Academy – Happy Valley,single-facility CA project; name already in CALIFORNIA
Newport Academy – Highcliff,Newport Academy – Highcliff,single-facility CA project; name already in CALIFORNIA
Newport Academy – Hill,Newport Academy – Hill,single-facility CA project; name already in CALIFORNIA
Newport Academy – Hillside,Newport Academy – Hillside,single-facility CA project; name already in CALIFORNIA
Newport Academy – Maoli,Newport Academy – Maoli,single-facility CA project; name already in CALIFORNIA
Newport Academy – Morada,Newport Academy – Morada,single-facility CA project; name already in CALIFORNIA
Newport Academy – Oasis,Newport Academy – Oasis,single-facility CA project; name already in CALIFORNIA
Newport Academy – Nicasio,Newport Academy – Nicasio,single-facility CA project; name already in CALIFORNIA
Newport Academy – Palm Hills,Newport Academy – Palm Hills,single-facility CA project; name already in CALIFORNIA
Newport Academy – Paloma,Newport Academy – Paloma,single-facility CA project; name already in CALIFORNIA
Newport Academy – Ranch,Newport Academy – Ranch,single-facility CA project; name already in CALIFORNIA
Newport Academy – Redwood,Newport Academy – Redwood,single-facility CA project; name already in CALIFORNIA
Newport Academy – Ridgeview,Newport Academy – Ridgeview,single-facility CA project; name already in CALIFORNIA
Newport Academy – Rodeo,Newport Academy – Rodeo,single-facility CA project; name already in CALIFORNIA
Newport Academy – Rogers,Newport Academy – Rogers,single-facility CA project; name already in CALIFORNIA
Newport Academy – Rush Creek,Newport Academy – Rush Creek,single-facility CA project; name already in CALIFORNIA
Newport Academy – Sundance,Newport Academy – Sundance,single-facility CA project; name already in CALIFORNIA
Newport Academy – Tanglewood,Newport Academy – Tanglewood,single-facility CA project; name already in CALIFORNIA
Newport Academy – Valley Vista,Newport Academy – Valley Vista,single-facility CA project; name already in CALIFORNIA
Newport Academy – Willow Hill,Newport Academy – Willow Hill,single-facility CA project; name already in CALIFORNIA
Oak Grove Center,Oak Grove Center,single-facility CA project; name already in CALIFORNIA
Oakendell,Oakendell,single-facility CA project; name already in CALIFORNIA
Oakridge Home at Le Conte,Oakridge Home at Le Conte,single-facility CA project; name already in CALIFORNIA
OH Close Youth Correctional Facilitiy,OH Close Youth Correctional Facilitiy,single-facility CA project; name already in CALIFORNIA
Ojai RTC,Ojai RTC,single-facility CA project; name already in CALIFORNIA
Olive Crest - Hope Refuge,Olive Crest - Hope Refuge,single-facility CA project; name already in CALIFORNIA
Olive Crest - Malena,Olive Crest - Malena,single-facility CA project; name already in CALIFORNIA
Olive Crest - Saylor,Olive Crest - Saylor,single-facility CA project; name already in CALIFORNIA
Olive Crest - Wheeler,Olive Crest - Wheeler,single-facility CA project; name already in CALIFORNIA
Operation Safehouse,Operation Safehouse,single-facility CA project; name already in CALIFORNIA
Optimist Boys Home & Ranch,Optimist Boys Home & Ranch,single-facility CA project; name already in CALIFORNIA
Optimist Carson,Optimist Carson,single-facility CA project; name already in CALIFORNIA
Optimist Eagle Rock,Optimist Eagle Rock,single-facility CA project; name already in CALIFORNIA
Optimist Mission Hills,Optimist Mission Hills,single-facility CA project; name already in CALIFORNIA
Optimist Van Nuys,Optimist Van Nuys,single-facility CA project; name already in CALIFORNIA
Optimum Performance Institute,Optimum Performance Institute,single-facility CA project; name already in CALIFORNIA
Orange County Juvenile Hall,Orange County Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Orin Allen Youth Rehabilitation Facility,Orin Allen Youth Rehabilitation Facility,single-facility CA project; name already in CALIFORNIA
Our Healing Center,Our Healing Center,single-facility CA project; name already in CALIFORNIA
"Our Safehaven, Inc.","Our Safehaven, Inc.",single-facility CA project; name already in CALIFORNIA
Pacific Lodge Campus,Pacific Lodge Campus,single-facility CA project; name already in CALIFORNIA
Pacific Teen Treatment,Pacific Teen Treatment,single-facility CA project; name already in CALIFORNIA
Palo Verde House,Palo Verde House,single-facility CA project; name already in CALIFORNIA
Paradigm Treatment Centers – Malibu – Birdview,Paradigm Treatment Centers – Malibu – Birdview,single-facility CA project; name already in CALIFORNIA
Paradigm Treatment Centers – Malibu – Cavalleri,Paradigm Treatment Centers – Malibu – Cavalleri,single-facility CA project; name already in CALIFORNIA
Paradigm Treatment Centers – Malibu – Via Escondido,Paradigm Treatment Centers – Malibu – Via Escondido,single-facility CA project; name already in CALIFORNIA
Paradigm Treatment Centers – Mailibu – Point Dume,Paradigm Treatment Centers – Mailibu – Point Dume,single-facility CA project; name already in CALIFORNIA
Paradigm Treatment Centers – San Francisco – Seaview House,Paradigm Treatment Centers – San Francisco – Seaview House,single-facility CA project; name already in CALIFORNIA
Paradigm Treatment Centers – San Francisco – Terrace House,Paradigm Treatment Centers – San Francisco – Terrace House,single-facility CA project; name already in CALIFORNIA
Paradise Adolescent Home Inc.,Paradise Adolescent Home Inc.,single-facility CA project; name already in CALIFORNIA
Paradise Oaks - Antelope Facility,Paradise Oaks - Antelope Facility,single-facility CA project; name already in CALIFORNIA
Paradise Oaks - Hazel,Paradise Oaks - Hazel,single-facility CA project; name already in CALIFORNIA
Paradise Oaks - Hickory,Paradise Oaks - Hickory,single-facility CA project; name already in CALIFORNIA
Paradise Oaks - Linda Creek,Paradise Oaks - Linda Creek,single-facility CA project; name already in CALIFORNIA
Paradise Oaks - Madison,Paradise Oaks - Madison,single-facility CA project; name already in CALIFORNIA
Paradise Oaks - Mariposa,Paradise Oaks - Mariposa,single-facility CA project; name already in CALIFORNIA
Paradise Oaks - Old Auburn,Paradise Oaks - Old Auburn,single-facility CA project; name already in CALIFORNIA
Paradise Oaks - Olivine,Paradise Oaks - Olivine,single-facility CA project; name already in CALIFORNIA
Paradise Oaks - Rosa Vista,Paradise Oaks - Rosa Vista,single-facility CA project; name already in CALIFORNIA
Paradise Oaks - Sunset,Paradise Oaks - Sunset,single-facility CA project; name already in CALIFORNIA
Paradise Oaks Youth Services,Paradise Oaks Youth Services,single-facility CA project; name already in CALIFORNIA
"Pathway Family Services, Inc.","Pathway Family Services, Inc.",single-facility CA project; name already in CALIFORNIA
"Pennacle Foundation, Inc.","Pennacle Foundation, Inc.",single-facility CA project; name already in CALIFORNIA
Penny Lane Centers,Penny Lane Centers,single-facility CA project; name already in CALIFORNIA
"PHILOS Adolescent Treatment Centers, Inc.","PHILOS Adolescent Treatment Centers, Inc.",single-facility CA project; name already in CALIFORNIA
Phoenix House California,Phoenix House California,single-facility CA project; name already in CALIFORNIA
Pine Grove Youth Conservation Camp,Pine Grove Youth Conservation Camp,single-facility CA project; name already in CALIFORNIA
Pine Meadows School,Pine Meadows School,single-facility CA project; name already in CALIFORNIA
Placer Juvenile Detention Facility,Placer Juvenile Detention Facility,single-facility CA project; name already in CALIFORNIA
Plan-It Life Temecula House,Plan-It Life Temecula House,single-facility CA project; name already in CALIFORNIA
Plumfield Academy,Plumfield Academy,single-facility CA project; name already in CALIFORNIA
Polaris Teen Center - Otis Location,Polaris Teen Center - Otis Location,single-facility CA project; name already in CALIFORNIA
Polaris Teen Center - Tarzana East Location,Polaris Teen Center - Tarzana East Location,single-facility CA project; name already in CALIFORNIA
Preston Youth Correctional Facility,Preston Youth Correctional Facility,single-facility CA project; name already in CALIFORNIA
Progress Ranch,Progress Ranch,single-facility CA project; name already in CALIFORNIA
Project 14:14 Inc,Project 14:14 Inc,single-facility CA project; name already in CALIFORNIA
Project Destiny Home of Hope,Project Destiny Home of Hope,single-facility CA project; name already in CALIFORNIA
Promesa - Barstow House,Promesa - Barstow House,single-facility CA project; name already in CALIFORNIA
Promesa - Madera House,Promesa - Madera House,single-facility CA project; name already in CALIFORNIA
Promesa - Millbrook House,Promesa - Millbrook House,single-facility CA project; name already in CALIFORNIA
Promesa - Spruce House,Promesa - Spruce House,single-facility CA project; name already in CALIFORNIA
Promesa - Van Ness,Promesa - Van Ness,single-facility CA project; name already in CALIFORNIA
Quality Family Services - Belmont House,Quality Family Services - Belmont House,single-facility CA project; name already in CALIFORNIA
Quality Family Services - Cambridge House,Quality Family Services - Cambridge House,single-facility CA project; name already in CALIFORNIA
Quality Family Services - Clinton House,Quality Family Services - Clinton House,single-facility CA project; name already in CALIFORNIA
Quality Family Services - Gettysburg House,Quality Family Services - Gettysburg House,single-facility CA project; name already in CALIFORNIA
Quality Family Services - Millbrook House,Quality Family Services - Millbrook House,single-facility CA project; name already in CALIFORNIA
Quality Family Services - Perrin House,Quality Family Services - Perrin House,single-facility CA project; name already in CALIFORNIA
Quality Family Services - Rialto House,Quality Family Services - Rialto House,single-facility CA project; name already in CALIFORNIA
Quality Family Services - Sample House,Quality Family Services - Sample House,single-facility CA project; name already in CALIFORNIA
Quality Family Services - Warner House,Quality Family Services - Warner House,single-facility CA project; name already in CALIFORNIA
Quality Family Services - Yale House,Quality Family Services - Yale House,single-facility CA project; name already in CALIFORNIA
Quest,Quest,single-facility CA project; name already in CALIFORNIA
Rainbow Valley Merced,Rainbow Valley Merced,single-facility CA project; name already in CALIFORNIA
Rancho San Antonio - Brother John's House,Rancho San Antonio - Brother John's House,single-facility CA project; name already in CALIFORNIA
Reach to Win Youth Home Facility,Reach to Win Youth Home Facility,single-facility CA project; name already in CALIFORNIA
"Redwood Community Services, Inc - Birch House","Redwood Community Services, Inc - Birch House",single-facility CA project; name already in CALIFORNIA
"Redwood Community Services, Inc - Sequoia House","Redwood Community Services, Inc - Sequoia House",single-facility CA project; name already in CALIFORNIA
Remi Vista - Porta Dego Home,Remi Vista - Porta Dego Home,single-facility CA project; name already in CALIFORNIA
Remi Vista - Ranch School,Remi Vista - Ranch School,single-facility CA project; name already in CALIFORNIA
Remi Vista - Shasta,Remi Vista - Shasta,single-facility CA project; name already in CALIFORNIA
"River Stones Child and Adolescent Treatment, Inc. - Mountain View","River Stones Child and Adolescent Treatment, Inc. - Mountain View",single-facility CA project; name already in CALIFORNIA
"River Stones Child & Adolescent Treatment, Inc. - Whisper Canyon","River Stones Child & Adolescent Treatment, Inc. - Whisper Canyon",single-facility CA project; name already in CALIFORNIA
Rivers Edge Academy,Rivers Edge Academy,single-facility CA project; name already in CALIFORNIA
Riverside County - Southwest Juvenile Hall,Riverside County - Southwest Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Riverside Juvenile Hall,Riverside Juvenile Hall,single-facility CA project; name already in CALIFORNIA
ROP ATCS Baker House,ROP ATCS Baker House,single-facility CA project; name already in CALIFORNIA
ROP ATCS Joann House,ROP ATCS Joann House,single-facility CA project; name already in CALIFORNIA
ROP ATCS Johnson House,ROP ATCS Johnson House,single-facility CA project; name already in CALIFORNIA
ROP ATCS Sierra Ridge Treatment Center,ROP ATCS Sierra Ridge Treatment Center,single-facility CA project; name already in CALIFORNIA
ROP Emancipation Home,ROP Emancipation Home,single-facility CA project; name already in CALIFORNIA
ROP Harbor City Home,ROP Harbor City Home,single-facility CA project; name already in CALIFORNIA
ROP Livingston House,ROP Livingston House,single-facility CA project; name already in CALIFORNIA
ROP Paragon House,ROP Paragon House,single-facility CA project; name already in CALIFORNIA
Ruby's Place Youth Village,Ruby's Place Youth Village,single-facility CA project; name already in CALIFORNIA
Sacramento Children's Home STRTP,Sacramento Children's Home STRTP,single-facility CA project; name already in CALIFORNIA
Sacramento County Youth Detention Facility,Sacramento County Youth Detention Facility,single-facility CA project; name already in CALIFORNIA
Sacred Oaks Healing Center,Sacred Oaks Healing Center,single-facility CA project; name already in CALIFORNIA
San Bernardino Central Detention - Juvenile Detention Center,San Bernardino Central Detention - Juvenile Detention Center,single-facility CA project; name already in CALIFORNIA
San Benito County Juvenile Hall,San Benito County Juvenile Hall,single-facility CA project; name already in CALIFORNIA
San Diego Center for Children RTC,San Diego Center for Children RTC,single-facility CA project; name already in CALIFORNIA
San Francisco Boys and Girls Home - Euclid House,San Francisco Boys and Girls Home - Euclid House,single-facility CA project; name already in CALIFORNIA
San Gabriel Children's Center - Enid Home,San Gabriel Children's Center - Enid Home,single-facility CA project; name already in CALIFORNIA
San Gabriel Children's Center - Homerest Home,San Gabriel Children's Center - Homerest Home,single-facility CA project; name already in CALIFORNIA
San Joaquin Juvenile Hall,San Joaquin Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Sanctuary Recovery Center for Teens,Sanctuary Recovery Center for Teens,single-facility CA project; name already in CALIFORNIA
Santa Clara Juvenile Hall,Santa Clara Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Santa Cruz Juvenile Hall,Santa Cruz Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Santa Maria Home,Santa Maria Home,single-facility CA project; name already in CALIFORNIA
Santa Maria Juvenile Hall - Susan J. Gionfriddo Juvenile Justice Center,Santa Maria Juvenile Hall - Susan J. Gionfriddo Juvenile Justice Center,single-facility CA project; name already in CALIFORNIA
"Saving Another Manchild Services, Inc.","Saving Another Manchild Services, Inc.",single-facility CA project; name already in CALIFORNIA
Scott's Youth Facility,Scott's Youth Facility,single-facility CA project; name already in CALIFORNIA
Shimber Beris School Community,Shimber Beris School Community,single-facility CA project; name already in CALIFORNIA
Silence Aloud - Search Light Center for Healing,Silence Aloud - Search Light Center for Healing,single-facility CA project; name already in CALIFORNIA
Seneca Aspire - Oakland,Seneca Aspire - Oakland,single-facility CA project; name already in CALIFORNIA
Seneca Aspire - SF,Seneca Aspire - SF,single-facility CA project; name already in CALIFORNIA
Seneca Center,Seneca Center,single-facility CA project; name already in CALIFORNIA
Seneca Compass - Petaluma,Seneca Compass - Petaluma,single-facility CA project; name already in CALIFORNIA
Seneca Compass - Ventura,Seneca Compass - Ventura,single-facility CA project; name already in CALIFORNIA
Shasta County Juvenile Rehabilitation Facility,Shasta County Juvenile Rehabilitation Facility,single-facility CA project; name already in CALIFORNIA
Shepherd's Ranch Christian Academy,Shepherd's Ranch Christian Academy,single-facility CA project; name already in CALIFORNIA
Sierra Quest Boys Academy,Sierra Quest Boys Academy,single-facility CA project; name already in CALIFORNIA
Sierra Quest Girls Academy,Sierra Quest Girls Academy,single-facility CA project; name already in CALIFORNIA
Sierra Vista STRTP,Sierra Vista STRTP,single-facility CA project; name already in CALIFORNIA
SLO County Juvenile Hall,SLO County Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Sojourner's Haven Group Home STRTP,Sojourner's Haven Group Home STRTP,single-facility CA project; name already in CALIFORNIA
Solano County Juvenile Hall,Solano County Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Sonoma County Juvenile Institute,Sonoma County Juvenile Institute,single-facility CA project; name already in CALIFORNIA
Sonoma County Probation Camp,Sonoma County Probation Camp,single-facility CA project; name already in CALIFORNIA
South Coast Children's Society - Caladium,South Coast Children's Society - Caladium,single-facility CA project; name already in CALIFORNIA
South Coast Children's Society - Dahlia,South Coast Children's Society - Dahlia,single-facility CA project; name already in CALIFORNIA
South Coast Children's Society - San Rafael,South Coast Children's Society - San Rafael,single-facility CA project; name already in CALIFORNIA
Southwood Psychiatric Center RTC,Southwood Psychiatric Center RTC,single-facility CA project; name already in CALIFORNIA
Squaw Valley Academy,Squaw Valley Academy,single-facility CA project; name already in CALIFORNIA
St. Anne's STRTP,St. Anne's STRTP,single-facility CA project; name already in CALIFORNIA
St. Vincent's School for Boys STRTP,St. Vincent's School for Boys STRTP,single-facility CA project; name already in CALIFORNIA
Stanilaus County Juvenile Hall,Stanilaus County Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Star View Community Treatment Facility,Star View Community Treatment Facility,single-facility CA project; name already in CALIFORNIA
Starshine Treatment Center,Starshine Treatment Center,single-facility CA project; name already in CALIFORNIA
Stella Maris Growth Center for Girls,Stella Maris Growth Center for Girls,single-facility CA project; name already in CALIFORNIA
Straight – Yorba Linda,Straight – Yorba Linda,single-facility CA project; name already in CALIFORNIA
Success in Recovery,Success in Recovery,single-facility CA project; name already in CALIFORNIA
Summit Estate Recovery Center,Summit Estate Recovery Center,single-facility CA project; name already in CALIFORNIA
Summitview Child & Family Services,Summitview Child & Family Services,single-facility CA project; name already in CALIFORNIA
Sunol Hills - Casa Fremont,Sunol Hills - Casa Fremont,single-facility CA project; name already in CALIFORNIA
Sunol Hills at Oakview,Sunol Hills at Oakview,single-facility CA project; name already in CALIFORNIA
Sycamores STRTP South Campus,Sycamores STRTP South Campus,single-facility CA project; name already in CALIFORNIA
Synanon Punk Squad,Synanon Punk Squad,single-facility CA project; name already in CALIFORNIA
"T&T House of Champions, Inc.","T&T House of Champions, Inc.",single-facility CA project; name already in CALIFORNIA
Tayler Group Home,Tayler Group Home,single-facility CA project; name already in CALIFORNIA
Teen C.A.R.E. Camp,Teen C.A.R.E. Camp,single-facility CA project; name already in CALIFORNIA
Teen Challenge Southern California,Teen Challenge Southern California,single-facility CA project; name already in CALIFORNIA
Tehama County Juvenile Detention Facility,Tehama County Juvenile Detention Facility,single-facility CA project; name already in CALIFORNIA
The Arrow House,The Arrow House,single-facility CA project; name already in CALIFORNIA
The Camp Recovery Center,The Camp Recovery Center,single-facility CA project; name already in CALIFORNIA
The Light Keepers,The Light Keepers,single-facility CA project; name already in CALIFORNIA
Theo Lacy Juvenile Facility,Theo Lacy Juvenile Facility,single-facility CA project; name already in CALIFORNIA
Thunder Road Chemical Dependency Recovery Center,Thunder Road Chemical Dependency Recovery Center,single-facility CA project; name already in CALIFORNIA
Tiffany's Place,Tiffany's Place,single-facility CA project; name already in CALIFORNIA
TMHA - Youth Treatment Program,TMHA - Youth Treatment Program,single-facility CA project; name already in CALIFORNIA
Tobinworld,Tobinworld,single-facility CA project; name already in CALIFORNIA
Touchstones,Touchstones,single-facility CA project; name already in CALIFORNIA
Tranquil Waters Guidance Center,Tranquil Waters Guidance Center,single-facility CA project; name already in CALIFORNIA
"Tree House Youth Homes, Inc.","Tree House Youth Homes, Inc.",single-facility CA project; name already in CALIFORNIA
Trinity - Apple Valley,Trinity - Apple Valley,single-facility CA project; name already in CALIFORNIA
Trinity - El Monte,Trinity - El Monte,single-facility CA project; name already in CALIFORNIA
Trinity - Yucaipa,Trinity - Yucaipa,single-facility CA project; name already in CALIFORNIA
Tulare County Juvenile Detention Facility,Tulare County Juvenile Detention Facility,single-facility CA project; name already in CALIFORNIA
Tuolumne County Motherlode Regional Juvenile Detention Facility,Tuolumne County Motherlode Regional Juvenile Detention Facility,single-facility CA project; name already in CALIFORNIA
Tuolumne Inn,Tuolumne Inn,single-facility CA project; name already in CALIFORNIA
Turning Point - Journey On,Turning Point - Journey On,single-facility CA project; name already in CALIFORNIA
Turning Point - La Serenata,Turning Point - La Serenata,single-facility CA project; name already in CALIFORNIA
Turning Point - Lake House,Turning Point - Lake House,single-facility CA project; name already in CALIFORNIA
Turning Point - Prairie House,Turning Point - Prairie House,single-facility CA project; name already in CALIFORNIA
San Diego County Urban Camp,San Diego County Urban Camp,single-facility CA project; name already in CALIFORNIA
Valley of the Moon STRTP,Valley of the Moon STRTP,single-facility CA project; name already in CALIFORNIA
Valley Teen Ranch,Valley Teen Ranch,single-facility CA project; name already in CALIFORNIA
Vanalden RTC,Vanalden RTC,single-facility CA project; name already in CALIFORNIA
Ve & Daughters Happy Home,Ve & Daughters Happy Home,single-facility CA project; name already in CALIFORNIA
Ventury County Juvenile Hall Facility,Ventury County Juvenile Hall Facility,single-facility CA project; name already in CALIFORNIA
Victor Treatment Center - 500 House,Victor Treatment Center - 500 House,single-facility CA project; name already in CALIFORNIA
Victor Treatment Center - Bonnie House,Victor Treatment Center - Bonnie House,single-facility CA project; name already in CALIFORNIA
Victor Treatment Center - Clover House,Victor Treatment Center - Clover House,single-facility CA project; name already in CALIFORNIA
Victor Treatment Center - Country Club House,Victor Treatment Center - Country Club House,single-facility CA project; name already in CALIFORNIA
Victor Treatment Center - Green House,Victor Treatment Center - Green House,single-facility CA project; name already in CALIFORNIA
Victor Treatment Center - Irwin House,Victor Treatment Center - Irwin House,single-facility CA project; name already in CALIFORNIA
Victor Treatment Center - Juniper House,Victor Treatment Center - Juniper House,single-facility CA project; name already in CALIFORNIA
Victor Treatment Center - Lane House,Victor Treatment Center - Lane House,single-facility CA project; name already in CALIFORNIA
Victor Treatment Center - Logan House,Victor Treatment Center - Logan House,single-facility CA project; name already in CALIFORNIA
Victor Treatment Center - Pasadena,Victor Treatment Center - Pasadena,single-facility CA project; name already in CALIFORNIA
Victor Treatment Center - The Cottage,Victor Treatment Center - The Cottage,single-facility CA project; name already in CALIFORNIA
Victor Treatment Center - Wright House,Victor Treatment Center - Wright House,single-facility CA project; name already in CALIFORNIA
Victor Youth Services - Alta Mesa House,Victor Youth Services - Alta Mesa House,single-facility CA project; name already in CALIFORNIA
Victor Youth Services - Clairvaux House,Victor Youth Services - Clairvaux House,single-facility CA project; name already in CALIFORNIA
Victor Youth Services - Kings Way House,Victor Youth Services - Kings Way House,single-facility CA project; name already in CALIFORNIA
Victor Youth Services - Oasis House,Victor Youth Services - Oasis House,single-facility CA project; name already in CALIFORNIA
Victory Christian Academy,Victory Christian Academy,single-facility CA project; name already in CALIFORNIA
VisionQuest,VisionQuest,single-facility CA project; name already in CALIFORNIA
Wake Forest,Wake Forest,single-facility CA project; name already in CALIFORNIA
Walnut Creek RTC,Walnut Creek RTC,single-facility CA project; name already in CALIFORNIA
Walt's Home for Young Men,Walt's Home for Young Men,single-facility CA project; name already in CALIFORNIA
Warner Mountain School at Bar B Ranch,Warner Mountain School at Bar B Ranch,single-facility CA project; name already in CALIFORNIA
Wellspring Academies,Wellspring Academies,single-facility CA project; name already in CALIFORNIA
Wilderness Recovery Center,Wilderness Recovery Center,single-facility CA project; name already in CALIFORNIA
William F. James Boys Ranch,William F. James Boys Ranch,single-facility CA project; name already in CALIFORNIA
Willow Hills Wellness for Teens LLC,Willow Hills Wellness for Teens LLC,single-facility CA project; name already in CALIFORNIA
Woodland Hills RTC,Woodland Hills RTC,single-facility CA project; name already in CALIFORNIA
Wellspring Camp La Jolla,Wellspring Camp La Jolla,single-facility CA project; name already in CALIFORNIA
Yolo County Juvenile Hall,Yolo County Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Yosemite Treatment Center,Yosemite Treatment Center,single-facility CA project; name already in CALIFORNIA
Your First Step - Advent Group Ministries Gateway Home,Your First Step - Advent Group Ministries Gateway Home,single-facility CA project; name already in CALIFORNIA
Your House South,Your House South,single-facility CA project; name already in CALIFORNIA
Youth Quest Inc.,Youth Quest Inc.,single-facility CA project; name already in CALIFORNIA
Youth Quest Inc. for Girls,Youth Quest Inc. for Girls,single-facility CA project; name already in CALIFORNIA
Yuba County Juvenile Hall,Yuba County Juvenile Hall,single-facility CA project; name already in CALIFORNIA
Zoe Home for Youth,Zoe Home for Youth,single-facility CA project; name already in CALIFORNIA
